"",BBK01.OEYJ10L,BBK01.OEYJ10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:29,
2002-01,0.099,
2002-04,0.098,
2002-07,0.096,
2002-10,0.094,
2003-01,0.093,
2003-04,0.091,
2003-07,0.088,
2003-10,0.085,
2004-01,0.082,
2004-04,0.078,
2004-07,0.072,
2004-10,0.071,
2005-01,0.070,
2005-04,0.069,
2005-07,0.067,
2005-10,0.066,
2006-01,0.060,
2006-04,0.060,
2006-07,0.058,
2006-10,0.056,
2007-01,0.054,
2007-04,0.054,
2007-07,0.053,
2007-10,0.051,
2008-01,0.050,
2008-04,0.048,
2008-07,0.047,
2008-10,0.046,
2009-01,0.044,
2009-04,0.043,
2009-07,0.041,
2009-10,0.039,
2010-01,0.037,
2010-04,0.033,
2010-07,0.046,
2010-10,0.045,
2011-01,0.029,
2011-04,0.044,
2011-07,0.041,
2011-10,0.040,
2012-01,0.040,
2012-04,0.039,
2012-07,0.037,
2012-10,0.036,
2013-01,0.036,
2013-04,0.035,
2013-07,0.034,
2013-10,0.032,
2014-01,0.031,
2014-04,0.012,
2014-07,0.011,
