"",BBK01.OEYL05L,BBK01.OEYL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:21,
2002-01,7.109,
2002-04,8.478,
2002-07,8.833,
2002-10,9.122,
2003-01,9.406,
2003-04,9.518,
2003-07,9.612,
2003-10,9.903,
2004-01,10.144,
2004-04,10.160,
2004-07,10.341,
2004-10,10.851,
2005-01,11.115,
2005-04,11.163,
2005-07,10.969,
2005-10,10.954,
2006-01,11.133,
2006-04,11.124,
2006-07,11.149,
2006-10,11.396,
2007-01,11.439,
2007-04,11.270,
2007-07,11.171,
2007-10,11.376,
2008-01,11.375,
2008-04,11.225,
2008-07,11.136,
2008-10,11.177,
2009-01,11.162,
2009-04,11.121,
2009-07,11.144,
2009-10,11.633,
2010-01,11.792,
2010-04,11.931,
2010-07,11.998,
2010-10,12.282,
2011-01,9.035,
2011-04,9.145,
2011-07,9.297,
2011-10,9.577,
2012-01,9.769,
2012-04,9.890,
2012-07,10.060,
2012-10,10.443,
2013-01,10.707,
2013-04,10.907,
2013-07,11.058,
2013-10,11.513,
2014-01,11.761,
2014-04,11.865,
2014-07,12.026,
