"",BBK01.OEYM05P,BBK01.OEYM05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:59,
2002-01,0.073,
2002-04,0.071,
2002-07,0.068,
2002-10,0.055,
2003-01,0.054,
2003-04,0.052,
2003-07,0.051,
2003-10,0.047,
2004-01,0.047,
2004-04,0.045,
2004-07,0.044,
2004-10,0.043,
2005-01,0.043,
2005-04,0.042,
2005-07,0.041,
2005-10,0.037,
2006-01,0.035,
2006-04,0.036,
2006-07,0.035,
2006-10,0.028,
2007-01,0.027,
2007-04,0.027,
2007-07,0.027,
2007-10,0.072,
2008-01,0.071,
2008-04,0.071,
2008-07,0.071,
2008-10,0.071,
2009-01,0.070,
2009-04,0.070,
2009-07,0.070,
2009-10,0.015,
2010-01,0.013,
2010-04,0.012,
2010-07,0.012,
2010-10,0.009,
2011-01,0.009,
2011-04,0.010,
2011-07,0.010,
2011-10,0.010,
2012-01,0.010,
2012-04,0.013,
2012-07,0.013,
2012-10,0.007,
2013-01,0.006,
2013-04,0.007,
2013-07,0.007,
2013-10,0.007,
2014-01,0.007,
2014-04,0.008,
2014-07,0.009,
