"",BBK01.OU9051,BBK01.OU9051_FLAGS
"",Securities portfolios / Bonds and debt securities / Floating rate notes / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:48:40,
1986-06,0.061,
1986-07,0.061,
1986-08,0.010,
1986-09,0.010,
1986-10,0.010,
1986-11,0.049,
1986-12,0.049,
1987-01,0.045,
1987-02,0.043,
1987-03,0.038,
1987-04,0.038,
1987-05,0.038,
1987-06,0.038,
1987-07,0.038,
1987-08,0.038,
1987-09,0.038,
1987-10,0.038,
1987-11,0.038,
1987-12,0.038,
1988-01,0.038,
1988-02,0.038,
1988-03,0.038,
1988-04,0.038,
1988-05,0.038,
1988-06,0.038,
1988-07,0.038,
1988-08,0.038,
1988-09,0.038,
1988-10,0.038,
1988-11,0.038,
1988-12,0.038,
1989-01,0.038,
1989-02,0.084,
1989-03,0.135,
1989-04,0.135,
1989-05,0.135,
1989-06,0.135,
1989-07,0.227,
1989-08,0.175,
1989-09,0.130,
1989-10,0.207,
1989-11,0.294,
1989-12,0.349,
1990-01,0.638,
1990-02,0.930,
1990-03,1.083,
1990-04,1.168,
1990-05,1.208,
1990-06,1.246,
1990-07,1.295,
1990-08,1.400,
1990-09,1.700,
1990-10,1.843,
1990-11,1.891,
1990-12,2.277,
1991-01,2.062,
1991-02,2.114,
1991-03,2.230,
1991-04,2.367,
1991-05,2.508,
1991-06,2.602,
1991-07,2.561,
1991-08,2.634,
1991-09,2.640,
1991-10,2.796,
1991-11,2.864,
1991-12,2.914,
1992-01,2.926,
1992-02,2.919,
1992-03,2.915,
1992-04,2.774,
1992-05,3.086,
1992-06,3.224,
1992-07,3.205,
1992-08,3.195,
1992-09,3.275,
1992-10,3.340,
1992-11,3.315,
1992-12,3.381,
1993-01,3.346,
1993-02,3.388,
1993-03,3.291,
1993-04,3.292,
1993-05,3.205,
1993-06,3.135,
1993-07,2.828,
1993-08,2.733,
1993-09,2.536,
1993-10,2.500,
1993-11,2.441,
1993-12,2.623,
1994-01,2.912,
1994-02,3.182,
1994-03,3.202,
1994-04,3.220,
1994-05,3.207,
1994-06,3.123,
1994-07,3.366,
1994-08,3.498,
1994-09,3.717,
1994-10,3.658,
1994-11,3.645,
1994-12,3.632,
1995-01,3.481,
1995-02,3.603,
1995-03,3.615,
1995-04,3.458,
1995-05,3.456,
1995-06,3.501,
1995-07,3.591,
1995-08,3.646,
1995-09,3.810,
1995-10,3.860,
1995-11,3.872,
1995-12,3.714,
1996-01,3.753,
1996-02,3.806,
1996-03,3.972,
1996-04,3.780,
1996-05,3.856,
1996-06,3.924,
1996-07,3.862,
1996-08,3.824,
1996-09,3.793,
1996-10,3.714,
1996-11,3.682,
1996-12,3.641,
1997-01,3.842,
1997-02,3.877,
1997-03,4.083,
1997-04,4.427,
1997-05,4.726,
1997-06,4.961,
1997-07,6.358,
1997-08,6.456,
1997-09,6.954,
1997-10,8.690,
1997-11,8.743,
1997-12,9.473,
1998-01,9.956,
1998-02,10.719,
1998-03,10.750,
1998-04,11.345,
1998-05,12.313,
1998-06,13.393,
1998-07,13.962,
1998-08,14.926,
1998-09,15.416,
1998-10,16.158,
1998-11,16.332,
1998-12,16.775,
1999-01,16.390,
1999-02,16.574,
1999-03,19.389,
1999-04,18.984,
1999-05,19.387,
1999-06,20.255,
1999-07,20.951,
1999-08,21.845,
1999-09,23.788,
1999-10,23.167,
1999-11,23.796,
1999-12,24.424,
2000-01,24.683,
2000-02,25.230,
2000-03,25.212,
2000-04,25.735,
2000-05,28.317,
2000-06,30.957,
2000-07,31.573,
2000-08,33.289,
2000-09,33.599,
2000-10,33.566,
2000-11,34.413,
2000-12,34.672,
2001-01,35.230,
2001-02,36.446,
2001-03,42.301,
2001-04,42.723,
2001-05,42.202,
2001-06,42.784,
2001-07,44.187,
2001-08,43.282,
2001-09,43.966,
2001-10,43.554,
2001-11,43.289,
2001-12,44.419,
2002-01,45.437,
2002-02,46.116,
2002-03,46.233,
2002-04,46.448,
