"",BBK01.OUA007,BBK01.OUA007_FLAGS
"",Other assets / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:13:14,
1950-06,0.791,
1950-07,0.778,
1950-08,0.821,
1950-09,0.830,
1950-10,0.841,
1950-11,0.857,
1950-12,0.904,
1951-01,0.833,
1951-02,0.862,
1951-03,0.886,
1951-04,0.919,
1951-05,0.943,
1951-06,1.038,
1951-07,0.983,
1951-08,1.056,
1951-09,1.015,
1951-10,1.042,
1951-11,1.061,
1951-12,1.115,
1952-01,0.992,
1952-02,1.016,
1952-03,1.082,
1952-04,1.102,
1952-05,1.162,
1952-06,1.167,
1952-07,1.169,
1952-08,1.246,
1952-09,1.255,
1952-10,1.269,
1952-11,1.351,
1952-12,1.415,
1953-01,1.254,
1953-02,1.304,
1953-03,1.389,
1953-04,1.433,
1953-05,1.447,
1953-06,1.459,
1953-07,1.474,
1953-08,1.472,
1953-09,1.500,
1953-10,1.528,
1953-11,1.474,
1953-12,1.556,
1954-01,1.433,
1954-02,1.454,
1954-03,1.488,
1954-04,1.544,
1954-05,1.589,
1954-06,1.640,
1954-07,1.583,
1954-08,1.638,
1954-09,1.725,
1954-10,1.735,
1954-11,1.750,
1954-12,1.861,
1955-01,1.713,
1955-02,1.748,
1955-03,1.749,
1955-04,1.749,
1955-05,2.220,
1955-06,2.183,
1955-07,2.176,
1955-08,2.209,
1955-09,2.276,
1955-10,2.370,
1955-11,2.382,
1955-12,2.513,Estimated value
1956-01,2.267,Estimated value
1956-02,2.369,Estimated value
1956-03,2.555,Estimated value
1956-04,2.472,Estimated value
1956-05,2.475,Estimated value
1956-06,2.568,Estimated value
1956-07,2.558,Estimated value
1956-08,2.729,Estimated value
1956-09,2.776,Estimated value
1956-10,2.947,Estimated value
1956-11,3.125,Estimated value
1956-12,3.007,Estimated value
1957-01,3.257,Estimated value
1957-02,3.318,Estimated value
1957-03,3.515,Estimated value
1957-04,3.618,Estimated value
1957-05,3.854,Estimated value
1957-06,3.980,Estimated value
1957-07,4.285,Estimated value
1957-08,5.066,Estimated value
1957-09,5.016,Estimated value
1957-10,5.142,Estimated value
1957-11,5.266,Estimated value
1957-12,4.744,Estimated value
1958-01,5.059,Estimated value
1958-02,5.180,Estimated value
1958-03,5.216,Estimated value
1958-04,5.599,Estimated value
1958-05,5.791,Estimated value
1958-06,5.636,Estimated value
1958-07,5.727,Estimated value
1958-08,5.963,Estimated value
1958-09,6.003,Estimated value
1958-10,6.067,Estimated value
1958-11,5.786,Estimated value
1958-12,5.068,Estimated value
1959-01,5.195,
1959-02,5.041,
1959-03,5.297,
1959-04,5.555,
1959-05,5.376,
1959-06,5.373,
1959-07,5.189,
1959-08,5.274,
1959-09,5.281,
1959-10,5.823,
1959-11,5.525,
1959-12,4.919,
1960-01,5.014,
1960-02,5.017,
1960-03,5.031,
1960-04,5.301,
1960-05,5.177,
1960-06,5.242,
1960-07,5.387,
1960-08,5.837,
1960-09,5.732,
1960-10,5.540,
1960-11,6.024,
1960-12,5.831,
1961-01,5.520,
1961-02,6.115,
1961-03,6.348,
1961-04,6.434,
1961-05,6.246,
1961-06,6.418,
1961-07,6.584,
1961-08,6.552,
1961-09,7.183,
1961-10,7.527,
1961-11,7.189,
1961-12,6.961,
1962-01,7.108,
1962-02,7.221,
1962-03,6.601,
1962-04,6.743,
1962-05,6.765,
1962-06,6.689,
1962-07,6.340,
1962-08,6.812,
1962-09,6.509,
1962-10,7.042,
1962-11,7.165,
1962-12,6.450,
1963-01,6.951,
1963-02,6.980,
1963-03,6.693,
1963-04,6.803,
1963-05,6.940,
1963-06,6.708,
1963-07,6.576,
1963-08,6.914,
1963-09,6.763,
1963-10,7.288,
1963-11,7.623,
1963-12,6.978,
1964-01,7.463,
1964-02,7.348,
1964-03,6.899,
1964-04,6.776,
1964-05,6.904,
1964-06,6.942,
1964-07,6.338,
1964-08,6.371,
1964-09,6.174,
1964-10,6.001,
1964-11,6.602,
1964-12,6.243,
1965-01,6.223,
1965-02,6.524,
1965-03,6.361,
1965-04,6.124,
1965-05,6.339,
1965-06,6.460,
1965-07,6.047,
1965-08,6.379,
1965-09,6.415,
1965-10,6.355,
1965-11,6.538,
1965-12,6.311,
1966-01,6.360,
1966-02,6.533,
1966-03,6.576,
1966-04,6.662,
1966-05,6.683,
1966-06,6.816,
1966-07,6.509,
1966-08,6.457,
1966-09,6.643,
1966-10,6.834,
1966-11,7.102,
1966-12,7.129,
1967-01,7.364,
1967-02,7.425,
1967-03,7.508,
1967-04,7.403,
1967-05,7.645,
1967-06,7.461,
1967-07,7.388,
1967-08,7.470,
1967-09,7.680,
1967-10,8.147,
1967-11,8.925,
1967-12,8.635,
1968-01,7.480,
1968-02,7.311,
1968-03,7.974,
1968-04,7.495,
1968-05,7.895,
1968-06,8.114,
1968-07,8.041,
1968-08,7.649,
1968-09,8.361,
1968-10,7.989,
1968-11,8.347,
1968-12,8.321,
1969-01,7.806,
1969-02,8.149,
1969-03,8.067,
1969-04,8.072,
1969-05,8.435,
1969-06,8.746,
1969-07,8.666,
1969-08,8.609,
1969-09,9.528,
1969-10,9.208,
1969-11,9.500,
1969-12,9.232,
1970-01,8.836,
1970-02,9.230,
1970-03,9.487,
1970-04,9.297,
1970-05,9.527,
1970-06,9.805,
1970-07,9.648,
1970-08,10.464,
1970-09,10.752,
1970-10,11.305,
1970-11,11.723,
1970-12,12.212,
1971-01,12.567,
1971-02,13.032,
1971-03,12.674,
1971-04,13.086,
1971-05,13.598,
1971-06,12.298,
1971-07,12.388,
1971-08,12.570,
1971-09,12.707,
