"",BBK01.OUB032,BBK01.OUB032_FLAGS
"",Time deposits of foreign banks (MFIs) / medium- and longtherm / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:11:21,
1968-12,0.247,
1969-01,0.259,
1969-02,0.266,
1969-03,0.290,
1969-04,0.329,
1969-05,0.381,
1969-06,0.398,
1969-07,0.399,
1969-08,0.392,
1969-09,0.459,
1969-10,0.438,
1969-11,0.428,
1969-12,0.417,
1970-01,0.391,
1970-02,0.400,
1970-03,0.419,
1970-04,0.420,
1970-05,0.441,
1970-06,0.624,
1970-07,0.839,
1970-08,0.994,
1970-09,1.053,
1970-10,1.122,
1970-11,1.144,
1970-12,1.219,
1971-01,1.244,
1971-02,1.257,
1971-03,1.360,
1971-04,1.444,
1971-05,1.533,
1971-06,1.530,
1971-07,1.775,
1971-08,1.818,
1971-09,1.891,
1971-10,1.951,
1971-11,2.073,
1971-12,2.131,
1972-01,2.206,
1972-02,2.273,
1972-03,2.237,
1972-04,2.180,
1972-05,2.197,
1972-06,2.193,
1972-07,2.236,
1972-08,2.262,
1972-09,2.243,
1972-10,2.233,
1972-11,2.229,
1972-12,2.214,
1973-01,2.199,
1973-02,2.251,
1973-03,2.247,
1973-04,2.216,
1973-05,2.665,
1973-06,2.641,
1973-07,2.571,
1973-08,2.582,
1973-09,2.585,
1973-10,2.756,
1973-11,2.723,
1973-12,2.754,
1974-01,2.827,
1974-02,2.831,
1974-03,2.922,
1974-04,2.952,
1974-05,2.946,
1974-06,2.941,
1974-07,2.964,
1974-08,2.862,
1974-09,3.168,
1974-10,3.136,
1974-11,3.244,
1974-12,3.292,
1975-01,3.288,
1975-02,3.450,
1975-03,3.584,
1975-04,3.666,
1975-05,3.066,
1975-06,3.126,
1975-07,3.157,
1975-08,3.230,
1975-09,3.330,
1975-10,3.346,
1975-11,3.395,
1975-12,3.557,
1976-01,3.654,
1976-02,3.991,
1976-03,4.003,
1976-04,3.958,
1976-05,4.004,
1976-06,4.069,
1976-07,4.181,
1976-08,4.296,
1976-09,4.334,
1976-10,4.376,
1976-11,4.428,
1976-12,4.383,
1977-01,4.384,
1977-02,4.391,
1977-03,4.651,
1977-04,4.682,
1977-05,4.771,
1977-06,4.836,
1977-07,4.888,
1977-08,4.966,
1977-09,4.944,
1977-10,5.055,
1977-11,5.195,
1977-12,5.454,
1978-01,6.132,
1978-02,6.324,
1978-03,6.640,
1978-04,6.892,
1978-05,7.336,
1978-06,7.380,
1978-07,7.724,
1978-08,7.806,
1978-09,7.804,
1978-10,7.829,
1978-11,8.119,
1978-12,8.222,
1979-01,8.597,
1979-02,8.631,
1979-03,8.868,
1979-04,9.102,
1979-05,9.361,
1979-06,10.363,
1979-07,10.897,
1979-08,11.176,
1979-09,11.784,
1979-10,12.298,
1979-11,12.627,
1979-12,13.122,
1980-01,13.294,
1980-02,13.310,
1980-03,13.763,
1980-04,14.062,
1980-05,14.198,
1980-06,14.225,
1980-07,14.368,
1980-08,14.410,
1980-09,14.498,
1980-10,14.393,
1980-11,14.497,
1980-12,14.471,
1981-01,14.609,
1981-02,14.627,
1981-03,14.724,
1981-04,14.758,
1981-05,14.859,
1981-06,14.892,
1981-07,15.231,
1981-08,15.099,
1981-09,14.996,
1981-10,14.826,
1981-11,14.833,
1981-12,15.415,
1982-01,15.313,
1982-02,15.339,
1982-03,15.111,
1982-04,15.021,
1982-05,14.986,
1982-06,15.311,
1982-07,15.634,
1982-08,15.660,
1982-09,15.839,
1982-10,16.092,
1982-11,16.066,
1982-12,15.972,
1983-01,16.330,
1983-02,16.429,
1983-03,16.424,
1983-04,16.545,
1983-05,17.392,
1983-06,17.661,
1983-07,17.756,
1983-08,17.951,
1983-09,17.873,
1983-10,18.210,
1983-11,18.459,
1983-12,18.753,
1984-01,18.903,
1984-02,18.688,
1984-03,18.728,
1984-04,18.849,
1984-05,19.121,
1984-06,19.189,
1984-07,19.421,
1984-08,19.184,
1984-09,19.639,
1984-10,19.844,
1984-11,20.081,
1984-12,20.480,
1985-01,20.839,
1985-02,21.125,
1985-03,20.733,
1985-04,20.723,
1985-05,20.859,
1985-06,20.920,
1985-07,20.536,
1985-08,20.764,
1985-09,20.736,
1985-10,20.828,
1985-11,21.066,
1985-12,21.203,
1986-01,21.041,
1986-02,20.996,
1986-03,21.457,
1986-04,21.661,
1986-05,21.785,
1986-06,21.460,
1986-07,21.072,
1986-08,21.129,
1986-09,21.241,
1986-10,21.279,
1986-11,21.104,
1986-12,21.630,
1987-01,21.415,
1987-02,21.358,
1987-03,21.369,
1987-04,21.465,
1987-05,21.681,
1987-06,21.833,
1987-07,21.684,
1987-08,21.396,
1987-09,21.292,
1987-10,21.154,
1987-11,21.160,
1987-12,21.076,
1988-01,21.350,
1988-02,21.341,
1988-03,21.251,
1988-04,21.336,
1988-05,21.334,
1988-06,21.449,
1988-07,22.005,
1988-08,22.099,
1988-09,22.174,
1988-10,22.197,
1988-11,22.454,
1988-12,24.738,
1989-01,27.783,
1989-02,28.090,
1989-03,27.701,
1989-04,27.604,
1989-05,28.031,
1989-06,28.285,
1989-07,28.411,
1989-08,28.593,
1989-09,28.209,
1989-10,28.242,
1989-11,28.424,
1989-12,28.195,
1990-01,28.369,
1990-02,28.348,
1990-03,28.552,
1990-04,28.213,
1990-05,28.103,
1990-06,43.586,
1990-07,43.884,
1990-08,44.388,
1990-09,44.007,
1990-10,43.328,
1990-11,42.815,
1990-12,42.096,
1991-01,41.814,
1991-02,41.461,
1991-03,41.910,
1991-04,41.165,
1991-05,40.306,
1991-06,39.461,
1991-07,38.558,
1991-08,38.118,
1991-09,37.437,
1991-10,37.099,
1991-11,36.889,
1991-12,35.824,
1992-01,35.172,
1992-02,35.102,
1992-03,34.988,
1992-04,36.179,
1992-05,35.870,
1992-06,35.403,
1992-07,34.896,
1992-08,34.485,
1992-09,35.389,
1992-10,36.211,
1992-11,36.000,
1992-12,35.462,
1993-01,34.090,
1993-02,34.012,
1993-03,33.455,
1993-04,33.207,
1993-05,33.732,
1993-06,33.320,
1993-07,33.191,
1993-08,33.076,
1993-09,33.044,
1993-10,33.749,
1993-11,35.542,
1993-12,36.959,
1994-01,36.376,
1994-02,35.207,
1994-03,35.148,
1994-04,35.177,
1994-05,35.187,
1994-06,35.787,
1994-07,35.909,
1994-08,35.681,
1994-09,35.782,
1994-10,35.862,
1994-11,37.202,
1994-12,43.306,
1995-01,42.883,
1995-02,42.468,
1995-03,42.697,
1995-04,42.002,
1995-05,43.357,
1995-06,44.858,
1995-07,45.480,
1995-08,46.846,
1995-09,47.938,
1995-10,49.477,
1995-11,49.022,
1995-12,44.659,
1996-01,45.335,
1996-02,45.092,
1996-03,46.381,
1996-04,47.201,
1996-05,46.712,
1996-06,45.772,
1996-07,45.169,
1996-08,44.436,
1996-09,44.041,
1996-10,44.177,
1996-11,44.647,
1996-12,45.827,
1997-01,46.849,
1997-02,46.951,
1997-03,47.728,
1997-04,48.294,
1997-05,48.726,
1997-06,50.099,
1997-07,50.163,
1997-08,50.673,
1997-09,50.746,
1997-10,51.132,
1997-11,51.442,
1997-12,51.069,
1998-01,51.537,
1998-02,50.977,
1998-03,51.283,
1998-04,50.653,
1998-05,50.717,
1998-06,51.224,
1998-07,50.653,
1998-08,49.688,
1998-09,49.734,
1998-10,49.552,
1998-11,50.059,
1998-12,52.304,
1999-01,47.947,
1999-02,47.762,
1999-03,49.139,
1999-04,49.910,
1999-05,50.764,
1999-06,52.913,
1999-07,56.719,
1999-08,57.595,
1999-09,56.747,
1999-10,57.425,
1999-11,56.791,
1999-12,56.266,
2000-01,61.094,
2000-02,63.239,
2000-03,64.149,
2000-04,65.404,
2000-05,63.601,
2000-06,61.985,
2000-07,59.840,
2000-08,58.509,
2000-09,58.574,
2000-10,58.167,
2000-11,56.700,
2000-12,54.315,
2001-01,50.662,
2001-02,48.428,
2001-03,45.258,
2001-04,44.249,
2001-05,46.748,
2001-06,48.536,
2001-07,48.865,
2001-08,48.597,
2001-09,51.168,
2001-10,51.115,
2001-11,53.349,
2001-12,55.918,
2002-01,55.337,
2002-02,57.805,
2002-03,58.402,
2002-04,58.094,
2002-05,58.212,
2002-06,57.788,
2002-07,59.392,
2002-08,60.081,
2002-09,58.545,
2002-10,57.435,
2002-11,57.894,
2002-12,57.353,
2003-01,58.109,
2003-02,57.273,
2003-03,57.160,
2003-04,56.868,
2003-05,58.572,
2003-06,59.742,
2003-07,61.262,
2003-08,58.317,
2003-09,55.018,
2003-10,61.234,
2003-11,60.609,
2003-12,60.622,
2004-01,61.871,
2004-02,64.218,
2004-03,67.654,
2004-04,67.532,
2004-05,65.914,
2004-06,66.663,
2004-07,66.994,
2004-08,67.569,
2004-09,67.074,
2004-10,66.786,
2004-11,65.683,
2004-12,64.281,
2005-01,66.851,
2005-02,65.193,
2005-03,65.263,
2005-04,68.041,
2005-05,68.860,
2005-06,78.257,
2005-07,79.072,
2005-08,79.834,
2005-09,80.356,
2005-10,81.698,
2005-11,82.628,
2005-12,84.144,
2006-01,81.401,
2006-02,82.675,
2006-03,86.415,
2006-04,86.136,
2006-05,84.786,
2006-06,85.309,
2006-07,86.026,
2006-08,84.731,
2006-09,85.991,
2006-10,85.837,
2006-11,87.409,
2006-12,85.589,
2007-01,86.937,
2007-02,87.069,
2007-03,86.439,
2007-04,85.542,
2007-05,88.989,
2007-06,88.848,
2007-07,88.463,
2007-08,88.354,
2007-09,87.949,
2007-10,85.884,
2007-11,80.362,
2007-12,79.890,
2008-01,81.158,
2008-02,81.485,
2008-03,81.648,
2008-04,82.059,
2008-05,81.117,
2008-06,77.076,
2008-07,78.436,
2008-08,81.271,
2008-09,90.580,
2008-10,94.859,
2008-11,100.659,
2008-12,96.533,
2009-01,97.579,
2009-02,98.082,
2009-03,96.906,
2009-04,96.332,
2009-05,103.006,
2009-06,103.661,
2009-07,102.503,
2009-08,99.229,
2009-09,96.405,
2009-10,94.619,
2009-11,90.636,
2009-12,87.371,
2010-01,86.293,
2010-02,86.191,
2010-03,90.968,
2010-04,90.805,
2010-05,91.451,
2010-06,89.927,
2010-07,83.784,
2010-08,85.065,
2010-09,86.660,
2010-10,85.435,
2010-11,86.378,
2010-12,88.060,
2011-01,87.908,
