"",BBK01.OUC284,BBK01.OUC284_FLAGS
"",Time deposits of resident households / for more than one year up to and including two years / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:20:02,
1999-01,0.059,
1999-02,0.066,
1999-03,0.066,
1999-04,0.067,
1999-05,0.070,
1999-06,0.070,
1999-07,0.088,
1999-08,0.089,
1999-09,0.084,
1999-10,0.087,
1999-11,0.089,
1999-12,0.091,
2000-01,0.092,
2000-02,0.090,
2000-03,0.091,
2000-04,0.091,
2000-05,0.091,
2000-06,0.098,
2000-07,0.081,
2000-08,0.079,
2000-09,0.080,
2000-10,0.081,
2000-11,0.081,
2000-12,0.087,
2001-01,0.088,
2001-02,0.078,
2001-03,0.072,
2001-04,0.073,
2001-05,0.066,
2001-06,0.065,
2001-07,0.059,
2001-08,0.056,
2001-09,0.056,
2001-10,0.063,
2001-11,0.059,
2001-12,0.038,
2002-01,0.043,
2002-02,0.051,
2002-03,0.053,
2002-04,0.048,
2002-05,0.048,
2002-06,0.050,
2002-07,0.053,
2002-08,0.052,
2002-09,0.052,
2002-10,0.056,
2002-11,0.067,
2002-12,0.059,
2003-01,0.052,
2003-02,0.061,
2003-03,0.060,
2003-04,0.067,
2003-05,0.076,
2003-06,0.084,
2003-07,0.092,
2003-08,0.118,
2003-09,0.117,
2003-10,0.120,
2003-11,0.122,
2003-12,0.105,
2004-01,0.111,
2004-02,0.111,
2004-03,0.110,
2004-04,0.098,
2004-05,0.088,
2004-06,0.081,
2004-07,0.073,
2004-08,0.059,
2004-09,0.057,
2004-10,0.059,
2004-11,0.056,
2004-12,0.803,
2005-01,0.765,
2005-02,0.745,
2005-03,0.736,
2005-04,0.728,
2005-05,0.731,
2005-06,0.724,
2005-07,0.719,
2005-08,0.714,
2005-09,0.709,
2005-10,0.698,
2005-11,0.691,
2005-12,0.681,
2006-01,0.666,
2006-02,0.655,
2006-03,0.659,
2006-04,0.665,
2006-05,0.677,
2006-06,0.710,
2006-07,0.733,
2006-08,0.762,
2006-09,0.787,
2006-10,0.802,
2006-11,0.817,
2006-12,0.819,
2007-01,0.832,
2007-02,0.852,
2007-03,0.887,
2007-04,0.915,
2007-05,0.944,
2007-06,1.012,
2007-07,1.068,
2007-08,1.134,
2007-09,1.187,
2007-10,1.295,
2007-11,1.569,
2007-12,2.206,
2008-01,2.937,
2008-02,3.114,
2008-03,3.272,
2008-04,3.472,
2008-05,3.536,
2008-06,3.579,
2008-07,4.018,
2008-08,4.459,
2008-09,4.598,
2008-10,4.657,
2008-11,5.048,
2008-12,4.886,
2009-01,5.092,
2009-02,5.268,
2009-03,5.322,
2009-04,5.170,
2009-05,5.204,
2009-06,5.223,
2009-07,5.081,
2009-08,4.747,
2009-09,4.719,
2009-10,4.729,
2009-11,4.284,
2009-12,4.243,
2010-01,3.513,
2010-02,3.116,
2010-03,2.924,
2010-04,2.858,
2010-05,2.742,
2010-06,2.741,
2010-07,2.549,
2010-08,2.299,
2010-09,2.231,
2010-10,2.123,
2010-11,2.053,
2010-12,1.837,
2011-01,1.695,
2011-02,1.651,
2011-03,1.643,
2011-04,1.615,
2011-05,1.642,
2011-06,1.576,
2011-07,1.562,
2011-08,1.453,
2011-09,1.353,
2011-10,1.499,
2011-11,1.695,
2011-12,2.031,
2012-01,2.153,
2012-02,2.255,
2012-03,2.307,
2012-04,2.258,
2012-05,2.223,
2012-06,2.176,
2012-07,2.192,
2012-08,2.196,
2012-09,2.185,
2012-10,2.026,
2012-11,1.663,
2012-12,1.278,
2013-01,1.101,
2013-02,1.005,
2013-03,0.934,
2013-04,1.016,
2013-05,1.182,
2013-06,1.174,
2013-07,1.125,
2013-08,1.124,
2013-09,1.113,
2013-10,1.079,
2013-11,1.196,
2013-12,1.180,
2014-01,1.081,
2014-02,1.006,
2014-03,0.982,
2014-04,0.904,
2014-05,0.712,
2014-06,0.679,
2014-07,0.664,
2014-08,0.630,
2014-09,0.588,
2014-10,0.573,
2014-11,0.436,
2014-12,0.429,Provisional value
