"",BBK01.OUD175,BBK01.OUD175_FLAGS
"",Deposits and borrowing from resident households / Total / Regional banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:19:23,
1999-01,116.093,
1999-02,116.829,
1999-03,116.725,
1999-04,117.446,
1999-05,118.104,
1999-06,118.818,
1999-07,118.701,
1999-08,118.428,
1999-09,147.947,
1999-10,148.125,
1999-11,150.864,
1999-12,152.159,
2000-01,151.697,
2000-02,153.914,
2000-03,153.097,
2000-04,151.674,
2000-05,150.364,
2000-06,148.418,
2000-07,148.056,
2000-08,147.285,
2000-09,146.920,
2000-10,145.660,
2000-11,148.355,
2000-12,148.396,
2001-01,148.911,
2001-02,150.663,
2001-03,152.521,
2001-04,153.095,
2001-05,154.095,
2001-06,155.324,
2001-07,156.083,
2001-08,156.461,
2001-09,158.670,
2001-10,159.246,
2001-11,164.140,
2001-12,166.868,
2002-01,166.733,
2002-02,167.968,
2002-03,169.170,
2002-04,169.435,
2002-05,170.302,
2002-06,172.162,
2002-07,172.876,
2002-08,174.141,
2002-09,174.920,
2002-10,176.821,
2002-11,182.755,
2002-12,184.700,
2003-01,188.271,
2003-02,192.321,
2003-03,195.223,
2003-04,196.652,
2003-05,198.101,
2003-06,199.340,
2003-07,193.499,
2003-08,194.569,
2003-09,194.920,
2003-10,195.170,
2003-11,199.404,
2003-12,198.416,
2004-01,201.376,
2004-02,203.865,
2004-03,205.150,
2004-04,206.539,
2004-05,207.869,
2004-06,205.497,
2004-07,206.152,
2004-08,206.120,
2004-09,206.789,
2004-10,207.904,
2004-11,211.391,
2004-12,151.204,
2005-01,153.541,
2005-02,156.063,
2005-03,157.935,
2005-04,160.034,
2005-05,161.336,
2005-06,162.877,
2005-07,163.182,
2005-08,160.458,
2005-09,159.681,
2005-10,159.847,
2005-11,161.767,
2005-12,164.202,
2006-01,164.651,
2006-02,165.310,
2006-03,166.528,
2006-04,167.841,
2006-05,169.377,
2006-06,169.907,
2006-07,169.120,
2006-08,168.478,
2006-09,166.688,
2006-10,170.276,
2006-11,173.121,
2006-12,174.990,
2007-01,176.332,
2007-02,179.151,
2007-03,181.507,
2007-04,183.030,
2007-05,185.345,
2007-06,187.971,
2007-07,188.157,
2007-08,191.245,
2007-09,191.984,
2007-10,192.572,
2007-11,195.653,
2007-12,200.398,
2008-01,203.937,
2008-02,205.874,
2008-03,207.296,
2008-04,210.186,
2008-05,211.518,
2008-06,211.027,
2008-07,212.068,
2008-08,213.045,
2008-09,215.872,
2008-10,221.066,
2008-11,226.008,
2008-12,227.713,
2009-01,232.055,
2009-02,237.218,
2009-03,238.785,
2009-04,240.236,
2009-05,239.749,
2009-06,239.563,
2009-07,240.038,
2009-08,239.523,
2009-09,243.503,
2009-10,244.956,
2009-11,247.113,
2009-12,246.797,
2010-01,248.455,
2010-02,248.536,
2010-03,249.258,
2010-04,251.159,
2010-05,252.376,
2010-06,252.810,
2010-07,254.216,
2010-08,254.267,
2010-09,254.109,
2010-10,256.165,
2010-11,260.412,
2010-12,263.814,
2011-01,265.932,
2011-02,269.951,
2011-03,271.975,
2011-04,272.758,
2011-05,274.491,
2011-06,275.039,
2011-07,277.014,
2011-08,278.703,
2011-09,279.714,
2011-10,280.363,
2011-11,282.106,
2011-12,283.037,
2012-01,284.298,
2012-02,284.952,
2012-03,284.257,
2012-04,285.790,
2012-05,287.696,
2012-06,288.655,
2012-07,291.076,
2012-08,292.859,
2012-09,293.235,
2012-10,293.010,
2012-11,294.581,
2012-12,296.520,
2013-01,297.912,
2013-02,299.400,
2013-03,299.692,
2013-04,299.730,
2013-05,301.472,
2013-06,301.558,
2013-07,301.574,
2013-08,303.342,
2013-09,303.282,
2013-10,304.604,
2013-11,307.112,
2013-12,308.266,
2014-01,309.088,
2014-02,310.018,
2014-03,310.103,
2014-04,311.469,
2014-05,313.652,
2014-06,314.037,
2014-07,315.755,
2014-08,318.055,
2014-09,317.073,
2014-10,319.800,
2014-11,322.831,
2014-12,324.268,Provisional value
