"",BBK01.OUG370,BBK01.OUG370_FLAGS
"",Loans to foreign enterprises and households for over one year and up to and including five years / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:21,
1999-01,5.709,
1999-02,5.420,
1999-03,5.531,
1999-04,5.672,
1999-05,6.152,
1999-06,6.109,
1999-07,5.979,
1999-08,6.697,
1999-09,6.739,
1999-10,6.452,
1999-11,6.915,
1999-12,7.403,
2000-01,7.506,
2000-02,7.120,
2000-03,7.660,
2000-04,8.187,
2000-05,8.602,
2000-06,8.876,
2000-07,9.212,
2000-08,10.256,
2000-09,10.758,
2000-10,10.944,
2000-11,11.237,
2000-12,10.530,
2001-01,10.857,
2001-02,11.238,
2001-03,11.827,
2001-04,12.462,
2001-05,13.306,
2001-06,13.298,
2001-07,13.334,
2001-08,13.242,
2001-09,13.088,
2001-10,13.534,
2001-11,13.695,
2001-12,14.435,
2002-01,14.786,
2002-02,15.227,
2002-03,15.061,
2002-04,14.676,
2002-05,14.629,
2002-06,14.153,
2002-07,13.961,
2002-08,13.997,
2002-09,14.225,
2002-10,14.337,
2002-11,14.524,
2002-12,13.949,
2003-01,13.652,
2003-02,14.030,
2003-03,13.877,
2003-04,13.710,
2003-05,13.326,
2003-06,13.530,
2003-07,13.753,
2003-08,14.093,
2003-09,13.262,
2003-10,13.185,
2003-11,12.506,
2003-12,11.857,
2004-01,11.900,
2004-02,11.761,
2004-03,11.670,
2004-04,11.613,
2004-05,11.556,
2004-06,11.334,
2004-07,11.157,
2004-08,11.009,
2004-09,10.705,
2004-10,10.313,
2004-11,9.903,
2004-12,9.707,
2005-01,9.771,
2005-02,9.899,
2005-03,10.085,
2005-04,10.240,
2005-05,10.417,
2005-06,10.593,
2005-07,10.688,
2005-08,10.934,
2005-09,11.409,
2005-10,11.890,
2005-11,12.723,
2005-12,12.756,
2006-01,12.945,
2006-02,13.992,
2006-03,14.362,
2006-04,14.605,
2006-05,14.562,
2006-06,15.338,
2006-07,15.196,
2006-08,15.499,
2006-09,16.198,
2006-10,17.383,
2006-11,17.597,
2006-12,17.496,
2007-01,17.350,
2007-02,17.428,
2007-03,17.537,
2007-04,17.833,
2007-05,18.981,
2007-06,19.868,
2007-07,20.247,
2007-08,21.776,
2007-09,21.830,
2007-10,22.460,
2007-11,23.669,
2007-12,26.018,
2008-01,26.463,
2008-02,26.539,
2008-03,27.241,
2008-04,28.934,
2008-05,29.644,
2008-06,35.603,
2008-07,36.486,
2008-08,39.005,
2008-09,41.079,
2008-10,44.684,
2008-11,45.687,
2008-12,43.957,
2009-01,45.506,
2009-02,45.562,
2009-03,44.414,
2009-04,44.957,
2009-05,44.001,
2009-06,43.644,
2009-07,43.930,
2009-08,42.489,
2009-09,41.952,
2009-10,41.140,
2009-11,40.316,
2009-12,39.374,
2010-01,40.086,
2010-02,39.797,
2010-03,39.062,
2010-04,40.093,
2010-05,40.705,
2010-06,38.255,
2010-07,36.522,
2010-08,35.700,
2010-09,34.932,
2010-10,34.711,
2010-11,35.115,
2010-12,34.409,
2011-01,33.481,
2011-02,32.341,
2011-03,30.830,
2011-04,29.453,
2011-05,30.406,
2011-06,29.681,
2011-07,29.621,
2011-08,28.749,
2011-09,29.541,
2011-10,28.973,
2011-11,28.279,
2011-12,28.127,
2012-01,28.439,
2012-02,28.400,
2012-03,28.255,
2012-04,27.937,
2012-05,28.608,
2012-06,28.281,
2012-07,27.946,
2012-08,27.316,
2012-09,26.669,
2012-10,26.394,
2012-11,26.080,
2012-12,25.874,
2013-01,25.124,
2013-02,25.196,
2013-03,25.654,
2013-04,25.383,
2013-05,24.861,
2013-06,24.841,
2013-07,24.123,
2013-08,23.888,
2013-09,23.358,
2013-10,23.058,
2013-11,22.718,
2013-12,22.554,
2014-01,23.461,
2014-02,23.823,
2014-03,23.713,
2014-04,23.869,
2014-05,23.957,
2014-06,26.178,
2014-07,28.221,
2014-08,29.216,
2014-09,29.918,
2014-10,29.885,
2014-11,31.113,
2014-12,31.240,Provisional value
