"",BBK01.OUH355,BBK01.OUH355_FLAGS
"",Lending to local government and local government associations / Total / Savings banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:57:20,
1999-01,21.616,
1999-02,21.310,
1999-03,21.424,
1999-04,21.342,
1999-05,20.990,
1999-06,21.247,
1999-07,21.132,
1999-08,20.779,
1999-09,21.014,
1999-10,21.125,
1999-11,21.137,
1999-12,21.238,
2000-01,21.285,
2000-02,21.261,
2000-03,21.236,
2000-04,21.316,
2000-05,20.893,
2000-06,21.338,
2000-07,21.123,
2000-08,20.795,
2000-09,21.169,
2000-10,21.029,
2000-11,20.608,
2000-12,20.718,
2001-01,20.978,
2001-02,20.723,
2001-03,20.931,
2001-04,20.991,
2001-05,20.748,
2001-06,20.987,
2001-07,20.890,
2001-08,20.369,
2001-09,20.854,
2001-10,21.075,
2001-11,20.953,
2001-12,20.710,
2002-01,21.237,
2002-02,20.898,
2002-03,21.000,
2002-04,21.216,
2002-05,20.816,
2002-06,21.202,
2002-07,21.397,
2002-08,20.788,
2002-09,21.170,
2002-10,21.521,
2002-11,21.339,
2002-12,21.636,
2003-01,22.219,
2003-02,22.241,
2003-03,22.899,
2003-04,23.660,
2003-05,22.970,
2003-06,24.056,
2003-07,23.765,
2003-08,23.296,
2003-09,23.836,
2003-10,24.205,
2003-11,24.282,
2003-12,24.720,
2004-01,25.094,
2004-02,25.080,
2004-03,25.012,
2004-04,25.327,
2004-05,24.844,
2004-06,25.108,
2004-07,25.163,
2004-08,24.739,
2004-09,25.293,
2004-10,25.560,
2004-11,25.136,
2004-12,25.616,
2005-01,26.409,
2005-02,26.331,
2005-03,26.677,
2005-04,26.757,
2005-05,26.113,
2005-06,26.760,
2005-07,26.854,
2005-08,26.047,
2005-09,26.509,
2005-10,27.250,
2005-11,26.922,
2005-12,27.388,
2006-01,28.152,
2006-02,27.656,
2006-03,28.004,
2006-04,28.076,
2006-05,27.665,
2006-06,27.983,
2006-07,28.122,
2006-08,27.751,
2006-09,27.672,
2006-10,28.033,
2006-11,27.752,
2006-12,28.305,
2007-01,28.892,
2007-02,28.281,
2007-03,28.296,
2007-04,28.144,
2007-05,27.457,
2007-06,27.763,
2007-07,27.709,
2007-08,26.978,
2007-09,27.241,
2007-10,27.436,
2007-11,26.914,
2007-12,26.865,
2008-01,27.031,
2008-02,26.735,
2008-03,26.596,
2008-04,26.646,
2008-05,25.771,
2008-06,26.156,
2008-07,26.243,
2008-08,25.233,
2008-09,25.748,
2008-10,26.833,
2008-11,26.718,
2008-12,27.563,
2009-01,27.616,
2009-02,27.795,
2009-03,28.031,
2009-04,27.814,
2009-05,27.142,
2009-06,27.703,
2009-07,28.280,
2009-08,27.547,
2009-09,28.308,
2009-10,28.965,
2009-11,28.905,
2009-12,28.813,
2010-01,29.776,
2010-02,29.280,
2010-03,29.922,
2010-04,30.167,
2010-05,29.820,
2010-06,30.616,
2010-07,30.555,
2010-08,29.651,
2010-09,30.772,
2010-10,30.905,
2010-11,30.741,
2010-12,30.749,
2011-01,32.139,
2011-02,31.659,
2011-03,32.227,
2011-04,32.228,
2011-05,32.057,
2011-06,33.224,
2011-07,33.462,
2011-08,32.514,
2011-09,33.404,
2011-10,34.122,
2011-11,34.068,
2011-12,34.505,
2012-01,34.921,
2012-02,34.258,
2012-03,34.541,
2012-04,34.409,
2012-05,33.350,
2012-06,34.686,
2012-07,34.303,
2012-08,33.465,
2012-09,34.251,
2012-10,34.860,
2012-11,34.964,
2012-12,35.377,
2013-01,36.042,
2013-02,35.660,
2013-03,36.227,
2013-04,36.392,
2013-05,35.529,
2013-06,35.831,
2013-07,36.414,
2013-08,35.600,
2013-09,36.196,
2013-10,36.705,
2013-11,36.893,
2013-12,36.558,
2014-01,37.279,
2014-02,36.682,
2014-03,37.076,
2014-04,36.836,
2014-05,36.051,
2014-06,36.201,
2014-07,36.648,
2014-08,35.604,
2014-09,36.222,
2014-10,36.831,
2014-11,36.263,
2014-12,37.845,Provisional value
