"",BBK01.OUK347,BBK01.OUK347_FLAGS
"",Lending to the Federal Government and its special funds / Total / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:55:22,
1999-01,10.627,
1999-02,10.752,
1999-03,10.391,
1999-04,9.909,
1999-05,9.794,
1999-06,9.595,
1999-07,9.666,
1999-08,10.233,
1999-09,8.769,
1999-10,8.683,
1999-11,10.713,
1999-12,9.998,
2000-01,10.036,
2000-02,9.343,
2000-03,8.471,
2000-04,8.526,
2000-05,8.441,
2000-06,8.262,
2000-07,8.037,
2000-08,5.290,
2000-09,4.663,
2000-10,6.020,
2000-11,7.985,
2000-12,8.281,
2001-01,3.827,
2001-02,4.855,
2001-03,3.475,
2001-04,3.257,
2001-05,2.393,
2001-06,2.971,
2001-07,2.819,
2001-08,2.680,
2001-09,2.798,
2001-10,2.637,
2001-11,3.933,
2001-12,3.039,
2002-01,2.029,
2002-02,2.159,
2002-03,2.156,
2002-04,2.538,
2002-05,2.122,
2002-06,1.937,
2002-07,3.261,
2002-08,1.917,
2002-09,1.547,
2002-10,1.669,
2002-11,2.050,
2002-12,3.396,
2003-01,4.159,
2003-02,3.199,
2003-03,2.894,
2003-04,2.737,
2003-05,4.233,
2003-06,2.276,
2003-07,2.490,
2003-08,3.286,
2003-09,2.792,
2003-10,1.844,
2003-11,2.042,
2003-12,2.533,
2004-01,2.852,
2004-02,2.376,
2004-03,1.917,
2004-04,1.791,
2004-05,2.187,
2004-06,2.058,
2004-07,1.934,
2004-08,2.477,
2004-09,2.652,
2004-10,1.895,
2004-11,1.679,
2004-12,2.151,
2005-01,3.816,
2005-02,4.135,
2005-03,4.405,
2005-04,5.050,
2005-05,4.952,
2005-06,3.517,
2005-07,3.518,
2005-08,3.595,
2005-09,3.579,
2005-10,3.105,
2005-11,3.657,
2005-12,3.137,
2006-01,1.715,
2006-02,1.509,
2006-03,1.111,
2006-04,1.594,
2006-05,2.601,
2006-06,1.475,
2006-07,1.245,
2006-08,0.327,
2006-09,1.084,
2006-10,1.144,
2006-11,1.264,
2006-12,-0.271,
2007-01,1.225,
2007-02,1.352,
2007-03,1.194,
2007-04,1.186,
2007-05,0.342,
2007-06,0.192,
2007-07,0.422,
2007-08,1.666,
2007-09,2.132,
2007-10,0.212,
2007-11,-0.454,
2007-12,-0.420,
2008-01,-1.175,
2008-02,-0.530,
2008-03,-0.521,
2008-04,-0.765,
2008-05,-0.912,
2008-06,-0.740,
2008-07,-0.696,
2008-08,-0.644,
2008-09,-0.675,
2008-10,0.005,
2008-11,-0.724,
2008-12,-0.346,
2009-01,0.589,
2009-02,0.780,
2009-03,1.204,
2009-04,1.923,
2009-05,2.647,
2009-06,2.698,
2009-07,2.525,
2009-08,2.931,
2009-09,2.196,
2009-10,3.162,
2009-11,2.331,
2009-12,-0.273,
2010-01,1.541,
2010-02,3.291,
2010-03,2.028,
2010-04,2.726,
2010-05,1.824,
2010-06,0.357,
2010-07,0.550,
2010-08,1.101,
2010-09,0.413,
2010-10,1.589,
2010-11,1.695,
2010-12,1.072,
2011-01,1.436,
2011-02,1.622,
2011-03,0.654,
2011-04,0.991,
2011-05,0.331,
2011-06,0.676,
2011-07,0.528,
2011-08,0.643,
2011-09,0.910,
2011-10,0.527,
2011-11,0.526,
2011-12,0.006,
2012-01,0.660,
2012-02,0.985,
2012-03,0.364,
2012-04,0.818,
2012-05,0.905,
2012-06,0.842,
2012-07,0.843,
2012-08,0.990,
2012-09,0.999,
2012-10,1.057,
2012-11,1.040,
2012-12,0.918,
2013-01,0.673,
2013-02,0.990,
2013-03,0.868,
2013-04,0.679,
2013-05,1.174,
2013-06,0.940,
2013-07,0.602,
2013-08,0.777,
2013-09,0.896,
2013-10,1.084,
2013-11,0.950,
2013-12,0.538,
2014-01,0.537,
2014-02,0.837,
2014-03,0.275,
2014-04,0.205,
2014-05,0.643,
2014-06,1.475,
2014-07,1.042,
2014-08,0.848,
2014-09,0.812,
2014-10,0.735,
2014-11,0.641,
2014-12,0.489,Provisional value
