"",BBK01.OUL237,BBK01.OUL237_FLAGS
"",Deposits and borrowing from other domestic households / Time deposits / for up to and including 1 year / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:34:59,
1968-12,0.042,
1969-01,0.047,
1969-02,0.049,
1969-03,0.050,
1969-04,0.050,
1969-05,0.051,
1969-06,0.051,
1969-07,0.051,
1969-08,0.055,
1969-09,0.055,
1969-10,0.055,
1969-11,0.057,
1969-12,0.062,
1970-01,0.067,
1970-02,0.076,
1970-03,0.083,
1970-04,0.092,
1970-05,0.100,
1970-06,0.111,
1970-07,0.127,
1970-08,0.135,
1970-09,0.137,
1970-10,0.139,
1970-11,0.143,
1970-12,0.148,
1971-01,0.156,
1971-02,0.164,
1971-03,0.168,
1971-04,0.170,
1971-05,0.170,
1971-06,0.173,
1971-07,0.183,
1971-08,0.192,
1971-09,0.196,
1971-10,0.205,
1971-11,0.207,
1971-12,0.213,
1972-01,0.223,
1972-02,0.229,
1972-03,0.223,
1972-04,0.225,
1972-05,0.228,
1972-06,0.229,
1972-07,0.238,
1972-08,0.246,
1972-09,0.246,
1972-10,0.259,
1972-11,0.268,
1972-12,0.285,
1973-01,0.303,
1973-02,0.317,
1973-03,0.327,
1973-04,0.359,
1973-05,0.402,
1973-06,0.454,
1973-07,0.538,
1973-08,0.614,
1973-09,0.643,
1973-10,0.688,
1973-11,0.725,
1973-12,0.824,
1974-01,0.953,
1974-02,0.992,
1974-03,1.049,
1974-04,1.081,
1974-05,1.083,
1974-06,1.105,
1974-07,1.151,
1974-08,1.161,
1974-09,1.164,
1974-10,1.180,
1974-11,1.168,
1974-12,1.166,
1975-01,1.168,
1975-02,1.125,
1975-03,1.019,
1975-04,0.830,
1975-05,0.733,
1975-06,0.668,
1975-07,0.625,
1975-08,0.595,
1975-09,0.548,
1975-10,0.505,
1975-11,0.489,
1975-12,0.473,
1976-01,0.446,
1976-02,0.428,
1976-03,0.405,
1976-04,0.389,
1976-05,0.391,
1976-06,0.383,
1976-07,0.389,
1976-08,0.399,
1976-09,0.401,
1976-10,0.397,
1976-11,0.398,
1976-12,0.412,
1977-01,0.421,
1977-02,0.425,
1977-03,0.427,
1977-04,0.431,
1977-05,0.444,
1977-06,0.434,
1977-07,0.450,
1977-08,0.453,
1977-09,0.459,
1977-10,0.465,
1977-11,0.471,
1977-12,0.470,
1978-01,0.476,
