"",BBK01.OUM008,BBK01.OUM008_FLAGS
"",Other liabilities / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:18:59,
1950-06,0.095,
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,-,Nothing exists
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,0.170,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,0.199,
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,0.267,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,0.278,
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,-,Nothing exists
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,0.326,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,0.358,
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,-,Nothing exists
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,0.423,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,0.464,
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,-,Nothing exists
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,0.520,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,-,Nothing exists
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,0.527,
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,-,Nothing exists
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,0.592,
1956-01,-,Nothing exists
1956-02,-,Nothing exists
1956-03,-,Nothing exists
1956-04,-,Nothing exists
1956-05,-,Nothing exists
1956-06,0.571,
1956-07,-,Nothing exists
1956-08,-,Nothing exists
1956-09,-,Nothing exists
1956-10,-,Nothing exists
1956-11,-,Nothing exists
1956-12,0.590,
1957-01,-,Nothing exists
1957-02,-,Nothing exists
1957-03,-,Nothing exists
1957-04,-,Nothing exists
1957-05,-,Nothing exists
1957-06,0.580,
1957-07,-,Nothing exists
1957-08,-,Nothing exists
1957-09,-,Nothing exists
1957-10,-,Nothing exists
1957-11,-,Nothing exists
1957-12,0.631,
1958-01,-,Nothing exists
1958-02,-,Nothing exists
1958-03,-,Nothing exists
1958-04,-,Nothing exists
1958-05,-,Nothing exists
1958-06,0.687,
1958-07,-,Nothing exists
1958-08,-,Nothing exists
1958-09,-,Nothing exists
1958-10,-,Nothing exists
1958-11,-,Nothing exists
1958-12,0.705,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.738,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,0.800,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,0.826,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,2.012,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,2.050,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,2.174,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,2.171,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,2.431,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,2.497,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,2.336,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,2.374,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,2.504,
1965-01,2.360,
1965-02,2.435,
1965-03,2.481,
1965-04,2.356,
1965-05,2.402,
1965-06,2.513,
1965-07,2.383,
1965-08,2.462,
1965-09,2.567,
1965-10,2.439,
1965-11,2.504,
1965-12,2.610,
1966-01,2.486,
1966-02,2.486,
1966-03,2.548,
1966-04,2.423,
1966-05,2.555,
1966-06,2.670,
1966-07,2.543,
1966-08,2.612,
1966-09,2.734,
1966-10,2.624,
1966-11,2.683,
1966-12,2.858,
1967-01,2.695,
1967-02,2.721,
1967-03,2.821,
1967-04,2.682,
1967-05,2.695,
1967-06,2.963,
1967-07,2.828,
1967-08,2.903,
1967-09,3.027,
1967-10,2.969,
1967-11,3.046,
1967-12,3.309,
1968-01,3.031,
1968-02,2.977,
1968-03,3.152,
1968-04,2.978,
1968-05,3.033,
1968-06,3.184,
1968-07,2.980,
1968-08,3.073,
1968-09,3.221,
1968-10,3.085,
1968-11,3.218,
1968-12,3.311,
1969-01,3.160,
1969-02,3.028,
1969-03,2.846,
1969-04,2.681,
1969-05,2.714,
1969-06,2.904,
1969-07,2.757,
1969-08,2.862,
1969-09,2.969,
1969-10,2.841,
1969-11,2.982,
1969-12,3.166,
1970-01,2.977,
1970-02,3.038,
1970-03,3.044,
1970-04,2.859,
1970-05,2.963,
1970-06,3.129,
1970-07,2.941,
1970-08,3.041,
1970-09,3.165,
1970-10,3.020,
1970-11,3.179,
1970-12,3.321,
1971-01,3.073,
1971-02,3.214,
1971-03,3.275,
1971-04,3.014,
1971-05,3.160,
1971-06,3.334,
1971-07,3.106,
1971-08,3.197,
1971-09,3.344,
1971-10,3.156,
1971-11,3.369,
1971-12,3.664,
1972-01,3.500,
1972-02,3.608,
1972-03,3.633,
1972-04,3.410,
1972-05,3.483,
1972-06,3.633,
1972-07,3.041,
1972-08,3.114,
1972-09,3.258,
1972-10,3.104,
1972-11,3.361,
1972-12,3.614,
1973-01,3.208,
