"",BBK01.OUN377,BBK01.OUN377_FLAGS
"",Loans to foreign general government for up to and including one year / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:50,
1999-01,0.281,
1999-02,0.090,
1999-03,0.276,
1999-04,0.272,
1999-05,0.270,
1999-06,0.320,
1999-07,0.413,
1999-08,0.302,
1999-09,0.297,
1999-10,0.295,
1999-11,0.294,
1999-12,0.335,
2000-01,0.327,
2000-02,0.319,
2000-03,0.294,
2000-04,0.292,
2000-05,0.292,
2000-06,0.223,
2000-07,0.225,
2000-08,0.221,
2000-09,0.211,
2000-10,0.206,
2000-11,0.204,
2000-12,0.245,
2001-01,0.238,
2001-02,0.239,
2001-03,0.257,
2001-04,0.210,
2001-05,0.207,
2001-06,0.226,
2001-07,0.224,
2001-08,0.212,
2001-09,0.207,
2001-10,0.201,
2001-11,0.197,
2001-12,0.222,
2002-01,0.253,
2002-02,0.253,
2002-03,0.470,
2002-04,0.214,
2002-05,0.466,
2002-06,0.268,
2002-07,0.519,
2002-08,0.273,
2002-09,0.291,
2002-10,0.254,
2002-11,0.245,
2002-12,0.271,
2003-01,0.274,
2003-02,0.260,
2003-03,0.262,
2003-04,0.264,
2003-05,0.200,
2003-06,0.182,
2003-07,0.468,
2003-08,0.192,
2003-09,0.180,
2003-10,0.180,
2003-11,0.180,
2003-12,0.199,
2004-01,0.206,
2004-02,0.355,
2004-03,0.419,
2004-04,0.418,
2004-05,0.254,
2004-06,0.205,
2004-07,0.230,
2004-08,0.327,
2004-09,0.187,
2004-10,0.383,
2004-11,0.467,
2004-12,0.504,
2005-01,0.300,
2005-02,0.368,
2005-03,0.627,
2005-04,0.219,
2005-05,0.382,
2005-06,0.439,
2005-07,0.288,
2005-08,0.417,
2005-09,0.585,
2005-10,0.362,
2005-11,0.395,
2005-12,0.490,
2006-01,0.406,
2006-02,0.206,
2006-03,0.183,
2006-04,0.171,
2006-05,0.170,
2006-06,0.341,
2006-07,0.194,
2006-08,0.316,
2006-09,0.194,
2006-10,0.183,
2006-11,0.306,
2006-12,0.197,
2007-01,0.201,
2007-02,0.349,
2007-03,0.359,
2007-04,0.341,
2007-05,0.193,
2007-06,0.327,
2007-07,0.211,
2007-08,0.334,
2007-09,0.645,
2007-10,0.321,
2007-11,0.324,
2007-12,0.334,
2008-01,0.366,
2008-02,0.365,
2008-03,0.203,
2008-04,0.203,
2008-05,0.204,
2008-06,0.215,
2008-07,0.126,
2008-08,0.126,
2008-09,0.127,
2008-10,0.127,
2008-11,0.120,
2008-12,0.322,
2009-01,0.346,
2009-02,0.338,
2009-03,0.332,
2009-04,0.339,
2009-05,0.127,
2009-06,0.134,
2009-07,0.146,
2009-08,0.032,
2009-09,0.035,
2009-10,0.035,
2009-11,0.036,
2009-12,0.038,
2010-01,0.040,
2010-02,0.041,
2010-03,0.042,
2010-04,0.044,
2010-05,0.046,
2010-06,0.046,
2010-07,0.036,
2010-08,0.032,
2010-09,0.035,
2010-10,0.037,
2010-11,0.040,
2010-12,0.039,
2011-01,0.040,
2011-02,0.041,
2011-03,0.273,
2011-04,0.160,
2011-05,0.045,
2011-06,0.289,
2011-07,0.034,
2011-08,0.036,
2011-09,0.038,
2011-10,0.041,
2011-11,0.042,
2011-12,0.023,
2012-01,0.026,
2012-02,0.027,
2012-03,0.029,
2012-04,0.030,
2012-05,0.032,
2012-06,0.042,
2012-07,0.039,
2012-08,0.040,
2012-09,0.042,
2012-10,0.045,
2012-11,0.379,
2012-12,0.264,
2013-01,0.326,
2013-02,0.334,
2013-03,0.341,
2013-04,0.107,
2013-05,0.083,
2013-06,0.336,
2013-07,0.401,
2013-08,0.296,
2013-09,0.293,
2013-10,0.495,
2013-11,0.479,
2013-12,0.457,
2014-01,0.623,
2014-02,0.673,
2014-03,0.676,
2014-04,0.259,
2014-05,0.681,
2014-06,1.025,
2014-07,1.113,
2014-08,1.121,
2014-09,1.035,
2014-10,0.870,
2014-11,1.142,
2014-12,1.077,Provisional value
