"",BBK01.OUP113,BBK01.OUP113_FLAGS
"",Time deposits of domestic banks (MFIs) (excluding the Bundesbank) / short-therm / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:33,
1985-12,9.365,
1986-01,9.042,
1986-02,8.244,
1986-03,8.112,
1986-04,8.438,
1986-05,8.541,
1986-06,9.105,
1986-07,8.823,
1986-08,8.895,
1986-09,8.813,
1986-10,9.121,
1986-11,10.166,
1986-12,10.317,
1987-01,9.864,
1987-02,9.657,
1987-03,10.319,
1987-04,9.625,
1987-05,9.685,
1987-06,9.983,
1987-07,9.866,
1987-08,10.739,
1987-09,10.789,
1987-10,10.950,
1987-11,11.825,
1987-12,12.164,
1988-01,11.359,
1988-02,10.801,
1988-03,10.825,
1988-04,10.464,
1988-05,10.627,
1988-06,9.795,
1988-07,9.866,
1988-08,10.876,
1988-09,11.251,
1988-10,10.779,
1988-11,12.222,
1988-12,11.228,
1989-01,10.222,
1989-02,10.631,
1989-03,11.651,
1989-04,11.244,
1989-05,10.763,
1989-06,12.154,
1989-07,11.867,
1989-08,12.646,
1989-09,12.782,
1989-10,11.951,
1989-11,13.195,
1989-12,13.832,
1990-01,13.096,
1990-02,13.224,
1990-03,13.188,
1990-04,12.536,
1990-05,13.140,
1990-06,12.773,
1990-07,12.518,
1990-08,12.344,
1990-09,11.674,
1990-10,12.238,
1990-11,12.073,
1990-12,11.765,
1991-01,11.129,
1991-02,11.091,
1991-03,11.646,
1991-04,11.642,
1991-05,12.140,
1991-06,11.943,
1991-07,12.129,
1991-08,12.089,
1991-09,12.043,
1991-10,12.434,
1991-11,12.421,
1991-12,12.326,
1992-01,12.011,
1992-02,12.027,
1992-03,12.852,
1992-04,11.852,
1992-05,12.002,
1992-06,12.290,
1992-07,12.322,
1992-08,12.517,
1992-09,11.987,
1992-10,11.899,
1992-11,12.298,
1992-12,12.712,
1993-01,11.971,
1993-02,12.520,
1993-03,13.635,
1993-04,12.281,
1993-05,12.788,
1993-06,11.841,
1993-07,11.983,
1993-08,11.006,
1993-09,10.824,
1993-10,11.331,
1993-11,11.802,
1993-12,12.374,
1994-01,11.560,
1994-02,11.980,
1994-03,13.309,
1994-04,13.447,
1994-05,13.415,
1994-06,12.982,
1994-07,13.848,
1994-08,13.256,
1994-09,13.054,
1994-10,12.538,
1994-11,13.411,
1994-12,13.499,
1995-01,13.077,
1995-02,13.863,
1995-03,13.866,
1995-04,14.545,
1995-05,14.004,
1995-06,12.758,
1995-07,12.835,
1995-08,12.673,
1995-09,13.800,
1995-10,14.601,
1995-11,15.297,
1995-12,15.805,
1996-01,15.736,
1996-02,15.519,
1996-03,16.275,
1996-04,15.890,
1996-05,16.762,
1996-06,16.449,
1996-07,16.285,
1996-08,16.232,
1996-09,16.709,
1996-10,16.530,
1996-11,17.176,
1996-12,16.760,
1997-01,17.362,
1997-02,17.995,
1997-03,19.130,
1997-04,20.370,
1997-05,20.862,
1997-06,20.325,
1997-07,19.893,
1997-08,19.596,
1997-09,19.276,
1997-10,18.732,
1997-11,18.372,
1997-12,18.977,
1998-01,17.984,
1998-02,17.666,
1998-03,15.901,
1998-04,15.820,
1998-05,16.431,
1998-06,16.682,
1998-07,16.933,
1998-08,17.529,
1998-09,16.395,
1998-10,16.162,
1998-11,16.511,
1998-12,15.184,
1999-01,11.877,
1999-02,13.388,
1999-03,12.547,
1999-04,13.972,
1999-05,13.475,
1999-06,11.633,
1999-07,12.968,
1999-08,10.534,
1999-09,12.609,
1999-10,12.279,
1999-11,13.715,
1999-12,12.057,
2000-01,11.217,
2000-02,10.930,
2000-03,10.562,
2000-04,11.124,
2000-05,11.425,
2000-06,9.255,
2000-07,10.145,
2000-08,8.765,
2000-09,10.069,
2000-10,11.427,
2000-11,12.304,
2000-12,12.927,
2001-01,14.351,
2001-02,14.905,
2001-03,15.549,
2001-04,14.693,
2001-05,19.028,
