"",BBK01.OUU149,BBK01.OUU149_FLAGS
"",Domestic securities / Corporate debt securities (non-MFIs) / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:50:39,
1999-01,0.312,
1999-02,0.312,
1999-03,0.310,
1999-04,0.319,
1999-05,0.311,
1999-06,0.311,
1999-07,0.316,
1999-08,0.316,
1999-09,0.316,
1999-10,0.295,
1999-11,0.295,
1999-12,0.294,
2000-01,0.293,
2000-02,0.293,
2000-03,0.293,
2000-04,0.293,
2000-05,0.293,
2000-06,0.293,
2000-07,0.293,
2000-08,0.293,
2000-09,0.267,
2000-10,0.267,
2000-11,0.277,
2000-12,0.256,
2001-01,0.274,
2001-02,0.277,
2001-03,0.290,
2001-04,0.285,
2001-05,0.290,
2001-06,0.301,
2001-07,0.316,
2001-08,0.310,
2001-09,0.305,
2001-10,0.286,
2001-11,0.286,
2001-12,0.285,
2002-01,0.287,
2002-02,0.300,
2002-03,0.299,
2002-04,0.297,
2002-05,0.287,
2002-06,0.287,
2002-07,0.279,
2002-08,0.242,
2002-09,0.242,
2002-10,0.237,
2002-11,0.235,
2002-12,0.217,
2003-01,0.185,
2003-02,0.191,
2003-03,0.189,
2003-04,0.142,
2003-05,0.142,
2003-06,0.142,
2003-07,0.139,
2003-08,0.139,
2003-09,0.136,
2003-10,0.083,
2003-11,0.075,
2003-12,0.075,
2004-01,0.075,
2004-02,0.075,
2004-03,0.065,
2004-04,0.063,
2004-05,0.063,
2004-06,0.063,
2004-07,0.063,
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,-,Nothing exists
2005-09,-,Nothing exists
2005-10,-,Nothing exists
2005-11,-,Nothing exists
2005-12,-,Nothing exists
2006-01,-,Nothing exists
2006-02,-,Nothing exists
2006-03,-,Nothing exists
2006-04,-,Nothing exists
2006-05,-,Nothing exists
2006-06,-,Nothing exists
2006-07,-,Nothing exists
2006-08,-,Nothing exists
2006-09,-,Nothing exists
2006-10,-,Nothing exists
2006-11,-,Nothing exists
2006-12,-,Nothing exists
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,-,Nothing exists
2007-05,-,Nothing exists
2007-06,-,Nothing exists
2007-07,-,Nothing exists
2007-08,-,Nothing exists
2007-09,-,Nothing exists
2007-10,-,Nothing exists
2007-11,-,Nothing exists
2007-12,-,Nothing exists
2008-01,-,Nothing exists
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,-,Nothing exists
2008-05,-,Nothing exists
2008-06,-,Nothing exists
2008-07,-,Nothing exists
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-,Nothing exists
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,0.020,
2009-07,0.044,
2009-08,0.044,
2009-09,0.060,
2009-10,0.077,
2009-11,0.060,
2009-12,0.060,
2010-01,0.059,
2010-02,0.069,
2010-03,0.069,
2010-04,0.069,
2010-05,0.072,
2010-06,0.102,
2010-07,0.102,
2010-08,0.102,
2010-09,0.102,
2010-10,0.102,
2010-11,0.102,
2010-12,0.102,
2011-01,0.104,
2011-02,0.104,
2011-03,0.104,
2011-04,0.104,
2011-05,0.104,
2011-06,0.104,
2011-07,0.104,
2011-08,0.104,
2011-09,0.104,
2011-10,0.104,
2011-11,0.104,
2011-12,0.104,
2012-01,0.104,
2012-02,0.104,
2012-03,0.104,
2012-04,0.104,
2012-05,0.104,
2012-06,0.074,
2012-07,0.074,
2012-08,0.074,
2012-09,0.070,
2012-10,0.070,
2012-11,0.070,
2012-12,0.069,
2013-01,0.069,
2013-02,0.070,
2013-03,0.091,
2013-04,0.079,
2013-05,0.087,
2013-06,0.061,
2013-07,0.064,
2013-08,0.064,
2013-09,0.064,
2013-10,0.064,
2013-11,0.064,
2013-12,0.063,
2014-01,0.063,
2014-02,0.063,
2014-03,0.054,
2014-04,0.054,
2014-05,0.054,
2014-06,0.054,
2014-07,0.054,
2014-08,0.064,
2014-09,0.114,
2014-10,0.119,
2014-11,0.119,
2014-12,0.124,Provisional value
