"",BBK01.OUZ316,BBK01.OUZ316_FLAGS
"","Liabilities to banks (MFIs), total, Mortgage banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:57:48,
1999-01,98.863,
1999-02,88.100,
1999-03,86.201,
1999-04,83.779,
1999-05,86.977,
1999-06,86.920,
1999-07,87.435,
1999-08,87.575,
1999-09,86.056,
1999-10,89.360,
1999-11,94.515,
1999-12,98.913,
2000-01,105.914,
2000-02,98.752,
2000-03,98.527,
2000-04,96.064,
2000-05,100.884,
2000-06,104.321,
2000-07,100.703,
2000-08,106.073,
2000-09,109.568,
2000-10,115.900,
2000-11,117.140,
2000-12,115.831,
2001-01,116.780,
2001-02,114.947,
2001-03,117.155,
2001-04,122.383,
2001-05,118.772,
2001-06,124.592,
2001-07,120.865,
2001-08,122.471,
2001-09,125.133,
2001-10,124.302,
2001-11,127.294,
2001-12,127.515,
2002-01,128.186,
2002-02,122.244,
2002-03,120.567,
2002-04,119.794,
2002-05,122.156,
2002-06,119.484,
2002-07,121.291,
2002-08,119.342,
2002-09,121.155,
2002-10,124.467,
2002-11,123.832,
2002-12,126.774,
2003-01,129.885,
2003-02,131.252,
2003-03,132.979,
2003-04,129.578,
2003-05,129.583,
2003-06,130.580,
2003-07,128.587,
2003-08,129.511,
2003-09,128.134,
2003-10,125.997,
2003-11,131.569,
2003-12,138.271,
2004-01,134.797,
2004-02,134.674,
2004-03,137.553,
2004-04,136.147,
2004-05,134.623,
2004-06,137.609,
2004-07,140.302,
2004-08,139.794,
2004-09,140.335,
2004-10,142.130,
2004-11,141.538,
2004-12,138.391,
2005-01,148.852,
2005-02,153.759,
2005-03,155.099,
2005-04,159.880,
2005-05,162.924,
2005-06,166.219,
2005-07,170.834,
2005-08,162.055,
2005-09,168.362,
2005-10,165.739,
2005-11,162.494,
2005-12,165.672,
2006-01,175.017,
2006-02,165.934,
2006-03,158.982,
2006-04,155.444,
2006-05,157.627,
2006-06,161.708,
2006-07,154.111,
2006-08,153.014,
2006-09,155.916,
2006-10,155.108,
2006-11,156.976,
2006-12,161.137,
2007-01,159.513,
2007-02,158.124,
2007-03,163.822,
2007-04,157.972,
2007-05,155.170,
2007-06,162.026,
2007-07,157.356,
2007-08,159.001,
2007-09,166.106,
2007-10,171.537,
2007-11,170.761,
2007-12,168.397,
2008-01,164.066,
2008-02,165.240,
2008-03,167.752,
2008-04,166.877,
2008-05,169.493,
2008-06,176.414,
2008-07,177.021,
2008-08,174.314,
2008-09,184.287,
2008-10,219.596,
2008-11,205.778,
2008-12,214.615,
2009-01,225.634,
2009-02,235.272,
2009-03,235.927,
2009-04,242.286,
2009-05,239.948,
2009-06,234.418,
2009-07,228.913,
2009-08,235.034,
2009-09,229.765,
2009-10,227.692,
2009-11,223.076,
2009-12,229.399,
2010-01,232.278,
2010-02,228.838,
2010-03,225.904,
2010-04,227.201,
2010-05,240.565,
2010-06,248.374,
2010-07,247.186,
2010-08,258.306,
2010-09,248.209,
2010-10,242.541,
2010-11,241.372,
2010-12,227.379,
2011-01,215.295,
2011-02,203.142,
2011-03,195.878,
2011-04,183.194,
2011-05,173.797,
2011-06,170.243,
2011-07,161.679,
2011-08,160.820,
2011-09,166.289,
2011-10,152.984,
2011-11,153.013,
2011-12,164.499,
2012-01,162.746,
2012-02,162.749,
2012-03,160.122,
2012-04,153.259,
2012-05,154.142,
2012-06,152.322,
2012-07,150.484,
2012-08,146.127,
2012-09,142.558,
2012-10,138.776,
2012-11,138.123,
2012-12,134.497,
2013-01,135.008,
2013-02,126.579,
2013-03,124.398,
2013-04,122.728,
2013-05,119.529,
2013-06,117.643,
2013-07,115.404,
2013-08,120.722,
2013-09,119.891,
2013-10,119.883,
2013-11,119.709,
2013-12,113.543,
2014-01,113.585,
2014-02,111.418,
2014-03,107.794,
2014-04,106.916,
2014-05,103.599,
2014-06,101.797,
2014-07,98.256,
2014-08,99.166,
2014-09,95.346,
2014-10,95.200,
2014-11,96.987,
