"",BBK01.OUZ324,BBK01.OUZ324_FLAGS
"",Other liabilities / Total / Mortgage banks / Multi-office banks (MFIs),
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:57:54,
1999-01,19.354,
1999-02,17.438,
1999-03,17.211,
1999-04,19.287,
1999-05,18.558,
1999-06,19.179,
1999-07,18.636,
1999-08,18.776,
1999-09,17.335,
1999-10,19.897,
1999-11,20.152,
1999-12,24.766,
2000-01,21.952,
2000-02,20.624,
2000-03,20.666,
2000-04,20.769,
2000-05,19.350,
2000-06,19.771,
2000-07,21.390,
2000-08,22.312,
2000-09,22.794,
2000-10,21.742,
2000-11,23.498,
2000-12,27.940,
2001-01,22.414,
2001-02,22.845,
2001-03,23.775,
2001-04,23.509,
2001-05,24.637,
2001-06,25.336,
2001-07,22.670,
2001-08,22.653,
2001-09,24.009,
2001-10,23.737,
2001-11,24.310,
2001-12,29.426,
2002-01,23.329,
2002-02,22.158,
2002-03,22.593,
2002-04,24.805,
2002-05,27.148,
2002-06,26.327,
2002-07,26.249,
2002-08,26.939,
2002-09,25.175,
2002-10,23.310,
2002-11,23.600,
2002-12,23.654,
2003-01,22.836,
2003-02,23.271,
2003-03,23.861,
2003-04,24.140,
2003-05,23.188,
2003-06,23.191,
2003-07,22.580,
2003-08,22.692,
2003-09,22.726,
2003-10,23.535,
2003-11,24.021,
2003-12,25.733,
2004-01,20.691,
2004-02,20.716,
2004-03,19.940,
2004-04,21.282,
2004-05,19.448,
2004-06,21.291,
2004-07,22.048,
2004-08,22.407,
2004-09,20.326,
2004-10,20.565,
2004-11,21.520,
2004-12,25.660,
2005-01,19.731,
2005-02,19.343,
2005-03,19.931,
2005-04,20.734,
2005-05,22.293,
2005-06,21.461,
2005-07,19.119,
2005-08,20.253,
2005-09,22.514,
2005-10,22.849,
2005-11,22.283,
2005-12,26.646,
2006-01,23.175,
2006-02,21.410,
2006-03,19.402,
2006-04,20.106,
2006-05,21.321,
2006-06,21.721,
2006-07,20.344,
2006-08,20.630,
2006-09,21.576,
2006-10,22.062,
2006-11,22.954,
2006-12,27.776,
2007-01,23.444,
2007-02,21.041,
2007-03,22.699,
2007-04,21.758,
2007-05,22.357,
2007-06,23.849,
2007-07,21.201,
2007-08,21.425,
2007-09,24.275,
2007-10,24.103,
2007-11,24.530,
2007-12,27.432,
2008-01,23.398,
2008-02,22.540,
2008-03,22.347,
2008-04,22.435,
2008-05,22.235,
2008-06,25.038,
2008-07,23.173,
2008-08,19.792,
2008-09,21.536,
2008-10,22.713,
2008-11,24.610,
2008-12,23.404,
2009-01,20.863,
2009-02,19.535,
2009-03,17.664,
2009-04,17.407,
2009-05,17.187,
2009-06,16.500,
2009-07,15.015,
2009-08,15.085,
2009-09,16.137,
2009-10,15.117,
2009-11,15.066,
2009-12,19.455,
2010-01,15.553,
2010-02,16.530,
2010-03,16.487,
2010-04,15.395,
2010-05,17.101,
2010-06,23.344,
2010-07,18.629,
2010-08,20.904,
2010-09,18.005,
2010-10,20.249,
2010-11,22.967,
2010-12,25.401,
2011-01,20.075,
2011-02,18.156,
2011-03,21.580,
2011-04,20.997,
2011-05,21.241,
2011-06,19.774,
2011-07,21.058,
2011-08,20.252,
2011-09,22.011,
2011-10,19.764,
2011-11,21.731,
2011-12,24.167,
2012-01,21.305,
2012-02,21.698,
2012-03,19.687,
2012-04,20.077,
2012-05,19.617,
2012-06,19.534,
2012-07,18.191,
2012-08,17.712,
2012-09,19.622,
2012-10,18.220,
2012-11,18.004,
2012-12,18.303,
2013-01,16.455,
2013-02,16.422,
2013-03,16.468,
2013-04,15.782,
2013-05,15.813,
2013-06,15.716,
2013-07,14.466,
2013-08,14.812,
2013-09,14.872,
2013-10,14.795,
2013-11,14.677,
2013-12,15.319,
2014-01,13.906,
2014-02,13.748,
2014-03,14.269,
2014-04,13.938,
2014-05,13.695,
2014-06,13.276,
2014-07,12.624,
2014-08,12.999,
2014-09,13.428,
2014-10,13.208,
2014-11,13.843,
"","General: Owing to the Act Modernising Accounting Law (Gesetz zur Modernisierung des Bilanzrechts) of 25 May 2009, derivative financial instruments in the trading portfolio (trading portfolio derivatives) within the meaning of section 340e (3) sentence 1 of the German Commercial Code (HGB) read in conjunction with section 35 (1) No 1a of the Credit Institution Accounting Regulation (RechKredV) are classified under ""Other assets and liabilities"" as of december 2010 reporting date.  Up to and including December 1998, including fiduciary liabilities and value adjustments. Since January 1999, presentation in separate time series (fiduciary liabilities: time series OUZ456, value adjustments: time series OUZ470).",
