"",BBK01.OXA8O9,BBK01.OXA8O9_FLAGS
"","Housing loans to domestic households and non-profit institutions  serving households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:27,
2009-12,45.205,
2010-01,44.633,
2010-02,-,Nothing exists
2010-03,43.771,
2010-04,-,Nothing exists
2010-05,42.985,
2010-06,42.493,
2010-07,41.856,
2010-08,41.494,
2010-09,41.030,
2010-10,40.530,
2010-11,40.088,
2010-12,39.459,
2011-01,38.486,
2011-02,38.221,
2011-03,37.725,
2011-04,37.246,
2011-05,36.813,
2011-06,36.338,
2011-07,35.874,
2011-08,35.441,
2011-09,35.015,
2011-10,34.547,
2011-11,34.081,
2011-12,33.371,
2012-01,32.888,
2012-02,32.509,
2012-03,32.044,
2012-04,29.900,
2012-05,29.526,
2012-06,29.099,
2012-07,28.659,
2012-08,28.219,
2012-09,27.741,
2012-10,27.213,
2012-11,26.782,
2012-12,26.170,
2013-01,25.624,
2013-02,25.355,
2013-03,24.953,
2013-04,24.506,
2013-05,24.244,
2013-06,23.882,
2013-07,23.465,
2013-08,23.206,
2013-09,22.788,
2013-10,22.405,
2013-11,22.200,
2013-12,21.791,
2014-01,21.378,
2014-02,21.274,
2014-03,20.923,
2014-04,20.964,
2014-05,20.977,
2014-06,20.681,
2014-07,20.354,
2014-08,20.300,
2014-09,19.977,
2014-10,19.679,
2014-11,19.684,
2014-12,18.880,Provisional value
