"",BBK01.OXB7C1,BBK01.OXB7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Commercial banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:45,
2010-12,814.079,
2011-01,749.176,
2011-02,718.760,
2011-03,640.414,
2011-04,638.104,
2011-05,684.948,
2011-06,613.518,
2011-07,726.436,
2011-08,871.953,
2011-09,977.534,
2011-10,860.576,
2011-11,852.875,
2011-12,929.692,
2012-01,924.799,
2012-02,898.590,
2012-03,851.480,
2012-04,867.083,
2012-05,1071.410,
2012-06,928.642,
2012-07,1000.791,
2012-08,965.048,
2012-09,929.227,
2012-10,875.822,
2012-11,882.503,
2012-12,864.466,
2013-01,781.451,
2013-02,783.457,
2013-03,780.065,
2013-04,810.636,
2013-05,720.189,
2013-06,658.142,
2013-07,649.301,
2013-08,606.298,
2013-09,622.982,
2013-10,627.406,
2013-11,626.344,
2013-12,569.067,
2014-01,589.494,
2014-02,567.500,
2014-03,550.751,
2014-04,555.951,
2014-05,581.752,
2014-06,582.650,
2014-07,596.786,
2014-08,665.429,
2014-09,652.640,
2014-10,656.498,
2014-11,696.508,
2014-12,721.427,Provisional value
