"",BBK01.PC3385,BBK01.PC3385_FLAGS
"",Lending to craft trades / Medium-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:00,
1999-01,0.101,
1999-04,0.096,
1999-07,0.092,
1999-10,0.092,
2000-01,0.084,
2000-04,0.083,
2000-07,0.086,
2000-10,0.086,
2001-01,0.087,
2001-04,0.087,
2001-07,0.088,
2001-10,0.091,
2002-01,0.094,
2002-04,0.096,
2002-07,0.099,
2002-10,0.103,
2003-01,0.105,
2003-04,0.113,
2003-07,0.109,
2003-10,0.109,
2004-01,0.104,
2004-04,0.101,
2004-07,0.099,
2004-10,0.099,
2005-01,0.094,
2005-04,0.094,
2005-07,0.091,
2005-10,0.091,
2006-01,0.088,
2006-04,0.089,
2006-07,0.089,
2006-10,0.089,
2007-01,0.090,
2007-04,0.086,
2007-07,0.081,
2007-10,0.080,
2008-01,0.078,
2008-04,0.078,
2008-07,0.078,
2008-10,0.075,
2009-01,0.077,
2009-04,0.078,
2009-07,0.091,
2009-10,0.094,
2010-01,0.095,
2010-04,0.098,
2010-07,0.101,
2010-10,0.102,
2011-01,0.101,
2011-04,0.102,
2011-07,0.102,
2011-10,0.104,
2012-01,0.104,
2012-04,0.104,
2012-07,0.103,
2012-10,0.104,
2013-01,0.099,
2013-04,0.103,
2013-07,0.103,
2013-10,0.099,
2014-01,0.099,
2014-04,0.098,
2014-07,0.088,
2014-10,0.088,
