"",BBK01.PQ0245,BBK01.PQ0245_FLAGS
"",Other housing loans to domestic enterprises and resident individuals / Total / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:21:18,
1968-10,1.178,
1969-01,1.116,
1969-04,1.183,
1969-07,1.273,
1969-10,1.343,
1970-01,1.302,
1970-04,1.399,
1970-07,1.511,
1970-10,1.706,
1971-01,1.877,
1971-04,2.046,
1971-07,2.247,
1971-10,2.459,
1972-01,2.622,
1972-04,2.858,
1972-07,3.018,
1972-10,3.498,
1973-01,3.564,
1973-04,3.827,
1973-07,3.919,
1973-10,3.990,
1974-01,3.913,
1974-04,3.847,
1974-07,3.714,
1974-10,3.984,
1975-01,3.938,
1975-04,3.821,
1975-07,3.770,
1975-10,4.183,
1976-01,4.067,
1976-04,4.287,
1976-07,4.390,
1976-10,4.679,
1977-01,4.993,
1977-04,5.253,
1977-07,5.539,
1977-10,6.047,
1978-01,6.145,
1978-04,6.316,
1978-07,6.567,
1978-10,6.658,
1979-01,6.750,
1979-04,7.046,
1979-07,7.101,
1979-10,7.526,
1980-01,7.743,
1980-04,7.753,
1980-07,7.911,
1980-10,6.801,
1981-01,6.886,
1981-04,7.037,
1981-07,7.002,
1981-10,7.208,
1982-01,7.385,
1982-04,7.482,
1982-07,7.666,
1982-10,7.932,
1983-01,8.122,
1983-04,8.402,
1983-07,8.721,
1983-10,9.126,
1984-01,8.898,
1984-04,9.399,
1984-07,9.644,
1984-10,9.675,
1985-01,8.612,
1985-04,8.411,
1985-07,8.643,
1985-10,8.841,
1986-01,8.608,
1986-04,8.608,
1986-07,8.619,
1986-10,8.743,
1987-01,8.433,
1987-04,8.398,
1987-07,8.385,
1987-10,8.185,
1988-01,8.914,
1988-04,7.446,
1988-07,7.359,
1988-10,7.182,
1989-01,7.164,
1989-04,7.101,
1989-07,7.267,
1989-10,7.710,
1990-01,7.747,
1990-04,30.659,
1990-07,30.347,
1990-10,31.121,
1991-01,31.209,
1991-04,31.957,
1991-07,31.658,
1991-10,32.701,
1992-01,33.352,
1992-04,34.074,
1992-07,35.392,
1992-10,36.642,
1993-01,14.068,
1993-04,14.486,
1993-07,14.846,
1993-10,15.281,
1994-01,15.806,
1994-04,15.715,
1994-07,16.727,
1994-10,17.036,
1995-01,17.363,
1995-04,21.876,
1995-07,17.658,
1995-10,18.366,
1996-01,18.030,
1996-04,18.045,
1996-07,18.321,
1996-10,20.515,
1997-01,20.207,
1997-04,20.240,
1997-07,20.343,
1997-10,20.478,
1998-01,20.150,
1998-04,20.390,
1998-07,20.333,
1998-10,21.005,
1999-01,18.264,
1999-04,16.104,
1999-07,35.582,
1999-10,36.387,
2000-01,35.685,
2000-04,37.686,
2000-07,38.326,
2000-10,39.657,
2001-01,38.642,
2001-04,39.153,
2001-07,39.231,
2001-10,41.451,
2002-01,41.060,
2002-04,40.140,
2002-07,39.960,
2002-10,41.255,
2003-01,34.329,
2003-04,34.931,
2003-07,35.006,
2003-10,35.194,
2004-01,34.864,
2004-04,35.815,
2004-07,40.317,
2004-10,33.154,
2005-01,33.489,
2005-04,34.357,
2005-07,29.030,
2005-10,29.762,
2006-01,30.184,
2006-04,30.389,
2006-07,30.629,
2006-10,31.119,
2007-01,31.382,
2007-04,30.537,
2007-07,31.367,
2007-10,31.552,
2008-01,31.408,
2008-04,31.366,
2008-07,32.333,
2008-10,32.966,
2009-01,34.254,
2009-04,34.164,
2009-07,35.561,
2009-10,35.326,
2010-01,35.209,
2010-04,35.553,
2010-07,36.380,
2010-10,36.493,
2011-01,36.248,
2011-04,36.525,
2011-07,36.604,
2011-10,36.905,
2012-01,36.719,
2012-04,36.834,
2012-07,36.901,
2012-10,37.062,
2013-01,36.526,
2013-04,36.608,
2013-07,36.789,
2013-10,37.093,
2014-01,36.446,
2014-04,35.201,
2014-07,35.776,
2014-10,35.675,
