"",BBK01.PQC353,BBK01.PQC353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:07,
1958-10,0.539,
1959-01,-,Nothing exists
1959-04,0.532,
1959-07,-,Nothing exists
1959-10,0.588,
1960-01,-,Nothing exists
1960-04,0.602,
1960-07,-,Nothing exists
1960-10,0.639,
1961-01,-,Nothing exists
1961-04,0.683,
1961-07,-,Nothing exists
1961-10,0.791,
1962-01,-,Nothing exists
1962-04,0.851,
1962-07,-,Nothing exists
1962-10,0.880,
1963-01,-,Nothing exists
1963-04,0.917,
1963-07,-,Nothing exists
1963-10,0.967,
1964-01,-,Nothing exists
1964-04,0.904,
1964-07,-,Nothing exists
1964-10,1.040,
1965-01,1.053,
1965-04,1.076,
1965-07,1.157,
1965-10,1.164,
1966-01,1.233,
1966-04,1.252,
1966-07,1.273,
1966-10,1.330,
1967-01,1.423,
1967-04,1.553,
1967-07,1.642,
1967-10,1.925,
1968-01,2.068,
1968-04,2.258,
1968-07,2.509,
1968-10,2.812,
1969-01,3.171,
1969-04,3.547,
1969-07,3.974,
1969-10,4.638,
1970-01,5.193,
1970-04,5.464,
1970-07,5.522,
1970-10,5.708,
1971-01,5.683,
1971-04,6.031,
1971-07,6.688,
1971-10,7.164,
1972-01,7.208,
1972-04,7.486,
1972-07,7.816,
1972-10,8.583,
1973-01,9.026,
1973-04,9.233,
1973-07,9.338,
1973-10,9.448,
1974-01,9.279,
1974-04,9.101,
1974-07,9.190,
1974-10,9.465,
1975-01,9.544,
1975-04,9.859,
1975-07,10.785,
1975-10,11.536,
1976-01,11.629,
1976-04,12.251,
1976-07,12.982,
1976-10,14.147,
1977-01,14.345,
1977-04,14.998,
1977-07,15.950,
1977-10,16.928,
1978-01,16.939,
1978-04,17.304,
1978-07,18.310,
1978-10,19.589,
1979-01,20.241,
1979-04,21.817,
1979-07,22.716,
1979-10,24.465,
1980-01,24.404,
1980-04,24.805,
1980-07,24.901,
1980-10,25.310,
1981-01,25.174,
1981-04,24.932,
1981-07,24.318,
1981-10,23.960,
1982-01,22.842,
1982-04,22.262,
1982-07,21.857,
1982-10,22.040,
1983-01,21.074,
1983-04,22.014,
1983-07,22.330,
1983-10,22.954,
1984-01,22.706,
1984-04,23.244,
1984-07,24.049,
1984-10,25.224,
1985-01,25.957,
1985-04,26.685,
1985-07,27.691,
1985-10,29.454,
1986-01,29.959,
1986-04,31.787,
1986-07,33.510,
1986-10,36.097,
1987-01,36.941,
1987-04,38.243,
1987-07,40.043,
1987-10,42.487,
1988-01,43.534,
1988-04,46.201,
1988-07,48.263,
1988-10,50.286,
1989-01,51.850,
1989-04,53.650,
1989-07,55.514,
1989-10,58.451,
1990-01,59.818,
1990-04,61.050,
1990-07,62.360,
1990-10,64.641,
1991-01,65.975,
1991-04,68.348,
1991-07,71.095,
1991-10,74.042,
1992-01,75.552,
1992-04,77.558,
1992-07,79.673,
1992-10,81.372,
1993-01,82.121,
1993-04,83.863,
1993-07,86.235,
1993-10,89.843,
1994-01,91.823,
1994-04,94.035,
1994-07,95.272,
1994-10,97.292,
1995-01,99.036,
1995-04,101.143,
1995-07,104.215,
1995-10,108.746,
1996-01,110.825,
1996-04,112.763,
1996-07,115.381,
1996-10,119.905,
1997-01,121.358,
1997-04,123.176,
1997-07,125.346,
1997-10,129.363,
1998-01,130.908,
1998-04,132.628,
1998-07,134.790,
1998-10,141.981,
1999-01,249.704,
1999-04,252.833,
1999-07,224.745,
1999-10,230.399,
2000-01,230.849,
2000-04,233.775,
2000-07,234.973,
2000-10,234.189,
2001-01,233.784,
2001-04,233.812,
2001-07,233.680,
2001-10,231.258,
2002-01,231.292,
2002-04,230.197,
2002-07,228.456,
2002-10,226.830,
2003-01,222.221,
2003-04,220.356,
2003-07,217.238,
2003-10,212.789,
2004-01,209.776,
2004-04,208.094,
2004-07,207.505,
2004-10,235.492,
2005-01,235.032,
2005-04,233.991,
2005-07,233.531,
2005-10,231.469,
2006-01,229.434,
2006-04,229.551,
2006-07,227.868,
2006-10,222.611,
2007-01,222.242,
2007-04,218.560,
2007-07,216.380,
2007-10,214.252,
2008-01,211.211,
2008-04,209.966,
2008-07,209.404,
2008-10,206.415,
2009-01,202.231,
2009-04,197.671,
2009-07,194.267,
2009-10,195.057,
2010-01,192.904,
2010-04,191.569,
2010-07,188.639,
2010-10,187.019,
2011-01,184.889,
2011-04,183.193,
2011-07,182.273,
2011-10,181.530,
2012-01,180.536,
2012-04,183.455,
2012-07,182.757,
2012-10,181.848,
2013-01,181.389,
2013-04,181.796,
2013-07,181.739,
2013-10,181.607,
2014-01,181.335,
2014-04,181.631,
2014-07,183.543,
2014-10,184.486,
