"",BBK01.PQD352,BBK01.PQD352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:58,
1958-10,0.517,
1959-01,-,Nothing exists
1959-04,0.577,
1959-07,-,Nothing exists
1959-10,0.823,
1960-01,-,Nothing exists
1960-04,0.868,
1960-07,-,Nothing exists
1960-10,0.939,
1961-01,-,Nothing exists
1961-04,1.042,
1961-07,-,Nothing exists
1961-10,1.168,
1962-01,-,Nothing exists
1962-04,1.280,
1962-07,-,Nothing exists
1962-10,1.373,
1963-01,-,Nothing exists
1963-04,1.596,
1963-07,-,Nothing exists
1963-10,1.731,
1964-01,-,Nothing exists
1964-04,1.824,
1964-07,-,Nothing exists
1964-10,1.785,
1965-01,1.747,
1965-04,1.776,
1965-07,1.918,
1965-10,1.845,
1966-01,1.971,
1966-04,2.047,
1966-07,2.127,
1966-10,2.087,
1967-01,2.071,
1967-04,2.172,
1967-07,2.146,
1967-10,2.168,
1968-01,2.131,
1968-04,2.312,
1968-07,2.418,
1968-10,2.064,
1969-01,2.101,
1969-04,2.195,
1969-07,2.243,
1969-10,2.522,
1970-01,2.517,
1970-04,2.583,
1970-07,2.766,
1970-10,3.040,
1971-01,2.996,
1971-04,3.070,
1971-07,3.266,
1971-10,3.772,
1972-01,3.648,
1972-04,3.724,
1972-07,4.163,
1972-10,4.710,
1973-01,5.099,
1973-04,5.415,
1973-07,5.286,
1973-10,5.099,
1974-01,4.881,
1974-04,4.753,
1974-07,4.833,
1974-10,4.710,
1975-01,4.355,
1975-04,4.175,
1975-07,4.221,
1975-10,4.546,
1976-01,4.435,
1976-04,4.717,
1976-07,5.019,
1976-10,5.653,
1977-01,5.441,
1977-04,5.823,
1977-07,6.038,
1977-10,6.656,
1978-01,6.394,
1978-04,6.504,
1978-07,6.883,
1978-10,7.170,
1979-01,7.017,
1979-04,7.189,
1979-07,7.386,
1979-10,7.451,
1980-01,7.111,
1980-04,6.948,
1980-07,6.894,
1980-10,7.285,
1981-01,7.062,
1981-04,7.085,
1981-07,7.086,
1981-10,7.715,
1982-01,7.507,
1982-04,7.797,
1982-07,7.834,
1982-10,8.021,
1983-01,7.628,
1983-04,7.919,
1983-07,8.256,
1983-10,8.701,
1984-01,8.469,
1984-04,8.562,
1984-07,8.699,
1984-10,8.501,
1985-01,8.234,
1985-04,8.122,
1985-07,8.102,
1985-10,8.345,
1986-01,7.975,
1986-04,7.760,
1986-07,7.605,
1986-10,14.492,
1987-01,14.473,
1987-04,14.713,
1987-07,15.113,
1987-10,15.252,
1988-01,15.083,
1988-04,15.394,
1988-07,15.680,
1988-10,16.015,
1989-01,16.318,
1989-04,16.627,
1989-07,16.869,
1989-10,17.371,
1990-01,19.007,
1990-04,19.569,
1990-07,20.052,
1990-10,21.401,
1991-01,21.185,
1991-04,22.178,
1991-07,22.937,
1991-10,23.250,
1992-01,23.871,
1992-04,25.393,
1992-07,26.930,
1992-10,28.801,
1993-01,29.599,
1993-04,30.846,
1993-07,31.027,
1993-10,31.466,
1994-01,32.846,
1994-04,32.967,
1994-07,32.982,
1994-10,32.134,
1995-01,31.999,
1995-04,32.040,
1995-07,28.908,
1995-10,28.529,
1996-01,28.517,
1996-04,28.785,
1996-07,28.902,
1996-10,28.399,
1997-01,27.841,
1997-04,27.016,
1997-07,26.984,
1997-10,27.195,
1998-01,25.745,
1998-04,25.792,
1998-07,25.853,
1998-10,24.824,
1999-01,32.519,
1999-04,32.892,
1999-07,36.843,
1999-10,36.481,
2000-01,36.968,
2000-04,38.180,
2000-07,39.511,
2000-10,40.024,
2001-01,39.705,
2001-04,40.085,
2001-07,40.011,
2001-10,39.419,
2002-01,39.477,
2002-04,43.664,
2002-07,44.519,
2002-10,45.859,
2003-01,48.009,
2003-04,49.646,
2003-07,51.348,
2003-10,53.159,
2004-01,53.837,
2004-04,55.769,
2004-07,56.931,
2004-10,52.760,
2005-01,52.156,
2005-04,52.803,
2005-07,50.566,
2005-10,49.426,
2006-01,48.755,
2006-04,50.058,
2006-07,50.771,
2006-10,49.348,
2007-01,49.017,
2007-04,50.031,
2007-07,50.768,
2007-10,51.694,
2008-01,52.226,
2008-04,53.181,
2008-07,53.452,
2008-10,53.826,
2009-01,55.856,
2009-04,57.622,
2009-07,58.640,
2009-10,59.587,
2010-01,59.649,
2010-04,60.859,
2010-07,62.429,
2010-10,64.941,
2011-01,64.835,
2011-04,64.541,
2011-07,73.454,
2011-10,74.146,
2012-01,74.800,
2012-04,76.077,
2012-07,76.911,
2012-10,78.110,
2013-01,77.860,
2013-04,78.824,
2013-07,78.667,
2013-10,80.297,
2014-01,80.076,
2014-04,78.348,
2014-07,79.289,
2014-10,80.729,
