"",BBK01.PQH353,BBK01.PQH353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:11,
1958-10,6.686,
1959-01,-,Nothing exists
1959-04,7.264,
1959-07,-,Nothing exists
1959-10,8.521,
1960-01,-,Nothing exists
1960-04,9.323,
1960-07,-,Nothing exists
1960-10,10.271,
1961-01,-,Nothing exists
1961-04,11.007,
1961-07,-,Nothing exists
1961-10,12.008,
1962-01,-,Nothing exists
1962-04,12.779,
1962-07,-,Nothing exists
1962-10,13.971,
1963-01,-,Nothing exists
1963-04,14.837,
1963-07,-,Nothing exists
1963-10,16.237,
1964-01,-,Nothing exists
1964-04,17.284,
1964-07,-,Nothing exists
1964-10,18.665,
1965-01,19.129,
1965-04,19.681,
1965-07,20.429,
1965-10,21.080,
1966-01,21.519,
1966-04,22.008,
1966-07,22.534,
1966-10,22.948,
1967-01,23.231,
1967-04,23.580,
1967-07,24.117,
1967-10,24.842,
1968-01,25.315,
1968-04,25.980,
1968-07,26.784,
1968-10,28.259,
1969-01,28.935,
1969-04,29.697,
1969-07,30.769,
1969-10,31.988,
1970-01,32.464,
1970-04,33.187,
1970-07,34.043,
1970-10,35.070,
1971-01,35.766,
1971-04,36.610,
1971-07,37.649,
1971-10,38.975,
1972-01,39.819,
1972-04,40.832,
1972-07,42.151,
1972-10,43.871,
1973-01,45.003,
1973-04,46.071,
1973-07,47.079,
1973-10,47.911,
1974-01,48.301,
1974-04,48.862,
1974-07,49.616,
1974-10,50.581,
1975-01,51.101,
1975-04,51.804,
1975-07,52.970,
1975-10,54.558,
1976-01,55.356,
1976-04,56.398,
1976-07,57.887,
1976-10,59.652,
1977-01,60.708,
1977-04,62.176,
1977-07,64.061,
1977-10,66.287,
1978-01,67.877,
1978-04,70.414,
1978-07,73.665,
1978-10,77.206,
1979-01,79.523,
1979-04,82.511,
1979-07,86.110,
1979-10,89.892,
1980-01,92.637,
1980-04,95.069,
1980-07,97.727,
1980-10,101.194,
1981-01,103.528,
1981-04,105.811,
1981-07,107.951,
1981-10,110.092,
1982-01,111.115,
1982-04,112.666,
1982-07,115.319,
1982-10,118.539,
1983-01,119.848,
1983-04,122.515,
1983-07,125.883,
1983-10,130.308,
1984-01,131.808,
1984-04,134.387,
1984-07,137.686,
1984-10,141.901,
1985-01,143.904,
1985-04,146.332,
1985-07,149.139,
1985-10,153.177,
1986-01,154.211,
1986-04,156.772,
1986-07,160.013,
1986-10,164.004,
1987-01,164.849,
1987-04,167.214,
1987-07,170.706,
1987-10,174.207,
1988-01,175.584,
1988-04,178.060,
1988-07,181.631,
1988-10,184.905,
1989-01,186.849,
1989-04,189.831,
1989-07,192.969,
1989-10,197.838,
1990-01,200.361,
1990-04,207.558,
1990-07,210.178,
1990-10,213.430,
1991-01,215.450,
1991-04,218.929,
1991-07,224.871,
1991-10,232.684,
1992-01,232.102,
1992-04,238.105,
1992-07,244.709,
1992-10,252.674,
1993-01,256.157,
1993-04,263.439,
1993-07,271.636,
1993-10,284.225,
1994-01,290.850,
1994-04,299.513,
1994-07,308.426,
1994-10,319.278,
1995-01,323.181,
1995-04,328.234,
1995-07,334.882,
1995-10,343.813,
1996-01,347.644,
1996-04,353.814,
1996-07,360.735,
1996-10,370.569,
1997-01,373.608,
1997-04,379.603,
1997-07,386.163,
1997-10,394.768,
1998-01,398.247,
1998-04,403.449,
1998-07,410.454,
1998-10,421.371,
1999-01,398.083,
1999-04,404.737,
1999-07,415.688,
1999-10,424.675,
2000-01,427.998,
2000-04,431.717,
2000-07,436.056,
2000-10,440.522,
2001-01,440.261,
2001-04,443.440,
2001-07,448.907,
2001-10,454.835,
2002-01,455.978,
2002-04,458.809,
2002-07,462.124,
2002-10,466.098,
2003-01,466.275,
2003-04,469.470,
2003-07,473.997,
2003-10,478.288,
2004-01,477.373,
2004-04,478.626,
2004-07,480.647,
2004-10,482.016,
2005-01,479.936,
2005-04,481.644,
2005-07,484.412,
2005-10,487.946,
2006-01,487.461,
2006-04,489.738,
2006-07,491.692,
2006-10,493.345,
2007-01,491.119,
2007-04,491.913,
2007-07,493.509,
2007-10,495.129,
2008-01,494.614,
2008-04,497.650,
2008-07,502.361,
2008-10,504.102,
2009-01,502.071,
2009-04,504.541,
2009-07,508.732,
2009-10,512.758,
2010-01,513.100,
2010-04,518.276,
2010-07,523.010,
2010-10,528.363,
2011-01,528.545,
2011-04,532.077,
2011-07,536.507,
2011-10,540.827,
2012-01,541.948,
2012-04,546.316,
2012-07,551.969,
2012-10,557.102,
2013-01,558.098,
2013-04,562.108,
2013-07,567.244,
2013-10,570.241,
2014-01,570.536,
2014-04,574.986,
2014-07,580.255,
2014-10,584.219,
