"",BBK01.PQK356,BBK01.PQK356_FLAGS
"",Lending to domestic enterprises / Medium-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:35,
1968-10,0.164,
1969-01,0.172,
1969-04,0.172,
1969-07,0.175,
1969-10,0.200,
1970-01,0.198,
1970-04,0.208,
1970-07,0.312,
1970-10,0.334,
1971-01,0.392,
1971-04,0.492,
1971-07,0.604,
1971-10,0.671,
1972-01,0.663,
1972-04,0.660,
1972-07,0.688,
1972-10,0.720,
1973-01,0.734,
1973-04,0.781,
1973-07,0.695,
1973-10,0.695,
1974-01,0.707,
1974-04,0.849,
1974-07,1.131,
1974-10,1.279,
1975-01,1.279,
1975-04,1.192,
1975-07,1.171,
1975-10,1.083,
1976-01,1.063,
1976-04,1.081,
1976-07,1.037,
1976-10,1.056,
1977-01,1.059,
1977-04,0.922,
1977-07,0.811,
1977-10,0.856,
1978-01,0.847,
1978-04,0.846,
1978-07,0.868,
1978-10,1.019,
1979-01,1.067,
1979-04,1.156,
1979-07,1.176,
1979-10,1.253,
1980-01,1.070,
1980-04,1.018,
1980-07,1.000,
1980-10,1.337,
1981-01,1.263,
1981-04,1.234,
1981-07,1.376,
1981-10,1.426,
1982-01,1.324,
1982-04,1.332,
1982-07,1.373,
1982-10,1.270,
1983-01,1.079,
1983-04,1.158,
1983-07,1.139,
1983-10,1.034,
1984-01,0.897,
1984-04,0.869,
1984-07,0.890,
1984-10,1.213,
1985-01,1.039,
1985-04,1.154,
1985-07,1.209,
1985-10,1.362,
1986-01,1.405,
1986-04,1.305,
1986-07,1.327,
1986-10,1.078,
1987-01,1.022,
1987-04,1.054,
1987-07,1.042,
1987-10,1.016,
1988-01,1.113,
1988-04,0.989,
1988-07,0.984,
1988-10,0.994,
1989-01,0.934,
1989-04,0.918,
1989-07,0.858,
1989-10,0.934,
1990-01,0.784,
1990-04,0.827,
1990-07,0.857,
1990-10,1.079,
1991-01,1.507,
1991-04,1.661,
1991-07,1.560,
1991-10,1.680,
1992-01,1.654,
1992-04,1.722,
1992-07,1.422,
1992-10,1.410,
1993-01,1.557,
1993-04,1.603,
1993-07,1.994,
1993-10,2.041,
1994-01,2.069,
1994-04,2.107,
1994-07,1.828,
1994-10,1.709,
1995-01,1.114,
1995-04,1.098,
1995-07,1.051,
1995-10,1.098,
1996-01,1.339,
1996-04,1.381,
1996-07,1.597,
1996-10,1.632,
1997-01,1.567,
1997-04,1.608,
1997-07,1.952,
1997-10,1.757,
1998-01,2.007,
1998-04,1.809,
1998-07,1.915,
1998-10,1.945,
1999-01,3.787,
1999-04,3.709,
1999-07,3.894,
1999-10,3.950,
2000-01,4.152,
2000-04,4.268,
2000-07,4.413,
2000-10,4.410,
2001-01,3.598,
2001-04,3.547,
2001-07,3.383,
2001-10,3.073,
2002-01,3.241,
2002-04,2.829,
2002-07,2.702,
2002-10,2.613,
2003-01,2.471,
2003-04,2.294,
2003-07,1.983,
2003-10,1.750,
2004-01,1.696,
2004-04,1.671,
2004-07,1.744,
2004-10,1.565,
2005-01,1.805,
2005-04,1.953,
2005-07,1.700,
2005-10,1.975,
2006-01,2.110,
2006-04,2.309,
2006-07,2.650,
2006-10,2.489,
2007-01,2.521,
2007-04,2.647,
2007-07,2.566,
2007-10,3.578,
2008-01,3.861,
2008-04,3.416,
2008-07,3.667,
2008-10,3.868,
2009-01,4.028,
2009-04,4.231,
2009-07,4.595,
2009-10,4.888,
2010-01,4.884,
2010-04,5.079,
2010-07,5.096,
2010-10,4.763,
2011-01,4.788,
2011-04,4.847,
2011-07,4.932,
2011-10,5.097,
2012-01,5.152,
2012-04,5.384,
2012-07,5.291,
2012-10,5.421,
2013-01,5.399,
2013-04,5.373,
2013-07,5.257,
2013-10,5.178,
2014-01,5.200,
2014-04,5.319,
2014-07,5.315,
2014-10,5.238,
