"",BBK01.QU2163,BBK01.QU2163_FLAGS
"",Banks in Germany: Short-term liabilities to non-residents / Nigeria / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:17:57,
1975-12,0.051,
1976-01,0.051,
1976-02,0.050,
1976-03,0.051,
1976-04,0.039,
1976-05,0.072,
1976-06,0.083,
1976-07,0.087,
1976-08,0.092,
1976-09,0.089,
1976-10,0.093,
1976-11,0.075,
1976-12,0.076,
1977-01,0.079,
1977-02,0.078,
1977-03,0.077,
1977-04,0.087,
1977-05,0.092,
1977-06,0.108,
1977-07,0.117,
1977-08,0.122,
1977-09,0.123,
1977-10,0.125,
1977-11,0.089,
1977-12,0.089,
1978-01,0.078,
1978-02,0.076,
1978-03,0.080,
1978-04,0.081,
1978-05,0.070,
1978-06,0.064,
1978-07,0.063,
1978-08,0.064,
1978-09,0.063,
1978-10,0.066,
1978-11,0.063,
1978-12,0.062,
1979-01,0.067,
1979-02,0.066,
1979-03,0.072,
1979-04,0.071,
1979-05,0.076,
1979-06,0.059,
1979-07,0.064,
1979-08,0.062,
1979-09,0.061,
1979-10,0.069,
1979-11,0.082,
1979-12,0.088,
1980-01,0.079,
1980-02,0.078,
1980-03,0.077,
1980-04,0.100,
1980-05,0.210,
1980-06,0.195,
1980-07,0.358,
1980-08,0.281,
1980-09,0.441,
1980-10,0.438,
1980-11,0.339,
1980-12,0.333,
1981-01,0.358,
1981-02,0.313,
1981-03,0.312,
1981-04,0.320,
1981-05,0.418,
1981-06,0.377,
1981-07,0.331,
1981-08,0.092,
1981-09,0.081,
1981-10,0.089,
1981-11,0.095,
1981-12,0.102,
1982-01,0.110,
1982-02,0.108,
1982-03,0.108,
1982-04,0.106,
1982-05,0.131,
1982-06,0.077,
1982-07,0.088,
1982-08,0.078,
1982-09,0.072,
1982-10,0.074,
1982-11,0.077,
1982-12,0.073,
1983-01,0.081,
1983-02,0.082,
1983-03,0.090,
1983-04,0.075,
1983-05,0.073,
1983-06,0.074,
1983-07,0.078,
1983-08,0.072,
1983-09,0.063,
1983-10,0.086,
1983-11,0.077,
1983-12,0.067,
1984-01,0.057,
1984-02,0.069,
1984-03,0.072,
1984-04,0.068,
1984-05,0.073,
1984-06,0.067,
1984-07,0.062,
1984-08,0.078,
1984-09,0.060,
1984-10,0.101,
1984-11,0.078,
1984-12,0.095,
1985-01,0.093,
1985-02,0.070,
1985-03,0.067,
1985-04,0.065,
1985-05,0.066,
1985-06,0.072,
1985-07,0.071,
1985-08,0.072,
1985-09,0.069,
1985-10,0.069,
1985-11,0.053,
1985-12,0.057,
1986-01,0.057,
1986-02,0.059,
1986-03,0.053,
1986-04,0.048,
1986-05,0.048,
1986-06,0.046,
1986-07,0.048,
1986-08,0.045,
1986-09,0.043,
1986-10,0.048,
1986-11,0.050,
1986-12,0.050,
1987-01,0.048,
1987-02,0.049,
1987-03,0.040,
1987-04,0.047,
1987-05,0.050,
1987-06,0.050,
1987-07,0.056,
1987-08,0.057,
1987-09,0.058,
1987-10,0.055,
1987-11,0.060,
1987-12,0.061,
1988-01,0.059,
1988-02,0.065,
1988-03,0.065,
1988-04,0.065,
1988-05,0.065,
1988-06,0.063,
1988-07,0.061,
1988-08,0.058,
1988-09,0.057,
1988-10,0.058,
1988-11,0.094,
1988-12,0.100,
1989-01,0.086,
1989-02,0.084,
1989-03,0.086,
1989-04,0.093,
1989-05,0.090,
1989-06,0.098,
1989-07,0.101,
1989-08,0.103,
1989-09,0.104,
1989-10,0.102,
1989-11,0.115,
1989-12,0.112,
1990-01,0.110,
1990-02,0.109,
1990-03,0.111,
1990-04,0.105,
1990-05,0.101,
1990-06,0.100,
1990-07,0.093,
1990-08,.,No value available
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,0.095,
1991-01,0.102,
1991-02,0.099,
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,0.119,
1992-01,0.109,
1992-02,0.103,
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,0.097,
1992-10,0.102,
1992-11,0.105,
1992-12,0.109,
1993-01,0.097,
1993-02,0.102,
1993-03,0.098,
1993-04,0.112,
1993-05,0.129,
1993-06,0.133,
1993-07,0.136,
1993-08,0.131,
1993-09,0.128,
1993-10,0.125,
1993-11,0.126,
1993-12,0.116,
1994-01,0.109,
1994-02,0.108,
1994-03,.,No value available
1994-04,.,No value available
1994-05,.,No value available
1994-06,.,No value available
