"",BBK01.QUV635,BBK01.QUV635_FLAGS
"",Banks in Germany: Short-term loans and advances to foreign banks / Ireland / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:10:00,
2001-12,10.455,
2002-01,10.881,
2002-02,9.235,
2002-03,10.108,
2002-04,10.241,
2002-05,12.976,
2002-06,13.422,
2002-07,12.622,
2002-08,14.053,
2002-09,14.683,
2002-10,15.414,
2002-11,15.095,
2002-12,16.635,
2003-01,15.304,
2003-02,17.579,
2003-03,15.842,
2003-04,15.984,
2003-05,13.348,
2003-06,15.822,
2003-07,14.758,
2003-08,16.625,
2003-09,19.789,
2003-10,15.967,
2003-11,17.217,
2003-12,17.784,
2004-01,17.214,
2004-02,15.919,
2004-03,15.070,
2004-04,15.054,
2004-05,16.471,
2004-06,17.145,
2004-07,19.917,
2004-08,20.417,
2004-09,20.700,
2004-10,22.326,
2004-11,21.550,
2004-12,24.008,
2005-01,25.919,
2005-02,27.487,
2005-03,25.824,
2005-04,24.462,
2005-05,25.789,
2005-06,27.414,
2005-07,24.965,
2005-08,23.026,
2005-09,24.982,
2005-10,24.082,
2005-11,24.370,
2005-12,25.168,
2006-01,26.658,
2006-02,23.310,
2006-03,24.566,
2006-04,23.407,
2006-05,25.132,
2006-06,26.785,
2006-07,23.127,
2006-08,23.884,
2006-09,20.994,
2006-10,21.940,
2006-11,20.997,
2006-12,24.593,
2007-01,23.558,
2007-02,22.801,
2007-03,23.285,
2007-04,23.281,
2007-05,20.796,
2007-06,23.318,
2007-07,22.652,
2007-08,26.510,
2007-09,27.809,
2007-10,27.048,
2007-11,27.610,
2007-12,26.319,
2008-01,28.613,
2008-02,26.214,
2008-03,27.420,
2008-04,23.743,
2008-05,24.135,
2008-06,28.116,
2008-07,25.621,
2008-08,28.859,
2008-09,32.252,
2008-10,60.783,
2008-11,79.075,
2008-12,82.483,
2009-01,90.198,
2009-02,92.030,
2009-03,89.402,
2009-04,89.750,
2009-05,84.985,
2009-06,81.025,
2009-07,82.178,
2009-08,89.270,
2009-09,80.737,
2009-10,81.244,
2009-11,80.687,
2009-12,82.300,
2010-01,79.813,
2010-02,83.230,
2010-03,83.865,
2010-04,88.340,
2010-05,100.622,
2010-06,98.999,
2010-07,95.710,
2010-08,101.817,
2010-09,95.821,
2010-10,18.019,
2010-11,17.265,
2010-12,15.807,
2011-01,15.174,
2011-02,14.372,
2011-03,12.809,
2011-04,12.118,
2011-05,12.275,
2011-06,11.450,
2011-07,11.785,
2011-08,12.860,
2011-09,13.336,
2011-10,12.519,
2011-11,12.820,
2011-12,13.012,
2012-01,13.043,
2012-02,12.854,
2012-03,12.945,
2012-04,12.490,
2012-05,12.885,
2012-06,11.706,
2012-07,11.144,
2012-08,10.600,
2012-09,10.106,
2012-10,9.586,
2012-11,10.005,
2012-12,10.016,
2013-01,9.907,
2013-02,10.225,
2013-03,10.621,
2013-04,10.302,
2013-05,10.082,
2013-06,9.473,
2013-07,7.525,
2013-08,7.269,
2013-09,7.108,
2013-10,7.334,
2013-11,7.135,
2013-12,5.627,
2014-01,5.716,
2014-02,5.541,
2014-03,5.780,
2014-04,5.357,
2014-05,5.356,
2014-06,5.655,
2014-07,6.063,
2014-08,6.468,
2014-09,5.796,
2014-10,5.367,
2014-11,5.440,
2014-12,4.564,
