"",BBK01.QUW665,BBK01.QUW665_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Countries in Asia / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:51:07,
2001-12,17.101,
2002-01,13.721,
2002-02,14.662,
2002-03,15.146,
2002-04,11.453,
2002-05,12.720,
2002-06,9.669,
2002-07,11.745,
2002-08,10.816,
2002-09,9.822,
2002-10,12.719,
2002-11,15.341,
2002-12,8.823,
2003-01,11.608,
2003-02,9.704,
2003-03,9.471,
2003-04,12.375,
2003-05,14.674,
2003-06,12.131,
2003-07,15.518,
2003-08,12.437,
2003-09,11.323,
2003-10,11.392,
2003-11,10.106,
2003-12,11.420,
2004-01,10.879,
2004-02,11.822,
2004-03,13.895,
2004-04,12.965,
2004-05,11.326,
2004-06,11.271,
2004-07,13.386,
2004-08,14.742,
2004-09,16.995,
2004-10,15.789,
2004-11,17.565,
2004-12,19.263,
2005-01,20.795,
2005-02,17.131,
2005-03,15.971,
2005-04,15.488,
2005-05,13.936,
2005-06,13.695,
2005-07,14.530,
2005-08,13.652,
2005-09,13.433,
2005-10,14.332,
2005-11,14.463,
2005-12,14.243,
2006-01,12.431,
2006-02,12.968,
2006-03,12.610,
2006-04,13.577,
2006-05,12.168,
2006-06,11.642,
2006-07,14.163,
2006-08,12.404,
2006-09,11.320,
2006-10,13.919,
2006-11,15.830,
2006-12,14.200,
2007-01,13.899,
2007-02,12.630,
2007-03,13.709,
2007-04,13.186,
2007-05,13.838,
2007-06,11.914,
2007-07,12.689,
2007-08,14.056,
2007-09,14.403,
2007-10,16.336,
2007-11,13.100,
2007-12,13.318,
2008-01,16.427,
2008-02,18.112,
2008-03,15.050,
2008-04,16.758,
2008-05,15.941,
2008-06,14.540,
2008-07,15.736,
2008-08,15.395,
2008-09,15.307,
2008-10,16.202,
2008-11,15.349,
2008-12,16.933,
2009-01,14.299,
2009-02,18.518,
2009-03,17.194,
2009-04,16.771,
2009-05,16.043,
2009-06,15.347,
2009-07,12.599,
2009-08,15.792,
2009-09,15.100,
2009-10,16.165,
2009-11,15.808,
2009-12,14.796,
2010-01,15.930,
2010-02,13.958,
2010-03,11.952,
2010-04,14.228,
2010-05,13.589,
2010-06,12.313,
2010-07,11.851,
2010-08,12.781,
2010-09,9.981,
2010-10,9.864,
2010-11,10.675,
2010-12,9.168,
2011-01,8.778,
2011-02,8.670,
2011-03,8.330,
2011-04,8.800,
2011-05,9.608,
2011-06,7.815,
2011-07,7.860,
2011-08,7.451,
2011-09,7.875,
2011-10,10.515,
2011-11,8.966,
2011-12,8.124,
2012-01,9.745,
2012-02,9.927,
2012-03,9.213,
2012-04,10.847,
2012-05,11.689,
2012-06,10.686,
2012-07,8.983,
2012-08,9.769,
2012-09,8.935,
2012-10,8.975,
2012-11,7.888,
2012-12,7.903,
2013-01,9.765,
2013-02,9.374,
2013-03,8.310,
2013-04,11.610,
2013-05,10.513,
2013-06,9.990,
2013-07,9.183,
2013-08,7.403,
2013-09,10.527,
2013-10,8.754,
2013-11,8.330,
2013-12,7.577,
2014-01,8.448,
2014-02,9.295,
2014-03,8.715,
2014-04,6.882,
2014-05,5.928,
2014-06,6.719,
2014-07,8.384,
2014-08,8.573,
2014-09,8.486,
2014-10,7.603,
2014-11,8.324,
