"",BBK01.QUX615,BBK01.QUX615_FLAGS
"",Consolidated German banks: Loans and advances to non- residents / Poland / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:32:09,
2002-03,15.808,
2002-04,15.192,
2002-05,14.851,
2002-06,14.416,
2002-07,14.259,
2002-08,14.355,
2002-09,14.647,
2002-10,14.687,
2002-11,14.752,
2002-12,14.212,
2003-01,14.172,
2003-02,14.170,
2003-03,13.698,
2003-04,13.664,
2003-05,13.876,
2003-06,13.832,
2003-07,14.032,
2003-08,14.404,
2003-09,13.677,
2003-10,14.107,
2003-11,14.000,
2003-12,14.207,
2004-01,14.086,
2004-02,14.179,
2004-03,14.542,
2004-04,15.121,
2004-05,15.224,
2004-06,15.126,
2004-07,15.909,
2004-08,15.755,
2004-09,15.693,
2004-10,16.874,
2004-11,17.148,
2004-12,16.914,
2005-01,17.247,
2005-02,17.507,
2005-03,17.395,
2005-04,17.254,
2005-05,17.679,
2005-06,18.061,
2005-07,18.842,
2005-08,18.591,
2005-09,19.519,
2005-10,19.219,
2005-11,20.679,
2005-12,10.910,
2006-01,10.660,
2006-02,10.839,
2006-03,10.840,
2006-04,10.591,
2006-05,11.543,
2006-06,10.838,
2006-07,11.020,
2006-08,11.646,
2006-09,11.701,
2006-10,12.297,
2006-11,14.033,
2006-12,12.935,
2007-01,13.742,
2007-02,14.231,
2007-03,15.425,
2007-04,16.126,
2007-05,16.738,
2007-06,16.958,
2007-07,17.569,
2007-08,17.912,
2007-09,18.211,
2007-10,18.685,
2007-11,19.566,
2007-12,19.347,
2008-01,20.756,
2008-02,21.236,
2008-03,21.748,
2008-04,22.436,
2008-05,24.231,
2008-06,24.264,
2008-07,25.517,
2008-08,25.491,
2008-09,26.181,
2008-10,26.819,
2008-11,26.060,
2008-12,27.339,
2009-01,25.622,
2009-02,25.346,
2009-03,24.972,
2009-04,25.831,
2009-05,25.978,
2009-06,26.193,
2009-07,26.507,
2009-08,27.284,
2009-09,26.775,
2009-10,27.707,
2009-11,27.772,
2009-12,28.013,
2010-01,28.633,
2010-02,29.259,
2010-03,29.247,
2010-04,29.194,
2010-05,28.195,
2010-06,29.159,
2010-07,29.245,
2010-08,30.254,
2010-09,30.179,
2010-10,29.574,
2010-11,30.360,
2010-12,31.286,
2011-01,30.990,
2011-02,31.305,
2011-03,30.947,
2011-04,31.388,
2011-05,31.738,
2011-06,32.435,
2011-07,33.343,
2011-08,32.678,
2011-09,32.046,
2011-10,32.706,
2011-11,37.094,
2011-12,36.395,
2012-01,34.664,
2012-02,34.614,
2012-03,34.102,
2012-04,36.114,
2012-05,35.139,
2012-06,35.118,
2012-07,35.394,
2012-08,35.168,
2012-09,36.068,
2012-10,34.996,
2012-11,34.458,
2012-12,34.230,
2013-01,33.008,
2013-02,33.646,
2013-03,33.541,
2013-04,33.817,
2013-05,32.944,
2013-06,33.533,
2013-07,33.388,
2013-08,33.632,
2013-09,33.759,
2013-10,33.680,
2013-11,33.535,
2013-12,33.924,
2014-01,34.522,
2014-02,34.551,
2014-03,34.251,
2014-04,35.346,
2014-05,34.311,
2014-06,34.170,
2014-07,33.684,
2014-08,34.371,
2014-09,33.646,
2014-10,33.505,
