"",BBK01.QUY915,BBK01.QUY915_FLAGS
"",Consolidated German banks: Foreign securities issued by foreign general government / Thailand / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:39:57,
2002-03,0.626,
2002-04,0.515,
2002-05,0.512,
2002-06,0.321,
2002-07,0.317,
2002-08,0.336,
2002-09,0.350,
2002-10,0.483,
2002-11,0.308,
2002-12,0.326,
2003-01,0.369,
2003-02,0.321,
2003-03,0.434,
2003-04,0.401,
2003-05,0.519,
2003-06,0.301,
2003-07,0.405,
2003-08,0.598,
2003-09,0.433,
2003-10,0.452,
2003-11,0.398,
2003-12,0.349,
2004-01,0.470,
2004-02,0.511,
2004-03,0.502,
2004-04,0.454,
2004-05,0.428,
2004-06,0.460,
2004-07,0.435,
2004-08,0.706,
2004-09,0.606,
2004-10,0.558,
2004-11,0.733,
2004-12,0.677,
2005-01,0.738,
2005-02,0.675,
2005-03,0.626,
2005-04,0.578,
2005-05,0.918,
2005-06,0.253,
2005-07,0.147,
2005-08,0.171,
2005-09,0.147,
2005-10,0.179,
2005-11,0.216,
2005-12,0.156,
2006-01,0.304,
2006-02,0.470,
2006-03,0.483,
2006-04,0.576,
2006-05,0.506,
2006-06,0.486,
2006-07,0.636,
2006-08,0.740,
2006-09,0.673,
2006-10,0.815,
2006-11,0.556,
2006-12,0.186,
2007-01,0.093,
2007-02,0.039,
2007-03,0.614,
2007-04,0.771,
2007-05,0.698,
2007-06,0.494,
2007-07,0.205,
2007-08,0.383,
2007-09,0.231,
2007-10,0.795,
2007-11,0.806,
2007-12,0.596,
2008-01,1.623,
2008-02,1.647,
2008-03,1.374,
2008-04,0.819,
2008-05,0.507,
2008-06,0.268,
2008-07,0.159,
2008-08,0.086,
2008-09,0.041,
2008-10,0.015,
2008-11,0.015,
2008-12,0.014,
2009-01,0.015,
2009-02,0.014,
2009-03,0.014,
2009-04,0.014,
2009-05,0.014,
2009-06,0.103,
2009-07,0.134,
2009-08,0.209,
2009-09,0.255,
2009-10,0.304,
2009-11,0.404,
2009-12,0.509,
2010-01,0.712,
2010-02,0.719,
2010-03,0.726,
2010-04,0.755,
2010-05,0.967,
2010-06,0.719,
2010-07,0.692,
2010-08,0.591,
2010-09,0.583,
2010-10,0.651,
2010-11,0.629,
2010-12,0.626,
2011-01,0.520,
2011-02,0.620,
2011-03,0.690,
2011-04,0.748,
2011-05,0.585,
2011-06,0.584,
2011-07,0.568,
2011-08,0.493,
2011-09,0.760,
2011-10,0.589,
2011-11,0.753,
2011-12,0.594,
2012-01,0.535,
2012-02,0.557,
2012-03,0.256,
2012-04,0.290,
2012-05,0.272,
2012-06,0.295,
2012-07,0.298,
2012-08,0.281,
2012-09,0.185,
2012-10,0.108,
2012-11,0.088,
2012-12,0.071,
2013-01,0.001,
2013-02,0.001,
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,0.000,
2014-05,0.000,
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
