"",BBK01.QX6252,BBK01.QX6252_FLAGS
"",Banks in Germany: Claims on non-residents / Hungary / Euro,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:13:42,
1992-07,1.485,
1992-08,1.494,
1992-09,1.490,
1992-10,1.451,
1992-11,1.430,
1992-12,1.440,
1993-01,1.567,
1993-02,1.572,
1993-03,1.774,
1993-04,1.724,
1993-05,1.665,
1993-06,1.618,
1993-07,1.548,
1993-08,1.783,
1993-09,1.815,
1993-10,1.788,
1993-11,1.797,
1993-12,1.757,
1994-01,1.974,
1994-02,1.960,
1994-03,1.934,
1994-04,1.907,
1994-05,1.896,
1994-06,1.818,
1994-07,1.756,
1994-08,1.745,
1994-09,1.726,
1994-10,1.674,
1994-11,1.680,
1994-12,1.754,
1995-01,1.706,
1995-02,1.695,
1995-03,1.685,
1995-04,1.630,
1995-05,1.588,
1995-06,1.670,
1995-07,1.598,
1995-08,1.583,
1995-09,1.595,
1995-10,1.535,
1995-11,1.512,
1995-12,1.621,
1996-01,1.578,
1996-02,1.575,
1996-03,1.532,
1996-04,1.480,
1996-05,1.530,
1996-06,1.544,
1996-07,1.550,
1996-08,1.527,
1996-09,1.569,
1996-10,1.476,
1996-11,1.431,
1996-12,1.463,
1997-01,1.431,
1997-02,1.492,
1997-03,1.471,
1997-04,1.142,
1997-05,1.139,
1997-06,1.134,
1997-07,1.186,
1997-08,1.190,
1997-09,1.294,
1997-10,1.346,
1997-11,1.308,
1997-12,1.425,
1998-01,1.461,
1998-02,1.776,
1998-03,1.785,
1998-04,1.956,
1998-05,2.103,
1998-06,2.114,
1998-07,2.256,
1998-08,2.392,
1998-09,2.413,
1998-10,2.379,
1998-11,2.543,
1998-12,2.643,
1999-01,2.877,
1999-02,3.098,
1999-03,2.890,
1999-04,2.863,
1999-05,2.825,
1999-06,3.133,
1999-07,3.035,
1999-08,3.208,
1999-09,3.261,
1999-10,3.249,
1999-11,3.426,
1999-12,3.531,
2000-01,3.463,
2000-02,3.528,
2000-03,3.565,
2000-04,3.610,
2000-05,3.611,
2000-06,3.743,
2000-07,3.751,
2000-08,3.724,
2000-09,3.976,
2000-10,3.792,
2000-11,3.985,
2000-12,4.221,
2001-01,4.263,
2001-02,4.257,
2001-03,4.300,
2001-04,4.277,
2001-05,4.306,
2001-06,4.943,
2001-07,4.863,
2001-08,4.915,
2001-09,4.932,
2001-10,4.949,
2001-11,5.030,
2001-12,5.080,
2002-01,5.175,
2002-02,5.297,
2002-03,5.292,
2002-04,5.197,
2002-05,5.066,
2002-06,4.999,
2002-07,4.885,
2002-08,5.014,
2002-09,5.350,
2002-10,5.370,
2002-11,5.220,
2002-12,5.475,
2003-01,5.448,
2003-02,5.333,
2003-03,5.618,
2003-04,5.607,
2003-05,5.585,
2003-06,5.454,
2003-07,5.540,
2003-08,5.524,
2003-09,6.041,
2003-10,6.103,
2003-11,6.181,
2003-12,6.369,
2004-01,6.729,
2004-02,6.604,
2004-03,6.583,
2004-04,6.678,
2004-05,6.552,
2004-06,6.479,
2004-07,6.377,
2004-08,6.395,
2004-09,6.183,
2004-10,6.883,
2004-11,7.073,
2004-12,7.174,
2005-01,6.918,
2005-02,7.158,
2005-03,7.349,
2005-04,7.450,
2005-05,7.449,
2005-06,7.450,
2005-07,7.604,
2005-08,7.557,
2005-09,7.603,
2005-10,7.898,
2005-11,7.636,
2005-12,7.664,
2006-01,7.612,
2006-02,7.568,
2006-03,7.577,
2006-04,7.478,
2006-05,7.669,
2006-06,7.655,
2006-07,7.854,
2006-08,8.099,
2006-09,8.309,
2006-10,8.514,
2006-11,8.460,
2006-12,8.730,
2007-01,8.822,
2007-02,9.089,
2007-03,9.146,
2007-04,9.151,
2007-05,9.134,
2007-06,9.694,
2007-07,9.791,
2007-08,9.819,
2007-09,9.741,
2007-10,9.828,
2007-11,9.971,
2007-12,10.054,
2008-01,10.310,
