"",BBK01.RJ7460,BBK01.RJ7460_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:36:11,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,-,Nothing exists
1994,-,Nothing exists
1995,-,Nothing exists
1996,-,Nothing exists
1997,.,No value available
1998,-,Nothing exists
1999,-,Nothing exists
2000,-,Nothing exists
2001,-,Nothing exists
2002,-,Nothing exists
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,434,
2009,488,
2010,486,
2011,473,
2012,490,
