"",BBK01.SUD242,BBK01.SUD242_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations up to EUR 0.25 million with an initial rate fixation of over 10 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:20,
2010-06,142,
2010-07,107,
2010-08,93,
2010-09,117,
2010-10,76,
2010-11,99,
2010-12,136,
2011-01,75,
2011-02,73,
2011-03,86,
2011-04,83,
2011-05,96,
2011-06,88,
2011-07,81,
2011-08,86,
2011-09,95,
2011-10,78,
2011-11,110,
2011-12,121,
2012-01,76,
2012-02,77,
2012-03,89,
2012-04,65,
2012-05,67,
2012-06,77,
2012-07,75,
2012-08,98,
2012-09,80,
2012-10,77,
2012-11,96,
2012-12,92,
2013-01,64,
2013-02,61,
2013-03,71,
2013-04,64,
2013-05,77,
2013-06,91,
2013-07,60,
2013-08,85,
2013-09,78,
2013-10,49,
2013-11,73,
2013-12,72,
2014-01,46,
2014-02,64,
2014-03,71,
2014-04,55,
2014-05,75,
2014-06,71,
2014-07,76,
2014-08,70,
2014-09,82,
2014-10,56,
2014-11,72,
2014-12,117,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
