"",BBK01.SUD263,BBK01.SUD263_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations up to EUR 0.25 million with collateral and/or guarantees, initial rate fixation of over 3 months and up to 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:22,
2010-06,45,
2010-07,64,
2010-08,70,
2010-09,60,
2010-10,79,
2010-11,70,
2010-12,79,
2011-01,78,
2011-02,69,
2011-03,82,
2011-04,76,
2011-05,87,
2011-06,62,
2011-07,79,
2011-08,73,
2011-09,53,
2011-10,71,
2011-11,54,
2011-12,65,
2012-01,74,
2012-02,51,
2012-03,57,
2012-04,66,
2012-05,55,
2012-06,52,
2012-07,63,
2012-08,68,
2012-09,48,
2012-10,67,
2012-11,53,
2012-12,53,
2013-01,76,
2013-02,54,
2013-03,52,
2013-04,61,
2013-05,46,
2013-06,50,
2013-07,71,
2013-08,59,
2013-09,42,
2013-10,51,
2013-11,46,
2013-12,48,
2014-01,61,
2014-02,40,
2014-03,46,
2014-04,43,
2014-05,44,
2014-06,40,
2014-07,47,
2014-08,39,
2014-09,39,
2014-10,56,
2014-11,42,
2014-12,44,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
