"",BBK01.TQ7015U,BBK01.TQ7015U_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Poland                               FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:32,
2005-10,0.09,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.13,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.16,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.24,
2009-01,0.24,
2009-04,0.25,
2009-07,0.28,
2009-10,0.30,
2010-01,0.31,
2010-04,0.30,
2010-07,0.33,
2010-10,0.34,
2011-01,0.27,
2011-04,0.27,
2011-07,0.30,
2011-10,0.20,
2012-01,0.20,
2012-04,0.20,
2012-07,0.20,
2012-10,0.20,
2013-01,0.20,
2013-04,0.20,
2013-07,0.30,
2013-10,0.20,
2014-01,0.20,
2014-04,0.20,
2014-07,0.20,
