"",BBK01.TQ7039,BBK01.TQ7039_FLAGS
"",Real estate markets - Residential real estate loans to total loans                                        FSI-I039,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:40,
2005-10,17.82,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,17.74,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,16.52,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,15.75,
2009-01,16.09,
2009-04,16.05,
2009-07,16.62,
2009-10,16.87,
2010-01,16.74,
2010-04,16.15,
2010-07,16.82,
2010-10,16.80,
2011-01,17.20,
2011-04,17.27,
2011-07,16.57,
2011-10,16.73,
2012-01,16.07,
2012-04,16.04,
2012-07,16.31,
2012-10,17.06,
2013-01,17.32,
2013-04,17.52,
2013-07,17.91,
2013-10,18.27,
2014-01,18.25,
2014-04,18.21,
2014-07,18.16,
