"",BBK01.TS5329O,BBK01.TS5329O_FLAGS
"","Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Index / Seasonally adjusted",
unit,1208=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 09:16:12,
1995-01,23.94301,
1995-02,22.84724,
1995-03,22.17990,
1995-04,22.90047,
1995-05,23.09082,
1995-06,23.98129,
1995-07,20.00428,
1995-08,20.18527,
1995-09,19.82926,
1995-10,20.43522,
1995-11,21.63862,
1995-12,23.05613,
1996-01,25.55485,
1996-02,24.89783,
1996-03,25.46756,
1996-04,22.56710,
1996-05,21.81812,
1996-06,21.20028,
1996-07,20.23800,
1996-08,20.03022,
1996-09,19.37707,
1996-10,19.19100,
1996-11,19.01814,
1996-12,18.67581,
1997-01,19.19993,
1997-02,18.96404,
1997-03,18.51825,
1997-04,18.95381,
1997-05,18.88441,
1997-06,18.57104,
1997-07,18.56338,
1997-08,18.74950,
1997-09,18.84450,
1997-10,18.46438,
1997-11,18.77089,
1997-12,18.69335,
1998-01,18.73252,
1998-02,19.28171,
1998-03,19.77708,
1998-04,19.74044,
1998-05,20.12589,
1998-06,20.45413,
1998-07,21.40432,
1998-08,21.77742,
1998-09,22.15130,
1998-10,22.68290,
1998-11,24.05399,
1998-12,22.81827,
1999-01,22.56346,
1999-02,23.65865,
1999-03,25.33997,
1999-04,28.17157,
1999-05,32.10360,
1999-06,31.37337,
1999-07,31.15166,
1999-08,33.31679,
1999-09,36.60837,
1999-10,38.09069,
1999-11,44.27125,
1999-12,44.98940,
2000-01,43.39335,
2000-02,43.98552,
2000-03,44.79326,
2000-04,44.26960,
2000-05,45.23191,
2000-06,44.50726,
2000-07,44.78381,
2000-08,44.44458,
2000-09,42.20338,
2000-10,43.49481,
2000-11,42.44608,
2000-12,43.64507,
2001-01,43.61393,
2001-02,44.84537,
2001-03,46.24037,
2001-04,47.23215,
2001-05,48.72718,
2001-06,49.51503,
2001-07,52.13124,
2001-08,54.73231,
2001-09,56.18209,
2001-10,58.52328,
2001-11,58.95459,
2001-12,62.18144,
2002-01,62.33619,
2002-02,62.30061,
2002-03,63.03172,
2002-04,64.10785,
2002-05,67.11703,
2002-06,64.78278,
2002-07,65.00246,
2002-08,66.24006,
2002-09,68.49991,
2002-10,70.54117,
2002-11,70.88845,
2002-12,74.40879,
2003-01,74.50171,
2003-02,81.81903,
2003-03,77.85475,
2003-04,78.73315,
2003-05,79.45410,
2003-06,77.83598,
2003-07,78.00520,
2003-08,71.99192,
2003-09,74.09432,
2003-10,76.12776,
2003-11,77.99731,
2003-12,82.74968,
2004-01,79.04327,
2004-02,76.50619,
2004-03,77.15197,
2004-04,75.98942,
2004-05,75.79980,
2004-06,75.46387,
2004-07,77.43377,
2004-08,75.30775,
2004-09,74.01582,
2004-10,73.68655,
2004-11,72.93878,
2004-12,72.04493,
2005-01,73.23527,
2005-02,72.67952,
2005-03,70.84842,
2005-04,71.92554,
2005-05,70.68567,
2005-06,72.85973,
2005-07,73.48815,
2005-08,75.85739,
2005-09,73.47110,
2005-10,75.33545,
2005-11,73.95075,
2005-12,73.18568,
2006-01,72.76976,
2006-02,71.41216,
2006-03,76.98409,
2006-04,74.79852,
2006-05,77.76597,
2006-06,76.19901,
2006-07,74.25470,
2006-08,77.29013,
2006-09,78.50199,
2006-10,75.35291,
2006-11,72.17644,
2006-12,73.39027,
2007-01,77.57385,
2007-02,78.65941,
2007-03,82.89164,
2007-04,81.17224,
2007-05,81.94651,
2007-06,84.40915,
2007-07,86.28267,
2007-08,83.04792,
2007-09,81.77150,
2007-10,80.77607,
2007-11,87.13152,
2007-12,85.72849,
2008-01,95.91723,
2008-02,94.13463,
2008-03,93.57625,
2008-04,98.95784,
2008-05,94.81388,
2008-06,96.80706,
2008-07,96.83269,
2008-08,93.55578,
2008-09,93.36400,
2008-10,92.47633,
2008-11,102.85289,
2008-12,106.86580,
2009-01,99.89967,
2009-02,101.44947,
2009-03,99.83019,
2009-04,105.55327,
2009-05,105.10294,
2009-06,99.14673,
2009-07,96.16905,
2009-08,85.03462,
2009-09,89.28078,
2009-10,88.47882,
2009-11,85.76944,
2009-12,92.84274,
2010-01,86.04435,
2010-02,88.30587,
2010-03,88.12996,
2010-04,98.61957,
2010-05,98.58664,
2010-06,106.44590,
2010-07,94.17380,
2010-08,91.98741,
2010-09,98.54489,
2010-10,89.82499,
2010-11,91.14773,
2010-12,88.28261,
2011-01,84.71553,
2011-02,80.47419,
2011-03,79.61421,
2011-04,80.64362,
2011-05,74.98833,
2011-06,80.90432,
2011-07,75.38430,
2011-08,79.02569,
2011-09,71.73513,
2011-10,61.42912,
2011-11,67.35488,
2011-12,62.74178,
2012-01,60.07719,
2012-02,62.36882,
2012-03,58.32032,
2012-04,53.60452,
2012-05,47.07951,
2012-06,46.23390,
2012-07,51.47654,
2012-08,47.21745,
2012-09,46.60401,
2012-10,49.01082,
2012-11,48.79350,
2012-12,45.52737,
2013-01,42.95101,
2013-02,46.20933,
2013-03,46.20491,
2013-04,54.38127,
2013-05,48.37079,
2013-06,43.37259,
2013-07,48.19428,
2013-08,41.42312,
2013-09,39.88327,
2013-10,47.42904,
2013-11,38.94930,
2013-12,38.52010,
2014-01,36.17671,
2014-02,38.74680,
