"",BBK01.TUE307,BBK01.TUE307_FLAGS
"",Repo transactions with non-banks in the euro area / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:12,
1997-09,207052,
1997-10,206918,
1997-11,215620,
1997-12,205384,
1998-01,217162,
1998-02,216324,
1998-03,212259,
1998-04,206620,
1998-05,206673,
1998-06,201565,
1998-07,214157,
1998-08,207201,
1998-09,210908,
1998-10,221971,
1998-11,201990,
1998-12,176468,
1999-01,171764,
1999-02,184071,
1999-03,178107,
1999-04,171727,
1999-05,172518,
1999-06,166519,
1999-07,163765,
1999-08,162644,
1999-09,160674,
1999-10,157488,
1999-11,158660,
1999-12,144130,
2000-01,154956,
2000-02,159454,
2000-03,177337,
2000-04,179792,
2000-05,181189,
2000-06,167275,
2000-07,172048,
2000-08,169378,
2000-09,171423,
2000-10,170608,
2000-11,173545,
2000-12,174925,
2001-01,211431,
2001-02,213184,
2001-03,222572,
2001-04,221352,
2001-05,233805,
2001-06,221538,
2001-07,223391,
2001-08,230848,
2001-09,225731,
2001-10,235060,
2001-11,225886,
2001-12,218500,
2002-01,216192,
2002-02,221105,
2002-03,229640,
2002-04,228141,
2002-05,234813,
2002-06,229568,
2002-07,228847,
2002-08,236527,
2002-09,238347,
2002-10,235558,
2002-11,229637,
2002-12,226851,
2003-01,232848,
2003-02,233288,
2003-03,224044,
2003-04,230455,
2003-05,231687,
2003-06,215023,
2003-07,219928,
2003-08,217093,
2003-09,211530,
2003-10,224743,
2003-11,224734,
2003-12,208702,
2004-01,213366,
2004-02,227686,
2004-03,218601,
2004-04,224795,
2004-05,221215,
2004-06,216903,
2004-07,222971,
2004-08,224259,
2004-09,215914,
2004-10,229705,
2004-11,223875,
2004-12,228752,
2005-01,228702,
2005-02,227015,
2005-03,226864,
2005-04,226274,
2005-05,239199,
2005-06,238911,
2005-07,238609,
2005-08,249196,
2005-09,234433,
2005-10,241414,
2005-11,239325,
2005-12,221919,
2006-01,236983,
2006-02,234947,
2006-03,235860,
2006-04,249653,
2006-05,258168,
2006-06,245103,
2006-07,250445,
2006-08,264926,
2006-09,263756,
2006-10,261258,
2006-11,260737,
2006-12,247970,
2007-01,262261,
2007-02,268809,
2007-03,281992,
2007-04,281600,
2007-05,285158,
2007-06,282218,
2007-07,287056,
2007-08,297607,
2007-09,295307,
2007-10,293506,
2007-11,301755,
2007-12,282936,
2008-01,307301,
2008-02,314334,
2008-03,313983,
2008-04,328887,
2008-05,333336,
2008-06,330263,
2008-07,333139,
2008-08,343068,
2008-09,345560,
2008-10,350970,
2008-11,336633,
2008-12,330096,
2009-01,323970,
2009-02,327378,
2009-03,338458,
2009-04,338176,
2009-05,336181,
2009-06,347256,
2009-07,321319,
2009-08,310797,
2009-09,335236,
2009-10,309395,
2009-11,314847,
2009-12,327456,
2010-01,307049,
2010-02,322951,
2010-03,341374,
2010-04,362420,
2010-05,366792,
2010-06,412078,
2010-07,398019,
2010-08,400239,
2010-09,417443,
2010-10,394572,
2010-11,443421,
2010-12,442244,
2011-01,407264,
2011-02,444287,
2011-03,411596,
2011-04,437298,
2011-05,475663,
2011-06,460865,
2011-07,460220,
2011-08,506984,
2011-09,527945,
2011-10,507227,
2011-11,477779,
2011-12,405382,
2012-01,428443,
2012-02,438930,
2012-03,418263,
2012-04,427779,
2012-05,440583,
2012-06,440623,
2012-07,444799,
2012-08,427512,
2012-09,432292,
2012-10,414789,
2012-11,421185,
2012-12,376376,
2013-01,390056,
2013-02,417296,
2013-03,440289,
2013-04,431255,
2013-05,444481,
2013-06,466209,
2013-07,417089,
2013-08,339145,
2013-09,331059,
2013-10,313890,
2013-11,310630,
2013-12,294452,
2014-01,287822,
2014-02,306739,
2014-03,293895,
2014-04,285009,
2014-05,271315,
2014-06,299378,
2014-07,302263,
2014-08,305315,
2014-09,287593,
2014-10,313188,
2014-11,310452,
2014-12,297002,
2015-01,322032,
