"",BBK01.TVD416,BBK01.TVD416_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / in the home country / General government / Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:52,
1980-01,0,
1980-02,993,
1980-03,-303,
1980-04,1774,
1980-05,1855,
1980-06,395,
1980-07,1359,
1980-08,-354,
1980-09,1003,
1980-10,1672,
1980-11,4138,
1980-12,413,
1981-01,759,
1981-02,459,
1981-03,1628,
1981-04,2902,
1981-05,318,
1981-06,2443,
1981-07,1938,
1981-08,1614,
1981-09,1513,
1981-10,2837,
1981-11,3958,
1981-12,3306,
1982-01,2571,
1982-02,-420,
1982-03,1231,
1982-04,2144,
1982-05,-1068,
1982-06,-312,
1982-07,796,
1982-08,-523,
1982-09,1206,
1982-10,1940,
1982-11,1704,
1982-12,3164,
1983-01,601,
1983-02,-584,
1983-03,372,
1983-04,704,
1983-05,-701,
1983-06,678,
1983-07,146,
1983-08,-501,
1983-09,286,
1983-10,1690,
1983-11,1671,
1983-12,1085,
1984-01,-827,
1984-02,-804,
1984-03,-1143,
1984-04,1275,
1984-05,-584,
1984-06,553,
1984-07,725,
1984-08,629,
1984-09,1395,
1984-10,926,
1984-11,2648,
1984-12,1082,
1985-01,-371,
1985-02,121,
1985-03,35,
1985-04,497,
1985-05,239,
1985-06,4,
1985-07,85,
1985-08,266,
1985-09,93,
1985-10,1377,
1985-11,1320,
1985-12,1366,
1986-01,-1173,
1986-02,-959,
1986-03,-93,
1986-04,120,
1986-05,-481,
1986-06,-112,
1986-07,425,
1986-08,715,
1986-09,-1274,
1986-10,531,
1986-11,741,
1986-12,2091,
1987-01,-1159,
1987-02,-704,
1987-03,-779,
1987-04,1107,
1987-05,881,
1987-06,-276,
1987-07,2271,
1987-08,190,
1987-09,140,
1987-10,2654,
1987-11,3879,
1987-12,1519,
1988-01,776,
1988-02,886,
1988-03,-685,
1988-04,1090,
1988-05,-173,
1988-06,822,
1988-07,1615,
1988-08,740,
1988-09,529,
1988-10,2617,
1988-11,3479,
1988-12,674,
1989-01,787,
1989-02,-1036,
1989-03,-2283,
1989-04,1029,
1989-05,-788,
1989-06,-577,
1989-07,545,
1989-08,-51,
1989-09,-635,
1989-10,1456,
1989-11,2918,
1989-12,360,
1990-01,37,
1990-02,-644,
1990-03,-827,
1990-04,1441,
1990-05,-58,
1990-06,-2359,
1990-07,-286,
1990-08,2845,
1990-09,2465,
1990-10,3825,
1990-11,3835,
1990-12,3459,
1991-01,3805,
1991-02,6001,
1991-03,974,
1991-04,3189,
1991-05,1783,
1991-06,911,
1991-07,2001,
1991-08,2465,
1991-09,-1421,
1991-10,3169,
1991-11,2550,
1991-12,2995,
1992-01,-710,
1992-02,-1444,
1992-03,-762,
1992-04,-2330,
1992-05,-2689,
1992-06,150,
1992-07,621,
1992-08,-2110,
1992-09,-1474,
1992-10,2986,
1992-11,-7035,
1992-12,-5083,
1993-01,-2167,
1993-02,-110,
1993-03,1687,
1993-04,4646,
1993-05,2719,
1993-06,913,
1993-07,3083,
1993-08,76,
1993-09,1301,
1993-10,3385,
1993-11,4145,
1993-12,2480,
1994-01,-198,
1994-02,-1404,
1994-03,477,
1994-04,359,
1994-05,-230,
1994-06,791,
1994-07,1219,
1994-08,-1412,
1994-09,1306,
1994-10,3743,
1994-11,7328,
1994-12,2107,
1995-01,5245,
1995-02,2156,
1995-03,6818,
1995-04,3436,
1995-05,5865,
1995-06,-252,
1995-07,12984,
1995-08,886,
1995-09,-255,
1995-10,7565,
1995-11,8264,
1995-12,5094,
1996-01,6734,
1996-02,1552,
1996-03,1873,
1996-04,3680,
1996-05,987,
1996-06,-765,
1996-07,2685,
1996-08,-1466,
1996-09,1766,
1996-10,10200,
1996-11,11412,
1996-12,-5144,
1997-01,1129,
1997-02,4129,
1997-03,3135,
1997-04,-134,
1997-05,1707,
