"",BBK01.TVE324,BBK01.TVE324_FLAGS
"",Other factors / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:43,
1997-10,21900,
1997-11,24864,
1997-12,-38228,
1998-01,-20831,
1998-02,8048,
1998-03,43761,
1998-04,13613,
1998-05,17569,
1998-06,23348,
1998-07,-17202,
1998-08,4186,
1998-09,39698,
1998-10,-28966,
1998-11,20919,
1998-12,-62033,
1999-01,-24865,
1999-02,-45484,
1999-03,60006,
1999-04,-33378,
1999-05,-14056,
1999-06,43244,
1999-07,-17031,
1999-08,-29709,
1999-09,36066,
1999-10,147,
1999-11,11921,
1999-12,-74498,
2000-01,-6969,
2000-02,13469,
2000-03,-14326,
2000-04,-42128,
2000-05,14638,
2000-06,30800,
2000-07,-14022,
2000-08,-23441,
2000-09,10784,
2000-10,-16825,
2000-11,22409,
2000-12,-9443,
2001-01,-6655,
2001-02,-15616,
2001-03,-6181,
2001-04,-16332,
2001-05,-8505,
2001-06,-20493,
2001-07,47133,
2001-08,-162,
2001-09,7548,
2001-10,-2695,
2001-11,26299,
2001-12,-89561,
2002-01,-305,
2002-02,1219,
2002-03,181,
2002-04,-13081,
2002-05,11070,
2002-06,45943,
2002-07,-23161,
2002-08,-11203,
2002-09,4582,
2002-10,19777,
2002-11,-17218,
2002-12,-31008,
2003-01,21798,
2003-02,-14850,
2003-03,2536,
2003-04,1770,
2003-05,19099,
2003-06,21093,
2003-07,-12528,
2003-08,-30778,
2003-09,20114,
2003-10,4097,
2003-11,14966,
2003-12,-46046,
2004-01,37153,
2004-02,-5673,
2004-03,23664,
2004-04,19669,
2004-05,-17365,
2004-06,-371,
2004-07,-5065,
2004-08,16292,
2004-09,-4057,
2004-10,-5804,
2004-11,41774,
2004-12,-75977,
2005-01,48885,
2005-02,-18793,
2005-03,-24408,
2005-04,51006,
2005-05,-42489,
2005-06,7383,
2005-07,-15179,
2005-08,42867,
2005-09,-3948,
2005-10,21212,
2005-11,56982,
2005-12,-80605,
2006-01,85818,
2006-02,-26460,
2006-03,25190,
2006-04,2224,
2006-05,-2161,
2006-06,-1851,
2006-07,25452,
2006-08,-43537,
2006-09,4905,
2006-10,40354,
2006-11,64301,
2006-12,-104983,
2007-01,67571,
2007-02,-13778,
2007-03,-21854,
2007-04,25594,
2007-05,-9186,
2007-06,-21147,
2007-07,32861,
2007-08,-55612,
2007-09,-31706,
2007-10,46797,
2007-11,8447,
2007-12,-70025,
2008-01,49120,
2008-02,-4603,
2008-03,-22429,
2008-04,9838,
2008-05,-52522,
2008-06,-21320,
2008-07,66344,
2008-08,-12796,
2008-09,2277,
2008-10,-36759,
2008-11,-31670,
2008-12,-90818,
2009-01,-2380,
2009-02,5179,
2009-03,395,
2009-04,35856,
2009-05,12365,
2009-06,52480,
2009-07,41048,
2009-08,-11759,
2009-09,11754,
2009-10,-8155,
2009-11,39788,
2009-12,-49353,
2010-01,-9173,
2010-02,38897,
2010-03,11761,
2010-04,-22695,
2010-05,-3229,
2010-06,41460,
2010-07,4632,
2010-08,722,
2010-09,40312,
2010-10,-29928,
2010-11,93172,
2010-12,-56975,
2011-01,30165,
2011-02,11301,
2011-03,32532,
2011-04,-43771,
2011-05,26897,
2011-06,-7785,
2011-07,-37103,
2011-08,46451,
2011-09,48544,
2011-10,-4311,
2011-11,-856,
2011-12,-155585,
2012-01,39915,
2012-02,-3903,
2012-03,-42072,
2012-04,22629,
2012-05,25561,
2012-06,-32753,
2012-07,16655,
2012-08,-8711,
2012-09,12490,
2012-10,6565,
2012-11,33590,
2012-12,-54054,
2013-01,85010,
2013-02,-12453,
2013-03,15486,
2013-04,26113,
2013-05,26628,
2013-06,-8621,
2013-07,-55112,
2013-08,12384,
2013-09,58083,
2013-10,-5275,
2013-11,-11890,
2013-12,-26299,
2014-01,37733,
2014-02,-13610,
2014-03,2973,
2014-04,-6843,
2014-05,-50067,
2014-06,51084,
2014-07,2406,
2014-08,-48198,
2014-09,22751,
2014-10,33782,
2014-11,-11384,
2014-12,19210,
2015-01,-32328,
