"",BBK01.TVP311,BBK01.TVP311_FLAGS
"",MFI lending to enterprises and households / Annual percentage change,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:08,
1998-09,9.55,
1998-10,9.45,
1998-11,9.89,
1998-12,9.72,
1999-01,10.59,
1999-02,9.74,
1999-03,9.89,
1999-04,9.73,
1999-05,10.30,
1999-06,11.08,
1999-07,10.95,
1999-08,10.98,
1999-09,10.39,
1999-10,10.43,
1999-11,10.72,
1999-12,10.18,
2000-01,9.30,
2000-02,10.33,
2000-03,10.85,
2000-04,11.28,
2000-05,11.14,
2000-06,9.92,
2000-07,9.73,
2000-08,10.03,
2000-09,10.81,
2000-10,10.71,
2000-11,10.01,
2000-12,10.11,
2001-01,10.12,
2001-02,9.74,
2001-03,9.33,
2001-04,9.14,
2001-05,8.50,
2001-06,8.42,
2001-07,8.19,
2001-08,7.73,
2001-09,7.19,
2001-10,7.03,
2001-11,7.03,
2001-12,6.72,
2002-01,6.21,
2002-02,5.97,
2002-03,5.42,
2002-04,5.09,
2002-05,5.34,
2002-06,5.38,
2002-07,4.87,
2002-08,5.12,
2002-09,5.03,
2002-10,4.95,
2002-11,4.56,
2002-12,4.70,
2003-01,4.86,
2003-02,5.00,
2003-03,4.82,
2003-04,5.13,
2003-05,5.24,
2003-06,5.10,
2003-07,5.51,
2003-08,5.55,
2003-09,5.40,
2003-10,5.39,
2003-11,5.97,
2003-12,5.75,
2004-01,5.71,
2004-02,5.64,
2004-03,5.74,
2004-04,5.89,
2004-05,5.92,
2004-06,6.17,
2004-07,6.28,
2004-08,5.97,
2004-09,6.27,
2004-10,6.55,
2004-11,6.73,
2004-12,7.02,
2005-01,7.32,
2005-02,7.35,
2005-03,7.39,
2005-04,7.73,
2005-05,7.87,
2005-06,8.16,
2005-07,8.49,
2005-08,8.69,
2005-09,9.12,
2005-10,9.44,
2005-11,9.55,
2005-12,9.56,
2006-01,10.05,
2006-02,10.83,
2006-03,11.61,
2006-04,11.92,
2006-05,11.96,
2006-06,11.61,
2006-07,11.93,
2006-08,12.03,
2006-09,12.30,
2006-10,12.13,
2006-11,12.00,
2006-12,11.57,
2007-01,11.39,
2007-02,10.86,
2007-03,10.97,
2007-04,10.85,
2007-05,10.97,
2007-06,11.58,
2007-07,11.71,
2007-08,11.90,
2007-09,11.79,
2007-10,12.48,
2007-11,12.41,
2007-12,13.23,
2008-01,13.21,
2008-02,13.14,
2008-03,12.89,
2008-04,12.71,
2008-05,12.60,
2008-06,11.90,
2008-07,11.64,
2008-08,11.58,
2008-09,10.81,
2008-10,9.43,
2008-11,9.08,
2008-12,7.77,
2009-01,7.06,
2009-02,6.37,
2009-03,5.22,
2009-04,4.14,
2009-05,3.54,
2009-06,3.41,
2009-07,2.30,
2009-08,1.58,
2009-09,1.44,
2009-10,0.95,
2009-11,0.69,
2009-12,0.73,
2010-01,0.23,
2010-02,0.24,
2010-03,0.17,
2010-04,0.37,
2010-05,0.07,
2010-06,0.04,
2010-07,0.69,
2010-08,1.21,
2010-09,1.16,
2010-10,1.18,
2010-11,1.92,
2010-12,1.61,
2011-01,2.03,
2011-02,2.31,
2011-03,2.17,
2011-04,2.24,
2011-05,2.52,
2011-06,2.14,
2011-07,1.81,
2011-08,1.70,
2011-09,1.55,
2011-10,2.11,
2011-11,0.93,
2011-12,0.44,
2012-01,0.71,
2012-02,0.35,
2012-03,0.46,
2012-04,-0.06,
2012-05,-0.27,
2012-06,-0.42,
2012-07,-0.56,
2012-08,-0.94,
2012-09,-0.86,
2012-10,-1.28,
2012-11,-1.21,
2012-12,-0.47,
2013-01,-0.73,
2013-02,-0.62,
2013-03,-0.51,
2013-04,-0.47,
2013-05,-0.55,
2013-06,-0.58,
2013-07,-1.08,
2013-08,-0.90,
2013-09,-1.03,
2013-10,-1.34,
2013-11,-1.26,
2013-12,-2.01,
2014-01,-2.34,
2014-02,-2.38,
2014-03,-2.46,
2014-04,-2.61,
2014-05,-2.74,
2014-06,-2.30,
2014-07,-1.80,
2014-08,-1.93,
2014-09,-1.87,
2014-10,-1.59,
2014-11,-1.44,
2014-12,-0.60,
