"",BBK01.WT4089,BBK01.WT4089_FLAGS
"","DE0001135416 / Prices / 2,250 Bund 10/20",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:37:15,
2010-08-18,98.970,
2010-08-19,99.050,
2010-08-20,99.620,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,99.660,
2010-08-24,100.130,
2010-08-25,100.630,
2010-08-26,100.810,
2010-08-27,101.230,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,100.740,
2010-08-31,101.330,
2010-09-01,100.710,
2010-09-02,100.220,
2010-09-03,99.670,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,99.400,
2010-09-07,99.720,
2010-09-08,100.340,
2010-09-09,99.420,
2010-09-10,99.210,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,98.280,
2010-09-14,99.000,
2010-09-15,98.840,
2010-09-16,98.330,
2010-09-17,97.980,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,98.050,
2010-09-21,97.930,
2010-09-22,99.220,
2010-09-23,99.650,
2010-09-24,99.630,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,99.560,
2010-09-28,100.070,
2010-09-29,100.080,
2010-09-30,100.240,
2010-10-01,99.410,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,99.990,
2010-10-05,100.080,
2010-10-06,99.970,
2010-10-07,99.930,
2010-10-08,99.860,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,99.770,
2010-10-12,100.270,
2010-10-13,99.570,
2010-10-14,99.630,
2010-10-15,99.360,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,98.960,
2010-10-19,98.660,
2010-10-20,98.650,
2010-10-21,98.280,
2010-10-22,98.130,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,98.200,
2010-10-26,97.840,
2010-10-27,97.320,
2010-10-28,97.320,
2010-10-29,97.500,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,98.120,
2010-11-02,98.230,
2010-11-03,98.300,
2010-11-04,97.910,
2010-11-05,98.950,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,98.750,
2010-11-09,98.920,
2010-11-10,98.280,
2010-11-11,98.680,
2010-11-12,98.360,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,97.460,
2010-11-16,97.230,
2010-11-17,97.050,
2010-11-18,96.570,
2010-11-19,96.370,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,96.100,
2010-11-23,96.830,
2010-11-24,97.310,
2010-11-25,96.310,
2010-11-26,96.830,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,96.240,
2010-11-30,96.770,
2010-12-01,96.230,
2010-12-02,95.520,
2010-12-03,95.520,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,95.520,
2010-12-07,95.080,
2010-12-08,94.220,
2010-12-09,94.400,
2010-12-10,94.460,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,94.440,
2010-12-14,94.420,
2010-12-15,94.030,
2010-12-16,93.960,
2010-12-17,93.920,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,94.320,
2010-12-21,94.530,
2010-12-22,94.350,
2010-12-23,94.740,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,93.910,
2010-12-28,94.510,
2010-12-29,94.230,
2010-12-30,94.450,
2010-12-31,.,No value available
2011-01-01,.,No value available
