"",BBK01.WX4266,BBK01.WX4266_FLAGS
"",Yields on debt securities outstanding issued by residents / Public Pfandbriefe / Mean residual maturity of more than 5 and up to 6 years / Monthly average,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:09:56,
1990-12,9.1,
1991-01,9.1,
1991-02,8.7,
1991-03,8.7,
1991-04,8.7,
1991-05,8.6,
1991-06,8.7,
1991-07,9.1,
1991-08,9.0,
1991-09,8.9,
1991-10,8.9,
1991-11,8.8,
1991-12,8.7,
1992-01,8.2,
1992-02,8.2,
1992-03,8.4,
1992-04,8.5,
1992-05,8.5,
1992-06,8.6,
1992-07,8.8,
1992-08,8.7,
1992-09,8.1,
1992-10,7.6,
1992-11,7.5,
1992-12,7.4,
1993-01,7.2,
1993-02,6.7,
1993-03,6.7,
1993-04,6.8,
1993-05,6.8,
1993-06,6.7,
1993-07,6.5,
1993-08,6.2,
1993-09,6.1,
1993-10,5.7,
1993-11,5.5,
1993-12,5.5,
1994-01,5.6,
1994-02,6.0,
1994-03,6.3,
1994-04,6.4,
1994-05,6.6,
1994-06,7.0,
1994-07,6.8,
1994-08,7.2,
1994-09,7.5,
1994-10,7.6,
1994-11,7.4,
1994-12,7.6,
1995-01,7.5,
1995-02,7.3,
1995-03,7.0,
1995-04,6.8,
1995-05,6.4,
1995-06,6.7,
1995-07,6.6,
1995-08,6.4,
1995-09,6.2,
1995-10,6.1,
1995-11,5.7,
1995-12,5.6,
1996-01,5.4,
1996-02,5.9,
1996-03,5.8,
1996-04,5.7,
1996-05,5.8,
1996-06,6.0,
1996-07,5.9,
1996-08,5.8,
1996-09,5.6,
1996-10,5.4,
1996-11,5.3,
1996-12,5.2,
1997-01,5.2,
1997-02,4.9,
1997-03,5.1,
1997-04,5.2,
1997-05,5.1,
1997-06,5.0,
1997-07,4.9,
1997-08,5.1,
1997-09,5.1,
1997-10,5.3,
1997-11,5.4,
1997-12,5.2,
1998-01,5.0,
1998-02,4.8,
1998-03,4.8,
1998-04,4.8,
1998-05,4.9,
1998-06,4.7,
1998-07,4.6,
1998-08,4.4,
1998-09,4.1,
1998-10,4.0,
1998-11,4.1,
1998-12,3.8,
1999-01,3.6,
1999-02,3.7,
1999-03,3.8,
1999-04,3.6,
1999-05,3.6,
1999-06,4.0,
1999-07,4.4,
1999-08,4.8,
1999-09,4.9,
1999-10,5.2,
1999-11,5.0,
1999-12,5.1,
2000-01,5.4,
2000-02,5.5,
2000-03,5.4,
2000-04,5.3,
2000-05,5.7,
2000-06,5.6,
2000-07,5.7,
2000-08,5.7,
2000-09,5.7,
2000-10,5.6,
2000-11,5.5,
2000-12,5.2,
2001-01,5.0,
2001-02,5.0,
2001-03,4.9,
2001-04,5.0,
2001-05,5.1,
2001-06,5.0,
2001-07,5.0,
2001-08,4.8,
2001-09,4.7,
2001-10,4.4,
2001-11,4.3,
2001-12,4.6,
2002-01,4.8,
2002-02,4.9,
2002-03,5.1,
2002-04,5.1,
2002-05,5.1,
2002-06,5.0,
2002-07,4.8,
2002-08,4.5,
2002-09,4.3,
2002-10,4.3,
2002-11,4.2,
2002-12,4.0,
2003-01,3.8,
2003-02,3.6,
2003-03,3.6,
2003-04,3.7,
2003-05,3.4,
2003-06,3.1,
2003-07,3.4,
2003-08,3.8,
2003-09,3.8,
2003-10,3.8,
2003-11,4.0,
2003-12,3.9,
2004-01,3.7,
2004-02,3.6,
2004-03,3.4,
2004-04,3.6,
2004-05,3.8,
2004-06,3.9,
2004-07,3.8,
2004-08,3.7,
2004-09,3.6,
2004-10,3.5,
2004-11,3.3,
2004-12,3.2,
2005-01,3.2,
2005-02,3.2,
2005-03,3.3,
2005-04,3.1,
2005-05,2.9,
2005-06,2.8,
2005-07,2.8,
2005-08,2.9,
2005-09,2.7,
2005-10,3.0,
2005-11,3.2,
2005-12,3.2,
2006-01,3.2,
2006-02,3.4,
2006-03,3.6,
2006-04,3.8,
2006-05,3.9,
2006-06,3.9,
2006-07,4.0,
2006-08,3.9,
2006-09,3.8,
2006-10,3.9,
2006-11,3.9,
2006-12,3.9,
2007-01,4.1,
2007-02,4.2,
2007-03,4.1,
2007-04,4.3,
2007-05,4.4,
2007-06,4.7,
2007-07,4.7,
2007-08,4.5,
2007-09,4.5,
2007-10,4.5,
2007-11,4.4,
2007-12,4.5,
2008-01,4.2,
2008-02,4.1,
2008-03,4.1,
2008-04,4.3,
2008-05,4.5,
2008-06,5.0,
2008-07,5.0,
2008-08,4.7,
2008-09,4.8,
2008-10,4.8,
2008-11,4.2,
2008-12,4.0,
2009-01,3.6,
2009-02,3.7,
2009-03,3.7,
2009-04,4.0,
2009-05,3.8,
2009-06,3.8,
2009-07,3.5,
2009-08,3.4,
2009-09,3.2,
2009-10,3.2,
2009-11,3.1,
2009-12,3.1,
2010-01,3.0,
2010-02,2.9,
2010-03,2.8,
2010-04,2.7,
2010-05,2.5,
2010-06,2.6,
2010-07,2.6,
2010-08,2.4,
2010-09,2.3,
2010-10,2.4,
2010-11,2.6,
2010-12,2.9,
2011-01,3.1,
2011-02,3.3,
2011-03,3.3,
2011-04,3.5,
2011-05,3.3,
2011-06,3.1,
2011-07,3.1,
2011-08,2.7,
2011-09,2.4,
2011-10,2.6,
2011-11,2.4,
2011-12,2.4,
2012-01,2.2,
2012-02,2.0,
2012-03,2.1,
2012-04,2.0,
2012-05,1.8,
2012-06,1.7,
2012-07,1.5,
2012-08,1.4,
2012-09,1.4,
2012-10,1.4,
2012-11,1.3,
2012-12,1.2,
2013-01,1.3,
2013-02,1.4,
2013-03,1.3,
2013-04,1.1,
2013-05,1.2,
2013-06,1.4,
2013-07,1.4,
2013-08,1.5,
2013-09,1.6,
2013-10,1.5,
2013-11,1.3,
2013-12,1.4,
2014-01,1.4,
2014-02,1.2,
2014-03,1.2,
2014-04,1.1,
2014-05,1.0,
2014-06,0.9,
2014-07,0.8,
2014-08,0.7,
2014-09,0.6,
2014-10,0.6,
2014-11,0.5,
2014-12,0.4,
2015-01,0.4,
