"",BBK01.WXI059,BBK01.WXI059_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:39,
2009-09,51,
2009-10,13,
2009-11,30,
2009-12,93,
2010-01,66,
2010-02,47,
2010-03,34,
2010-04,37,
2010-05,50,
2010-06,52,
2010-07,28,
2010-08,40,
2010-09,796,
2010-10,140,
2010-11,126,
2010-12,111,
2011-01,91,
2011-02,75,
2011-03,81,
2011-04,99,
2011-05,85,
2011-06,70,
2011-07,66,
2011-08,105,
2011-09,197,
2011-10,90,
2011-11,261,
2011-12,133,
2012-01,78,
2012-02,75,
2012-03,71,
2012-04,142,
2012-05,176,
2012-06,57,
2012-07,347,
2012-08,54,
2012-09,130,
2012-10,77,
2012-11,119,
2012-12,275,
2013-01,104,
2013-02,148,
2013-03,141,
2013-04,102,
2013-05,153,
2013-06,87,
2013-07,86,
2013-08,128,
2013-09,120,
2013-10,169,
2013-11,375,
2013-12,34,
2014-01,276,
2014-02,51,
2014-03,95,
2014-04,57,
2014-05,112,
2014-06,69,
2014-07,112,
2014-08,271,
2014-09,475,
2014-10,288,
2014-11,659,
