"",BBNZ1.A.DE.N.H.0082.A,BBNZ1.A.DE.N.H.0082.A_FLAGS
"",Germany / National accounts / Origin of GDP / Real estate activities / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:27,
1991,53.45,
1992,56.13,
1993,58.94,
1994,62.60,
1995,68.66,
1996,74.63,
1997,77.11,
1998,79.61,
1999,78.99,
2000,82.32,
2001,85.46,
2002,88.29,
2003,89.79,
2004,90.54,
2005,92.64,
2006,93.65,
2007,97.05,
2008,99.19,
2009,101.21,
2010,100.00,
2011,103.40,
2012,101.33,
2013,101.87,
2014,102.99,
