"",BBNZ1.Q.DE.N.I.0250.A,BBNZ1.Q.DE.N.I.0250.A_FLAGS
"",Germany / National accounts / Use of GDP / Terms of Trade / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:47,
1991-01,93.64,
1991-04,95.78,
1991-07,95.86,
1991-10,95.89,
1992-01,97.48,
1992-04,97.83,
1992-07,99.03,
1992-10,99.58,
1993-01,99.35,
1993-04,100.41,
1993-07,100.99,
1993-10,100.98,
1994-01,100.48,
1994-04,101.40,
1994-07,101.87,
1994-10,101.80,
1995-01,101.24,
1995-04,103.33,
1995-07,104.07,
1995-10,103.80,
1996-01,102.82,
1996-04,102.76,
1996-07,103.49,
1996-10,102.30,
1997-01,100.80,
1997-04,101.26,
1997-07,101.07,
1997-10,101.11,
1998-01,101.21,
1998-04,102.24,
1998-07,103.56,
1998-10,104.94,
1999-01,105.20,
1999-04,104.34,
1999-07,103.74,
1999-10,102.32,
2000-01,100.68,
2000-04,99.90,
2000-07,99.17,
2000-10,98.00,
2001-01,98.99,
2001-04,98.96,
2001-07,99.20,
2001-10,100.79,
2002-01,101.01,
2002-04,100.65,
2002-07,101.97,
2002-10,102.21,
2003-01,101.32,
2003-04,102.49,
2003-07,103.10,
2003-10,103.76,
2004-01,103.47,
2004-04,102.92,
2004-07,102.63,
2004-10,102.64,
2005-01,101.83,
2005-04,101.68,
2005-07,100.38,
2005-10,100.60,
2006-01,99.60,
2006-04,99.29,
2006-07,98.86,
2006-10,99.87,
2007-01,99.76,
2007-04,99.48,
2007-07,99.56,
2007-10,99.53,
2008-01,98.47,
2008-04,97.55,
2008-07,96.50,
2008-10,99.18,
2009-01,102.36,
2009-04,102.02,
2009-07,102.45,
2009-10,102.71,
2010-01,101.50,
2010-04,99.80,
2010-07,99.67,
2010-10,99.26,
2011-01,97.77,
2011-04,97.10,
2011-07,97.87,
2011-10,97.54,
2012-01,96.81,
2012-04,96.70,
2012-07,97.40,
2012-10,97.41,
2013-01,97.73,
2013-04,98.42,
2013-07,98.82,
2013-10,99.02,
2014-01,99.09,
2014-04,99.66,
2014-07,100.04,
2014-10,100.32,
