"",BBQFS.A.DE.X1BA.PL_INT_MRG._X.0000,BBQFS.A.DE.X1BA.PL_INT_MRG._X.0000_FLAGS
"",Interest margin of small and medium sized banks (FSR 2014),
unit,% der BS/% of TA (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:50,
1995,3.1043,
1996,3.0346,
1997,2.9337,
1998,2.7238,
1999,2.6774,
2000,2.6513,
2001,2.5525,
2002,2.6762,
2003,2.7433,
2004,2.7090,
2005,2.6345,
2006,2.5166,
2007,2.3237,
2008,2.1922,
2009,2.4125,
2010,2.5040,
2011,2.4359,
2012,2.3630,
2013,2.3630,
"",Methodology: Net interest income as percentage of total assets.,
