"",BBQFS.M.U2.CORP.PRICE_ES50._X.0000,BBQFS.M.U2.CORP.PRICE_ES50._X.0000_FLAGS
"",Stock index Euro Stoxx 50 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:21,
1999-01,3547.15,
1999-02,3484.24,
1999-03,3559.86,
1999-04,3757.87,
1999-05,3629.46,
1999-06,3788.66,
1999-07,3638.62,
1999-08,3769.14,
1999-09,3669.71,
1999-10,3922.91,
1999-11,4314.38,
1999-12,4904.46,
2000-01,4684.48,
2000-02,5182.62,
2000-03,5241.96,
2000-04,5303.95,
2000-05,5200.89,
2000-06,5145.35,
2000-07,5122.80,
2000-08,5175.12,
2000-09,4915.18,
2000-10,5057.46,
2000-11,4790.08,
2000-12,4772.39,
2001-01,4779.90,
2001-02,4318.88,
2001-03,4185.00,
2001-04,4525.01,
2001-05,4426.24,
2001-06,4243.91,
2001-07,4091.38,
2001-08,3745.02,
2001-09,3296.66,
2001-10,3478.63,
2001-11,3658.27,
2001-12,3806.13,
2002-01,3670.26,
2002-02,3624.74,
2002-03,3784.05,
2002-04,3574.23,
2002-05,3425.79,
2002-06,3133.39,
2002-07,2685.79,
2002-08,2709.29,
2002-09,2204.39,
2002-10,2518.99,
2002-11,2656.85,
2002-12,2386.41,
2003-01,2248.17,
2003-02,2140.73,
2003-03,2036.86,
2003-04,2324.23,
2003-05,2330.06,
2003-06,2419.51,
2003-07,2519.79,
2003-08,2556.71,
2003-09,2395.87,
2003-10,2575.04,
2003-11,2630.47,
2003-12,2760.66,
2004-01,2839.13,
2004-02,2893.18,
2004-03,2787.49,
2004-04,2787.48,
2004-05,2747.53,
2004-06,2811.08,
2004-07,2720.05,
2004-08,2670.79,
2004-09,2726.30,
2004-10,2811.72,
2004-11,2876.39,
2004-12,2951.20,
2005-01,2984.59,
2005-02,3058.32,
2005-03,3055.73,
2005-04,2930.10,
2005-05,3076.70,
2005-06,3181.54,
2005-07,3326.51,
2005-08,3263.78,
2005-09,3428.51,
2005-10,3320.15,
2005-11,3447.07,
2005-12,3578.93,
2006-01,3691.41,
2006-02,3774.51,
2006-03,3853.74,
2006-04,3839.90,
2006-05,3637.17,
2006-06,3648.92,
2006-07,3691.87,
2006-08,3808.70,
2006-09,3899.41,
2006-10,4004.80,
2006-11,3987.23,
2006-12,4119.94,
2007-01,4178.54,
2007-02,4087.12,
2007-03,4181.03,
2007-04,4392.34,
2007-05,4512.65,
2007-06,4489.77,
2007-07,4315.69,
2007-08,4294.56,
2007-09,4381.71,
2007-10,4489.79,
2007-11,4394.95,
2007-12,4399.72,
2008-01,3792.80,
2008-02,3724.50,
2008-03,3628.06,
2008-04,3825.02,
2008-05,3777.85,
2008-06,3352.81,
2008-07,3367.82,
2008-08,3365.63,
2008-09,3038.20,
2008-10,2591.76,
2008-11,2430.31,
2008-12,2447.62,
2009-01,2236.98,
2009-02,1976.23,
2009-03,2071.13,
2009-04,2375.34,
2009-05,2451.24,
2009-06,2401.69,
2009-07,2638.13,
2009-08,2775.17,
2009-09,2872.63,
2009-10,2743.50,
2009-11,2797.25,
2009-12,2964.96,
2010-01,2776.83,
2010-02,2728.47,
2010-03,2931.16,
2010-04,2816.86,
2010-05,2610.26,
2010-06,2573.32,
2010-07,2742.14,
2010-08,2622.95,
2010-09,2747.90,
2010-10,2844.99,
2010-11,2650.99,
2010-12,2792.82,
2011-01,2953.63,
2011-02,3013.09,
2011-03,2910.91,
2011-04,3011.25,
2011-05,2861.92,
2011-06,2848.53,
2011-07,2670.37,
2011-08,2302.08,
2011-09,2179.66,
2011-10,2385.22,
2011-11,2330.43,
2011-12,2316.55,
2012-01,2416.66,
2012-02,2512.11,
2012-03,2477.28,
2012-04,2306.43,
2012-05,2118.94,
2012-06,2264.72,
2012-07,2325.72,
2012-08,2440.71,
2012-09,2454.26,
2012-10,2503.64,
2012-11,2575.25,
2012-12,2635.93,
2013-01,2702.98,
2013-02,2633.55,
2013-03,2624.02,
2013-04,2712.00,
2013-05,2769.64,
2013-06,2602.59,
2013-07,2768.15,
2013-08,2721.37,
2013-09,2893.15,
2013-10,3067.95,
2013-11,3086.64,
2013-12,3109.00,
2014-01,3013.96,
2014-02,3149.23,
2014-03,3161.60,
2014-04,3198.39,
2014-05,3244.60,
2014-06,3228.24,
2014-07,3115.51,
2014-08,3172.63,
2014-09,3225.93,
2014-10,3113.32,
"",Source: Bloomberg,
