"",BBQFS.M.U20101.BANK.BOND_FOR_SH.U2.GOVE,BBQFS.M.U20101.BANK.BOND_FOR_SH.U2.GOVE_FLAGS
"",Euro-area Monetary financial institutions' holdings of securities issued by foreign general government in the euro area - share in institutions' total holdings of euro-area general government securities - MFI from countries more affected by the crisis (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:10:04,
1998-03,2.64,
1998-04,2.87,
1998-05,2.77,
1998-06,2.32,
1998-07,2.55,
1998-08,2.48,
1998-09,2.35,
1998-10,2.74,
1998-11,3.19,
1998-12,3.48,
1999-01,4.70,
1999-02,5.47,
1999-03,6.27,
1999-04,6.89,
1999-05,7.70,
1999-06,7.76,
1999-07,7.83,
1999-08,7.85,
1999-09,8.28,
1999-10,8.13,
1999-11,8.52,
1999-12,7.94,
2000-01,8.22,
2000-02,8.14,
2000-03,7.99,
2000-04,7.34,
2000-05,7.36,
2000-06,7.01,
2000-07,7.03,
2000-08,7.16,
2000-09,7.33,
2000-10,7.63,
2000-11,7.62,
2000-12,7.87,
2001-01,9.37,
2001-02,9.73,
2001-03,10.01,
2001-04,10.50,
2001-05,10.70,
2001-06,11.37,
2001-07,11.55,
2001-08,11.10,
2001-09,11.19,
2001-10,11.84,
2001-11,12.33,
2001-12,12.45,
2002-01,12.67,
2002-02,13.08,
2002-03,12.89,
2002-04,12.74,
2002-05,13.08,
2002-06,13.33,
2002-07,14.72,
2002-08,15.28,
2002-09,14.89,
2002-10,15.11,
2002-11,15.39,
2002-12,15.41,
2003-01,18.66,
2003-02,19.78,
2003-03,20.26,
2003-04,21.11,
2003-05,21.41,
2003-06,21.29,
2003-07,23.46,
2003-08,23.79,
2003-09,24.29,
2003-10,24.52,
2003-11,24.42,
2003-12,25.34,
2004-01,25.98,
2004-02,27.10,
2004-03,26.39,
2004-04,27.04,
2004-05,27.71,
2004-06,27.26,
2004-07,28.02,
2004-08,28.17,
2004-09,26.57,
2004-10,27.50,
2004-11,27.86,
2004-12,28.46,
2005-01,28.01,
2005-02,27.58,
2005-03,27.47,
2005-04,27.91,
2005-05,28.46,
2005-06,28.99,
2005-07,30.89,
2005-08,31.47,
2005-09,30.64,
2005-10,31.34,
2005-11,33.82,
2005-12,33.72,
2006-01,34.04,
2006-02,34.15,
2006-03,34.51,
2006-04,33.31,
2006-05,29.75,
2006-06,28.71,
2006-07,28.70,
2006-08,27.81,
2006-09,27.01,
2006-10,27.20,
2006-11,26.74,
2006-12,26.58,
2007-01,26.10,
2007-02,25.81,
2007-03,25.50,
2007-04,25.36,
2007-05,25.47,
2007-06,25.50,
2007-07,25.37,
2007-08,25.77,
2007-09,25.51,
2007-10,25.56,
2007-11,25.99,
2007-12,25.43,
2008-01,24.85,
2008-02,24.63,
2008-03,25.18,
2008-04,25.63,
2008-05,25.96,
2008-06,26.16,
2008-07,25.69,
2008-08,25.60,
2008-09,25.40,
2008-10,25.39,
2008-11,23.36,
2008-12,23.49,
2009-01,23.17,
2009-02,22.25,
2009-03,21.40,
2009-04,21.63,
2009-05,21.38,
2009-06,22.15,
2009-07,22.45,
2009-08,22.33,
2009-09,22.28,
2009-10,22.05,
2009-11,21.73,
2009-12,21.54,
2010-01,21.43,
2010-02,20.41,
2010-03,19.93,
2010-04,18.09,
2010-05,16.17,
2010-06,15.57,
2010-07,15.70,
2010-08,16.02,
2010-09,15.28,
2010-10,13.26,
2010-11,15.60,
2010-12,10.62,
2011-01,9.85,
2011-02,10.39,
2011-03,10.73,
2011-04,10.13,
2011-05,9.87,
2011-06,9.89,
2011-07,10.11,
2011-08,9.77,
2011-09,10.25,
2011-10,9.81,
2011-11,10.18,
2011-12,9.81,
2012-01,9.29,
2012-02,8.06,
2012-03,7.65,
2012-04,7.55,
2012-05,7.69,
2012-06,7.57,
2012-07,7.71,
2012-08,7.80,
2012-09,7.56,
2012-10,7.37,
2012-11,7.80,
2012-12,7.81,
2013-01,7.70,
2013-02,7.79,
2013-03,7.79,
2013-04,7.36,
2013-05,7.28,
2013-06,7.03,
2013-07,7.16,
2013-08,7.62,
2013-09,7.28,
2013-10,7.27,
2013-11,7.20,
2013-12,6.84,
2014-01,7.74,
2014-02,7.77,
2014-03,8.05,
2014-04,7.92,
2014-05,8.01,
2014-06,8.97,
2014-07,9.52,
2014-08,10.02,
2014-09,10.35,
"",Source: ECB and Bundesbank calculations,
"","Methodology: Excluding central banks. Greece, Ireland, Italy, Portugal and Spain.",
