"",BBSF2.M.1.P.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Mixed securities funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:48,
2009-09,1927,
2009-10,1852,
2009-11,1766,
2009-12,1905,
2010-01,2160,
2010-02,2018,
2010-03,1530,
2010-04,1728,
2010-05,1824,
2010-06,2016,
2010-07,1789,
2010-08,1952,
2010-09,2021,
2010-10,2112,
2010-11,2492,
2010-12,2255,
2011-01,2560,
2011-02,2566,
2011-03,2552,
2011-04,2331,
2011-05,2523,
2011-06,2872,
2011-07,2762,
2011-08,2933,
2011-09,3420,
2011-10,3385,
2011-11,3320,
2011-12,2890,
2012-01,3122,
2012-02,2406,
2012-03,2504,
2012-04,2271,
2012-05,2446,
2012-06,2405,
2012-07,2132,
2012-08,2139,
2012-09,2268,
2012-10,2287,
2012-11,2420,
2012-12,2697,
2013-01,3073,
2013-02,3664,
2013-03,3465,
2013-04,3846,
2013-05,3802,
2013-06,3323,
2013-07,4617,
2013-08,4357,
2013-09,5107,
2013-10,6745,
2013-11,3089,
2013-12,3303,
2014-01,3781,
2014-02,5056,
2014-03,4579,
2014-04,4138,
2014-05,4262,
2014-06,3467,
2014-07,3797,
2014-08,5284,
2014-09,3594,
2014-10,3526,
2014-11,3261,
