"",BBSF2.M.1.P.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:12,
1970-01,4,
1970-02,4,
1970-03,4,
1970-04,4,
1970-05,4,
1970-06,4,
1970-07,4,
1970-08,4,
1970-09,4,
1970-10,4,
1970-11,5,
1970-12,5,
1971-01,5,
1971-02,5,
1971-03,5,
1971-04,5,
1971-05,5,
1971-06,6,
1971-07,6,
1971-08,6,
1971-09,6,
1971-10,6,
1971-11,6,
1971-12,6,
1972-01,6,
1972-02,6,
1972-03,6,
1972-04,7,
1972-05,7,
1972-06,7,
1972-07,7,
1972-08,7,
1972-09,7,
1972-10,7,
1972-11,8,
1972-12,8,
1973-01,8,
1973-02,8,
1973-03,8,
1973-04,8,
1973-05,8,
1973-06,8,
1973-07,8,
1973-08,8,
1973-09,8,
1973-10,8,
1973-11,8,
1973-12,8,
1974-01,8,
1974-02,8,
1974-03,8,
1974-04,8,
1974-05,9,
1974-06,9,
1974-07,9,
1974-08,9,
1974-09,9,
1974-10,9,
1974-11,9,
1974-12,9,
1975-01,9,
1975-02,9,
1975-03,9,
1975-04,9,
1975-05,9,
1975-06,9,
1975-07,9,
1975-08,9,
1975-09,9,
1975-10,9,
1975-11,9,
1975-12,9,
1976-01,9,
1976-02,8,
1976-03,8,
1976-04,8,
1976-05,8,
1976-06,8,
1976-07,8,
1976-08,8,
1976-09,8,
1976-10,8,
1976-11,8,
1976-12,8,
1977-01,8,
1977-02,8,
1977-03,8,
1977-04,8,
1977-05,8,
1977-06,8,
1977-07,8,
1977-08,8,
1977-09,8,
1977-10,8,
1977-11,8,
1977-12,8,
1978-01,8,
1978-02,8,
1978-03,8,
1978-04,8,
1978-05,8,
1978-06,8,
1978-07,8,
1978-08,8,
1978-09,8,
1978-10,8,
1978-11,8,
1978-12,8,
1979-01,8,
1979-02,8,
1979-03,8,
1979-04,8,
1979-05,8,
1979-06,8,
1979-07,8,
1979-08,8,
1979-09,8,
1979-10,8,
1979-11,8,
1979-12,8,
1980-01,8,
1980-02,8,
1980-03,8,
1980-04,8,
1980-05,8,
1980-06,8,
1980-07,8,
1980-08,8,
1980-09,8,
1980-10,8,
1980-11,8,
1980-12,8,
1981-01,8,
1981-02,8,
1981-03,8,
1981-04,8,
1981-05,8,
1981-06,8,
1981-07,8,
1981-08,8,
1981-09,8,
1981-10,8,
1981-11,8,
1981-12,8,
1982-01,8,
1982-02,8,
1982-03,8,
1982-04,8,
1982-05,8,
1982-06,8,
1982-07,8,
1982-08,8,
1982-09,8,
1982-10,8,
1982-11,8,
1982-12,8,
1983-01,8,
1983-02,8,
1983-03,8,
1983-04,8,
1983-05,8,
1983-06,8,
1983-07,8,
1983-08,8,
1983-09,8,
1983-10,8,
1983-11,8,
1983-12,8,
1984-01,8,
1984-02,8,
1984-03,8,
1984-04,8,
1984-05,8,
1984-06,8,
1984-07,8,
1984-08,8,
1984-09,8,
1984-10,8,
1984-11,8,
1984-12,8,
1985-01,8,
1985-02,8,
1985-03,8,
1985-04,9,
1985-05,9,
1985-06,9,
1985-07,9,
1985-08,9,
1985-09,9,
1985-10,9,
1985-11,9,
1985-12,9,
1986-01,9,
1986-02,9,
1986-03,9,
1986-04,9,
1986-05,9,
1986-06,9,
1986-07,9,
1986-08,9,
1986-09,9,
1986-10,9,
1986-11,9,
1986-12,9,
1987-01,9,
1987-02,9,
1987-03,9,
1987-04,9,
1987-05,9,
1987-06,9,
1987-07,9,
1987-08,9,
1987-09,9,
1987-10,9,
1987-11,9,
1987-12,9,
1988-01,10,
1988-02,10,
1988-03,10,
1988-04,10,
1988-05,10,
1988-06,10,
1988-07,10,
1988-08,10,
1988-09,10,
1988-10,10,
1988-11,10,
1988-12,10,
1989-01,10,
1989-02,10,
1989-03,10,
1989-04,10,
1989-05,11,
1989-06,11,
1989-07,11,
1989-08,12,
1989-09,12,
1989-10,12,
1989-11,12,
1989-12,12,
1990-01,12,
1990-02,12,
1990-03,14,
1990-04,14,
1990-05,14,
1990-06,14,
1990-07,14,
1990-08,14,
1990-09,14,
1990-10,14,
1990-11,14,
1990-12,14,
1991-01,14,
1991-02,14,
1991-03,14,
1991-04,14,
1991-05,14,
1991-06,14,
1991-07,14,
1991-08,14,
1991-09,14,
1991-10,14,
1991-11,14,
1991-12,14,
1992-01,14,
1992-02,14,
1992-03,14,
1992-04,15,
1992-05,15,
1992-06,15,
1992-07,15,
1992-08,15,
1992-09,15,
1992-10,15,
1992-11,15,
1992-12,15,
1993-01,15,
1993-02,15,
1993-03,15,
1993-04,15,
1993-05,15,
1993-06,15,
1993-07,15,
1993-08,15,
1993-09,15,
1993-10,15,
1993-11,15,
1993-12,15,
1994-01,15,
1994-02,15,
1994-03,15,
1994-04,15,
1994-05,15,
1994-06,15,
1994-07,15,
1994-08,15,
1994-09,15,
1994-10,15,
1994-11,15,
1994-12,16,
1995-01,16,
1995-02,16,
