"",BBSF2.M.1.P.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Participations in real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:34,
2009-09,5106,
2009-10,5139,
2009-11,5182,
2009-12,5388,
2010-01,5438,
2010-02,5605,
2010-03,5645,
2010-04,5605,
2010-05,5663,
2010-06,5677,
2010-07,5670,
2010-08,5695,
2010-09,5624,
2010-10,5670,
2010-11,5765,
2010-12,5730,
2011-01,5737,
2011-02,5747,
2011-03,5780,
2011-04,5719,
2011-05,5758,
2011-06,5639,
2011-07,5664,
2011-08,5594,
2011-09,5592,
2011-10,5656,
2011-11,5695,
2011-12,5746,
2012-01,5778,
2012-02,5788,
2012-03,5681,
2012-04,4983,
2012-05,4943,
2012-06,4934,
2012-07,4944,
2012-08,4935,
2012-09,4945,
2012-10,4714,
2012-11,4726,
2012-12,4726,
2013-01,4673,
2013-02,4689,
2013-03,4627,
2013-04,4612,
2013-05,4557,
2013-06,4566,
2013-07,4617,
2013-08,4616,
2013-09,4611,
2013-10,4634,
2013-11,4596,
2013-12,4772,
2014-01,4805,
2014-02,4796,
2014-03,4713,
2014-04,4731,
2014-05,4716,
2014-06,4974,
2014-07,5039,
2014-08,5089,
2014-09,5037,
2014-10,4940,
2014-11,4902,
