"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00_FLAGS
"",Public funds / Funds total / Shares / nsurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:53,
2009-09,4635,
2009-10,4306,
2009-11,4330,
2009-12,4533,
2010-01,4163,
2010-02,4351,
2010-03,6377,
2010-04,7311,
2010-05,6307,
2010-06,5463,
2010-07,5738,
2010-08,5019,
2010-09,4890,
2010-10,5461,
2010-11,5129,
2010-12,5437,
2011-01,6097,
2011-02,6149,
2011-03,5805,
2011-04,5910,
2011-05,5602,
2011-06,5548,
2011-07,5541,
2011-08,4691,
2011-09,4869,
2011-10,5607,
2011-11,5333,
2011-12,5437,
2012-01,5919,
2012-02,6296,
2012-03,6349,
2012-04,5759,
2012-05,5453,
2012-06,5859,
2012-07,6099,
2012-08,6425,
2012-09,6647,
2012-10,6858,
2012-11,7187,
2012-12,7590,
2013-01,7555,
2013-02,7422,
2013-03,7762,
2013-04,8110,
2013-05,8291,
2013-06,7917,
2013-07,8314,
2013-08,7842,
2013-09,8453,
2013-10,8892,
2013-11,9279,
2013-12,9486,
2014-01,8704,
2014-02,8815,
2014-03,8517,
2014-04,8661,
2014-05,8561,
2014-06,7872,
2014-07,8251,
2014-08,8451,
2014-09,8154,
2014-10,8066,
2014-11,8483,
