"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Netherlands / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:16,
2009-09,8523,
2009-10,8583,
2009-11,9024,
2009-12,9107,
2010-01,9067,
2010-02,8884,
2010-03,8578,
2010-04,8929,
2010-05,9386,
2010-06,9841,
2010-07,9576,
2010-08,9826,
2010-09,9497,
2010-10,9188,
2010-11,9004,
2010-12,8950,
2011-01,8281,
2011-02,8147,
2011-03,8034,
2011-04,8139,
2011-05,8158,
2011-06,8409,
2011-07,8564,
2011-08,9142,
2011-09,9595,
2011-10,9548,
2011-11,9177,
2011-12,9309,
2012-01,8004,
2012-02,8053,
2012-03,7756,
2012-04,7947,
2012-05,8260,
2012-06,8564,
2012-07,9146,
2012-08,9155,
2012-09,9389,
2012-10,8973,
2012-11,9189,
2012-12,9297,
2013-01,8566,
2013-02,8507,
2013-03,8760,
2013-04,9071,
2013-05,8858,
2013-06,8864,
2013-07,9041,
2013-08,8846,
2013-09,8697,
2013-10,8550,
2013-11,8436,
2013-12,8171,
2014-01,8311,
2014-02,8322,
2014-03,8502,
2014-04,8518,
2014-05,8806,
2014-06,8687,
2014-07,8737,
2014-08,9174,
2014-09,9091,
2014-10,9206,
2014-11,9586,
