"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:30,
2009-09,161,
2009-10,159,
2009-11,157,
2009-12,156,
2010-01,204,
2010-02,238,
2010-03,239,
2010-04,238,
2010-05,242,
2010-06,244,
2010-07,268,
2010-08,272,
2010-09,274,
2010-10,389,
2010-11,365,
2010-12,361,
2011-01,350,
2011-02,359,
2011-03,347,
2011-04,342,
2011-05,326,
2011-06,305,
2011-07,242,
2011-08,210,
2011-09,222,
2011-10,230,
2011-11,216,
2011-12,196,
2012-01,197,
2012-02,194,
2012-03,172,
2012-04,168,
2012-05,150,
2012-06,145,
2012-07,133,
2012-08,120,
2012-09,122,
2012-10,123,
2012-11,121,
2012-12,124,
2013-01,111,
2013-02,113,
2013-03,74,
2013-04,78,
2013-05,80,
2013-06,65,
2013-07,65,
2013-08,69,
2013-09,71,
2013-10,53,
2013-11,46,
2013-12,45,
2014-01,41,
2014-02,44,
2014-03,43,
2014-04,48,
2014-05,48,
2014-06,48,
2014-07,47,
2014-08,43,
2014-09,43,
2014-10,39,
2014-11,38,
