"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:20,
2009-09,6107,
2009-10,6218,
2009-11,6221,
2009-12,5995,
2010-01,5676,
2010-02,5907,
2010-03,6161,
2010-04,5293,
2010-05,5042,
2010-06,4796,
2010-07,4928,
2010-08,5024,
2010-09,4852,
2010-10,4866,
2010-11,4472,
2010-12,4494,
2011-01,4353,
2011-02,4272,
2011-03,3993,
2011-04,3485,
2011-05,3270,
2011-06,2993,
2011-07,2649,
2011-08,2501,
2011-09,2471,
2011-10,2516,
2011-11,2340,
2011-12,2343,
2012-01,2020,
2012-02,2075,
2012-03,1810,
2012-04,1655,
2012-05,1458,
2012-06,1462,
2012-07,1294,
2012-08,1388,
2012-09,1333,
2012-10,1348,
2012-11,1320,
2012-12,1771,
2013-01,2037,
2013-02,2047,
2013-03,2057,
2013-04,2128,
2013-05,2044,
2013-06,1966,
2013-07,1929,
2013-08,1929,
2013-09,1800,
2013-10,1869,
2013-11,2098,
2013-12,1976,
2014-01,2147,
2014-02,2206,
2014-03,2310,
2014-04,2365,
2014-05,2448,
2014-06,2517,
2014-07,2526,
2014-08,2539,
2014-09,2569,
2014-10,2633,
2014-11,2535,
