"",BBSF2.M.1.S.I0000.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:20,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,94708,
1993-05,96321,
1993-06,98729,
1993-07,102740,
1993-08,107267,
1993-09,108077,
1993-10,112933,
1993-11,114183,
1993-12,118229,
1994-01,120611,
1994-02,120097,
1994-03,120802,
1994-04,125351,
1994-05,124439,
1994-06,124731,
1994-07,128631,
1994-08,130091,
1994-09,126931,
1994-10,129145,
1994-11,129698,
1994-12,129560,
1995-01,130743,
1995-02,133454,
1995-03,134060,
1995-04,137365,
1995-05,141099,
1995-06,141037,
1995-07,145328,
1995-08,147610,
1995-09,148987,
1995-10,149450,
1995-11,153820,
1995-12,157040,
1996-01,164908,
1996-02,167050,
1996-03,170379,
1996-04,174632,
1996-05,177162,
1996-06,179264,
1996-07,179913,
1996-08,183923,
1996-09,188132,
1996-10,192279,
1996-11,198585,
1996-12,201124,
1997-01,210753,
1997-02,220430,
1997-03,225522,
1997-04,230484,
1997-05,235744,
1997-06,249443,
1997-07,265633,
1997-08,259893,
1997-09,268935,
1997-10,263939,
1997-11,269410,
1997-12,280781,
1998-01,294792,
1998-02,307056,
1998-03,322093,
1998-04,324034,
1998-05,337452,
1998-06,346703,
1998-07,355035,
1998-08,341670,
1998-09,336714,
1998-10,345058,
1998-11,362687,
1998-12,368495,
1999-01,381515,
1999-02,380838,
1999-03,387071,
1999-04,406610,
1999-05,404245,
1999-06,412946,
1999-07,408566,
1999-08,416936,
1999-09,411924,
1999-10,423810,
1999-11,443420,
1999-12,473952,
2000-01,472729,
2000-02,492286,
2000-03,501092,
2000-04,505072,
2000-05,502472,
2000-06,500187,
2000-07,507605,
2000-08,519747,
2000-09,514111,
2000-10,521111,
2000-11,508528,
2000-12,510548,
2001-01,521878,
2001-02,505393,
2001-03,498610,
2001-04,511272,
2001-05,511021,
2001-06,505229,
2001-07,502875,
2001-08,492793,
2001-09,472020,
2001-10,488678,
2001-11,497479,
2001-12,503272,
2002-01,502781,
2002-02,502854,
2002-03,506680,
2002-04,504939,
2002-05,501438,
2002-06,487240,
2002-07,476742,
2002-08,482559,
2002-09,471503,
2002-10,483626,
2002-11,492769,
2002-12,478754,
2003-01,480462,
2003-02,479477,
2003-03,478715,
2003-04,491260,
2003-05,500629,
2003-06,507483,
2003-07,509142,
2003-08,514102,
2003-09,515725,
2003-10,519620,
2003-11,520276,
2003-12,524161,
2004-01,531288,
2004-02,536535,
2004-03,537209,
2004-04,536994,
2004-05,531464,
2004-06,535063,
2004-07,532544,
2004-08,535805,
2004-09,537125,
2004-10,540992,
2004-11,546836,
2004-12,548126,
2005-01,557619,
2005-02,561938,
2005-03,563694,
2005-04,564981,
2005-05,576901,
2005-06,589795,
2005-07,598584,
2005-08,602033,
2005-09,611299,
2005-10,604776,
2005-11,612485,
2005-12,620151,
2006-01,628263,
2006-02,635308,
2006-03,637311,
2006-04,638485,
2006-05,632579,
2006-06,632809,
2006-07,639815,
2006-08,648582,
2006-09,660001,
2006-10,666107,
2006-11,669073,
2006-12,668831,
2007-01,675177,
2007-02,678691,
2007-03,682043,
2007-04,692319,
2007-05,695225,
2007-06,694415,
2007-07,693206,
2007-08,692830,
2007-09,694974,
2007-10,707540,
2007-11,694544,
2007-12,690194,
2008-01,674880,
2008-02,675514,
2008-03,666769,
2008-04,675409,
2008-05,677727,
2008-06,658271,
2008-07,661935,
2008-08,670669,
2008-09,655932,
2008-10,632660,
2008-11,640992,
2008-12,632080,
2009-01,632793,
2009-02,623827,
2009-03,628388,
2009-04,641786,
2009-05,645378,
2009-06,648721,
2009-07,667179,
2009-08,677012,
2009-09,695000,
2009-10,697211,
2009-11,705437,
2009-12,712305,
2010-01,720707,
2010-02,726996,
2010-03,741433,
2010-04,746801,
2010-05,747440,
2010-06,749151,
2010-07,759959,
2010-08,780400,
2010-09,786784,
2010-10,794953,
2010-11,791082,
2010-12,795552,
2011-01,796501,
2011-02,806667,
2011-03,802730,
2011-04,807910,
2011-05,811419,
2011-06,808066,
2011-07,814822,
2011-08,804544,
2011-09,796522,
2011-10,810188,
2011-11,802314,
2011-12,819981,
2012-01,835835,
2012-02,860780,
2012-03,866663,
2012-04,868957,
2012-05,872602,
2012-06,880825,
2012-07,913618,
2012-08,924940,
2012-09,932329,
2012-10,942420,
2012-11,953646,
2012-12,970389,
2013-01,974908,
2013-02,985251,
2013-03,1000114,
2013-04,1020158,
2013-05,1017897,
2013-06,996484,
2013-07,1016814,
2013-08,1011712,
2013-09,1026282,
2013-10,1044523,
2013-11,1055136,
2013-12,1053336,
2014-01,1060835,
2014-02,1078956,
2014-03,1092420,
2014-04,1101849,
2014-05,1123415,
2014-06,1133129,
2014-07,1145369,
2014-08,1168349,
2014-09,1170747,
2014-10,1181337,
2014-11,1203468,
