"",BBSF2.M.1.S.I0002.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:20,
2004-01,2,
2004-02,25,
2004-03,41,
2004-04,83,
2004-05,78,
2004-06,95,
2004-07,101,
2004-08,101,
2004-09,101,
2004-10,104,
2004-11,102,
2004-12,88,
2005-01,94,
2005-02,94,
2005-03,97,
2005-04,100,
2005-05,101,
2005-06,101,
2005-07,105,
2005-08,120,
2005-09,127,
2005-10,264,
2005-11,261,
2005-12,259,
2006-01,243,
2006-02,241,
2006-03,240,
2006-04,240,
2006-05,239,
2006-06,241,
2006-07,233,
2006-08,234,
2006-09,235,
2006-10,233,
2006-11,233,
2006-12,232,
2007-01,230,
2007-02,238,
2007-03,242,
2007-04,244,
2007-05,242,
2007-06,241,
2007-07,239,
2007-08,238,
2007-09,243,
2007-10,240,
2007-11,234,
2007-12,229,
2008-01,231,
2008-02,228,
2008-03,228,
2008-04,230,
2008-05,229,
2008-06,228,
2008-07,228,
2008-08,227,
2008-09,225,
2008-10,223,
2008-11,224,
2008-12,227,
2009-01,225,
2009-02,223,
2009-03,223,
2009-04,220,
2009-05,200,
2009-06,199,
2009-07,196,
2009-08,197,
2009-09,179,
2009-10,175,
2009-11,180,
2009-12,179,
2010-01,181,
2010-02,180,
2010-03,185,
2010-04,185,
2010-05,190,
2010-06,187,
2010-07,188,
2010-08,193,
2010-09,193,
2010-10,192,
2010-11,190,
2010-12,190,
2011-01,190,
2011-02,193,
2011-03,194,
2011-04,194,
2011-05,192,
2011-06,193,
2011-07,192,
2011-08,192,
2011-09,190,
2011-10,187,
2011-11,182,
2011-12,180,
2012-01,181,
2012-02,179,
2012-03,183,
2012-04,183,
2012-05,184,
2012-06,187,
2012-07,185,
2012-08,186,
2012-09,184,
2012-10,184,
2012-11,189,
2012-12,196,
2013-01,192,
2013-02,192,
2013-03,192,
2013-04,197,
2013-05,201,
2013-06,198,
2013-07,212,
2013-08,216,
2013-09,218,
2013-10,218,
2013-11,218,
2013-12,215,
2014-01,214,
2014-02,215,
2014-03,213,
2014-04,211,
2014-05,211,
2014-06,211,
2014-07,210,
2014-08,221,
2014-09,222,
2014-10,222,
2014-11,226,
