"",BBSF2.M.1.S.I0002.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:48,
2004-01,-,Nothing exists
2004-02,736,
2004-03,1014,
2004-04,2352,
2004-05,2270,
2004-06,2312,
2004-07,2491,
2004-08,2851,
2004-09,2862,
2004-10,2853,
2004-11,2869,
2004-12,2888,
2005-01,3219,
2005-02,3409,
2005-03,3620,
2005-04,3698,
2005-05,4000,
2005-06,4030,
2005-07,4071,
2005-08,4914,
2005-09,5637,
2005-10,12240,
2005-11,12078,
2005-12,12552,
2006-01,15047,
2006-02,15207,
2006-03,15124,
2006-04,15111,
2006-05,15146,
2006-06,15438,
2006-07,15679,
2006-08,15847,
2006-09,22353,
2006-10,22427,
2006-11,22625,
2006-12,22335,
2007-01,22163,
2007-02,22566,
2007-03,22228,
2007-04,22362,
2007-05,22289,
2007-06,21926,
2007-07,22003,
2007-08,22061,
2007-09,21813,
2007-10,22202,
2007-11,22334,
2007-12,21673,
2008-01,23944,
2008-02,23693,
2008-03,23478,
2008-04,23554,
2008-05,23852,
2008-06,23417,
2008-07,23587,
2008-08,23729,
2008-09,22939,
2008-10,22626,
2008-11,24252,
2008-12,24235,
2009-01,24962,
2009-02,24567,
2009-03,25888,
2009-04,26068,
2009-05,18389,
2009-06,18501,
2009-07,18698,
2009-08,18850,
2009-09,16599,
2009-10,16823,
2009-11,17262,
2009-12,18176,
2010-01,18456,
2010-02,18753,
2010-03,19179,
2010-04,19390,
2010-05,19674,
2010-06,19814,
2010-07,19973,
2010-08,21165,
2010-09,21153,
2010-10,19959,
2010-11,19694,
2010-12,19570,
2011-01,19215,
2011-02,19882,
2011-03,20068,
2011-04,20349,
2011-05,20605,
2011-06,20532,
2011-07,20899,
2011-08,20860,
2011-09,21220,
2011-10,21740,
2011-11,21374,
2011-12,22040,
2012-01,23053,
2012-02,23670,
2012-03,24104,
2012-04,24250,
2012-05,24682,
2012-06,24845,
2012-07,25292,
2012-08,25605,
2012-09,26102,
2012-10,26828,
2012-11,27194,
2012-12,27547,
2013-01,27416,
2013-02,27712,
2013-03,27755,
2013-04,28147,
2013-05,27556,
2013-06,25831,
2013-07,25695,
2013-08,25125,
2013-09,27163,
2013-10,27944,
2013-11,28039,
2013-12,28268,
2014-01,28780,
2014-02,29262,
2014-03,35972,
2014-04,36307,
2014-05,36932,
2014-06,37680,
2014-07,37663,
2014-08,38689,
2014-09,38453,
2014-10,39128,
2014-11,39909,
