"",BBSF2.M.1.S.I1314.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:32,
2009-09,0,
2009-10,213,
2009-11,61,
2009-12,5,
2010-01,49,
2010-02,229,
2010-03,62,
2010-04,120,
2010-05,153,
2010-06,0,
2010-07,0,
2010-08,70,
2010-09,346,
2010-10,181,
2010-11,196,
2010-12,93,
2011-01,0,
2011-02,100,
2011-03,100,
2011-04,68,
2011-05,0,
2011-06,50,
2011-07,102,
2011-08,129,
2011-09,0,
2011-10,130,
2011-11,0,
2011-12,1,
2012-01,0,
2012-02,0,
2012-03,0,
2012-04,98,
2012-05,51,
2012-06,0,
2012-07,68,
2012-08,0,
2012-09,0,
2012-10,0,
2012-11,101,
2012-12,0,
2013-01,224,
2013-02,0,
2013-03,0,
2013-04,142,
2013-05,0,
2013-06,30,
2013-07,0,
2013-08,109,
2013-09,0,
2013-10,0,
2013-11,0,
2013-12,0,
2014-01,1,
2014-02,0,
2014-03,0,
2014-04,100,
2014-05,0,
2014-06,40,
2014-07,0,
2014-08,74,
2014-09,30,
2014-10,205,
2014-11,0,
