"",BBSF2.M.1.T.00000.AKT01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Equity funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:21,
2009-09,3692,
2009-10,3465,
2009-11,3403,
2009-12,3773,
2010-01,3811,
2010-02,3797,
2010-03,4013,
2010-04,4074,
2010-05,4092,
2010-06,4132,
2010-07,4340,
2010-08,4464,
2010-09,4690,
2010-10,4448,
2010-11,4494,
2010-12,4759,
2011-01,4390,
2011-02,4780,
2011-03,4680,
2011-04,4917,
2011-05,4931,
2011-06,4866,
2011-07,5125,
2011-08,4905,
2011-09,4857,
2011-10,4887,
2011-11,4765,
2011-12,4755,
2012-01,4972,
2012-02,5028,
2012-03,5140,
2012-04,5117,
2012-05,5670,
2012-06,5824,
2012-07,6057,
2012-08,6247,
2012-09,6717,
2012-10,7037,
2012-11,7962,
2012-12,7977,
2013-01,8076,
2013-02,8069,
2013-03,8782,
2013-04,8520,
2013-05,8424,
2013-06,8642,
2013-07,7870,
2013-08,7758,
2013-09,7920,
2013-10,8539,
2013-11,8736,
2013-12,8597,
2014-01,8245,
2014-02,8713,
2014-03,8611,
2014-04,8695,
2014-05,8855,
2014-06,8980,
2014-07,8956,
2014-08,9136,
2014-09,9177,
2014-10,7446,
2014-11,7548,
