"",BBSF2.M.1.T.00000.ALT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Pension investment funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:07,
2009-09,17,
2009-10,17,
2009-11,17,
2009-12,17,
2010-01,16,
2010-02,16,
2010-03,16,
2010-04,16,
2010-05,16,
2010-06,16,
2010-07,18,
2010-08,17,
2010-09,17,
2010-10,18,
2010-11,18,
2010-12,17,
2011-01,17,
2011-02,17,
2011-03,17,
2011-04,17,
2011-05,17,
2011-06,16,
2011-07,16,
2011-08,16,
2011-09,18,
2011-10,18,
2011-11,18,
2011-12,19,
2012-01,19,
2012-02,19,
2012-03,19,
2012-04,18,
2012-05,18,
2012-06,18,
2012-07,17,
2012-08,17,
2012-09,17,
2012-10,17,
2012-11,16,
2012-12,17,
2013-01,17,
2013-02,17,
2013-03,17,
2013-04,16,
2013-05,16,
2013-06,16,
2013-07,16,
2013-08,16,
2013-09,16,
2013-10,16,
2013-11,16,
2013-12,16,
2014-01,16,
2014-02,16,
2014-03,16,
2014-04,16,
2014-05,16,
2014-06,16,
2014-07,16,
2014-08,16,
2014-09,16,
2014-10,16,
2014-11,15,
