"",BBSF2.M.1.T.00000.ALT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:29,
2009-09,4,
2009-10,4,
2009-11,4,
2009-12,3,
2010-01,1,
2010-02,2,
2010-03,2,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,2,
2010-08,2,
2010-09,2,
2010-10,13,
2010-11,12,
2010-12,8,
2011-01,12,
2011-02,12,
2011-03,8,
2011-04,11,
2011-05,16,
2011-06,32,
2011-07,15,
2011-08,13,
2011-09,16,
2011-10,10,
2011-11,9,
2011-12,37,
2012-01,22,
2012-02,6,
2012-03,3,
2012-04,3,
2012-05,4,
2012-06,2,
2012-07,3,
2012-08,3,
2012-09,2,
2012-10,4,
2012-11,3,
2012-12,43,
2013-01,3,
2013-02,3,
2013-03,2,
2013-04,3,
2013-05,19,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,2,
2013-10,3,
2013-11,3,
2013-12,4,
2014-01,4,
2014-02,4,
2014-03,3,
2014-04,3,
2014-05,2,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,2,
2014-10,4,
2014-11,3,
